Unnamed: 0,question,subject,choices,answer
0,"Un passager est entré dans une voiture de métro à la station de la 42ème rue. Comme tous les sièges étaient occupés, le passager est resté debout dans la voiture de métro et a saisi une barre pour assurer son équilibre. Alors que la voiture de métro se dirigeait vers le centre-ville, le passager a jeté un coup d'œil à une fille debout à côté de lui. Soudain, la voiture de métro a fait un arrêt inattendu. Le passager a momentanément perdu l'équilibre et a attrapé la fille autour de la taille (pour éviter de tomber). Une fois que le passager a retrouvé son équilibre, il a retiré ses mains de la taille de la fille et a de nouveau saisi la barre. Dans une action civile intentée par la fille contre le passager, il sera très probablement jugé",professional_law,"['responsable pour voies de fait.', 'responsable, parce que le passager croyait que la fille avait consenti au contact dans les circonstances.', 'non responsable, parce que la conduite du passager était socialement acceptable dans les circonstances.', ""non responsable, parce que la fille n'a pas été blessée par le contact.""]",2
1,"Une mère a emmené son enfant de cinq ans aux urgences d'un hôpital pour un traitement. Un médecin du personnel de l'hôpital a molesté l'enfant pendant qu'il la soignait. À ce moment-là, personne n'était dans la salle de traitement à part le médecin et l'enfant; la mère avait quitté la pièce pour aller chercher une tasse de café. Deux semaines plus tard, lorsque l'enfant a raconté à sa mère ce qui s'était passé dans la salle de traitement, la mère a souffert d'une détresse émotionnelle sévère qui l'a rendue physiquement malade. Dans une action contre le médecin par la mère en son propre nom pour obtenir réparation pour infliction intentionnelle de détresse émotionnelle, est-il probable que la mère l'emporte?",professional_law,"[""Non, parce que la mère a été négligente en laissant l'enfant seul avec le médecin pendant le traitement."", ""Non, parce que la mère n'était ni la victime directe de la conduite du médecin ni un témoin contemporain."", 'Oui, parce que la conduite du médecin était scandaleuse.', 'Oui, parce que la détresse de la mère était la conséquence naturelle et prévisible de la conduite du médecin.']",1
2,"Un organisateur de mariages possédait un chalet d'été au bord du lac. Afin de faciliter l'accès au chalet, qui est situé sur une colline au-dessus du lac, l'organisateur de mariages a conclu un accord avec un voisin, propriétaire d'un terrain adjacent, par lequel le voisin, par écrit, a accordé à l'organisateur de mariages un droit de passage sur une bande de terrain de 30 pieds de largeur et un quart de mile de longueur le long de la marge est de la propriété du voisin. Sans en avertir le voisin, l'organisateur de mariages a procédé à son plan d'amélioration de la chaussée en faisant asphalter la route afin de la rendre plus accessible au trafic de véhicules motorisés. Plusieurs années plus tard, le voisin a démarré une entreprise de sable, ce qui l'a obligé à effectuer de lourds transports qui ont ensuite détruit la surface asphaltée de la route. Dix ans après que le voisin a commencé son entreprise de sable, l'organisateur de mariages a vendu sa propriété au bord du lac à un artiste. Peu après que l'artiste a pris possession du chalet et de la propriété, le voisin a érigé des barrières en bois à travers la voie d'accès, obstruant ainsi l'accès à la propriété de l'artiste. L'intérêt que l'organisateur de mariages a acquis dans la route d'accès peut être décrit au mieux comme",professional_law,"['une servitude personnelle.', 'une servitude implicite par usage antérieur.', 'une servitude par nécessité.', 'une servitude expresse.']",3
3,"Un plaignant a poursuivi un défendeur devant un tribunal de l'État dans lequel les deux parties résident. Le plaignant allègue uniquement une cause d'action découlant d'une loi fédérale, bien que le droit de l'État prévoit une cause d'action similaire. Le statut fédéral stipule que les réclamations en vertu de cette loi peuvent être portées devant tout tribunal compétent. La loi n'a pas encore été interprétée par un tribunal fédéral. Le tribunal de l'État doit-il entendre l'affaire ?",professional_law,"['Non, parce que les affaires découlant du droit fédéral doivent être tranchées par un tribunal fédéral.', ""Non, parce que les tribunaux d'État doivent s'abstenir dans les affaires découlant du droit fédéral jusqu'à ce qu'un tribunal fédéral ait statué sur la question fédérale."", ""Oui, parce que les tribunaux d'État ne peuvent pas discriminer les affaires découlant du droit fédéral."", ""Oui, parce que les parties ne peuvent pas procéder devant un tribunal fédéral puisqu'il n'y a pas de diversité de citoyenneté.""]",2
4,"Un concurrent d'un directeur a envoyé une lettre diffamatoire au directeur l'accusant d'incompétence professionnelle et le qualifiant de l'un des pires hommes d'affaires de la ville. Elle était adressée au directeur. Il l'a lue, l'a mise dans un tiroir privé et ne l'a pas relue. Plus tard, il a essayé de poursuivre le concurrent pour diffamation à la suite de la lettre. Le tribunal accordera-t-il probablement la motion de rejet du défendeur, et sur quel fondement ? Basez votre réponse sur la définition de la diffamation en droit commun.",professional_law,"[""Oui, il rejettera sur la base que la publication n'a été faite qu'au directeur."", ""Oui, il rejettera sur la base que le langage n'est pas nuisible à la réputation du directeur."", 'Non, il ne rejettera pas car les circonstances montrent que tous les éléments de la diffamation sont présents.', ""Non, il ne rejettera pas parce qu'un plaignant dans une action en diffamation a un droit absolu à un procès avec jury pour prouver la diffamation.""]",0
5,Un vendeur a conclu un contrat pour vendre un terrain à un acheteur pour 300 000 $. Le contrat stipulait que la clôture aurait lieu 60 jours après la signature du contrat et que le vendeur transmettrait à l'acheteur un « titre de propriété négociable » par un acte de renonciation à la clôture. Le contrat ne contenait aucune autre disposition concernant le titre à livrer à l'acheteur. Une recherche de titre a révélé que le terrain était grevé d'une hypothèque impayée de 50 000 $ et d'une servitude de passage sur une partie du terrain. L'acheteur prétend maintenant que le titre n'est pas négociable et a refusé de conclure. L'acheteur a-t-il raison ?,professional_law,"['Non, car rien dans ces faits ne rend le titre non négociable.', ""Non, parce que l'acheteur a accepté de recevoir un acte de renonciation."", 'Oui, parce que la servitude de passage rend le titre non négociable.', ""Oui, parce que l'hypothèque impayée rend le titre non négociable.""]",2
6,"Un plaignant a poursuivi un défendeur pour des blessures que le plaignant a subies lorsqu'il a été frappé par la voiture du défendeur. Lors du procès, le plaignant a témoigné qu'il traversait la rue à l'intérieur d'un passage pour piétons au moment où la voiture du défendeur l'a heurté. Cette action se déroule dans une juridiction qui a une loi en vigueur exigeant que tous les automobilistes s'arrêtent et permettent aux piétons de traverser les rues aux passages pour piétons désignés. Le défendeur a soutenu que le plaignant avait couru dans la rue en dehors du passage pour piétons. De plus, le défendeur a témoigné qu'il a immédiatement freiné lorsqu'il a vu le plaignant se précipiter dans la rue, mais qu'il n'a pas pu arrêter sa voiture à temps pour éviter de le heurter. À l'appui du témoignage du défendeur, le défendeur appelle un voisin à témoigner qu'elle a fréquemment observé le plaignant pendant les années où elle a vécu dans cette rue, et que le plaignant ""traverse toujours la rue en dehors du passage pour piétons."" Le témoignage du voisin est probablement",professional_law,"[""admis, parce qu'il tend à montrer que le plaignant était négligent."", ""admis, parce qu'il est probant de l'habitude du plaignant de traverser la rue en dehors du passage pour piétons."", ""exclu, parce que le voisin n'était pas un témoin oculaire de l'accident."", 'exclu, parce que son témoignage est une preuve de caractère inadmissible pour montrer la conduite du plaignant du défendeur à une occasion particulière.']",1
7,"Plusieurs personnes ont ensemble volé un tableau dans un musée d'art. L'un d'eux, qui était le chauffeur, a été arrêté lors de la commission d'un autre crime. Il a dit à la police : « Je n'ai même pas reçu d'argent du musée d'art. Tout est allé au premier et au deuxième gars. » Lorsque le premier et le deuxième gars seront jugés pour le vol de la peinture, la déclaration du chauffeur est-elle admissible au tribunal ?",professional_law,"['Oui, comme un aveu par un adversaire.', 'Oui, comme une déclaration contre les intérêts des autres accusés.', ""Non, parce qu'elle a été faite alors qu'il était en détention et est donc peu fiable."", ""Non, parce que la déclaration n'a pas été faite au cours ou pour favoriser la conspiration et est donc un ouï-dire.""]",3
8,"Un fan de baseball passionné voulait acheter des billets pour un prochain match de baseball se déroulant au stade local. Il a contacté le bureau de vente de billets du stade, qui lui a conseillé que tous les billets seraient mis en vente au stade à 9h00 le lendemain. Le fan, qui travaillait comme maçon, s'est rendu compte qu'il ne pouvait pas quitter le travail pour acheter les billets. Par conséquent, le fan a téléphoné à son voisin d'à côté et lui a demandé s'il serait intéressé à aller au stade pour acheter les billets de baseball. Le voisin a dit au fan qu'il serait heureux d'acheter les billets pour lui et qu'il voulait aussi acheter des billets pour lui-même. Cependant, le voisin a dit que sa voiture était en panne et qu'il n'avait pas de moyen de transport disponible pour se rendre au stade. Le fan a suggéré qu'il pourrait prêter sa voiture au voisin. Le voisin a accepté, et le lendemain matin, les deux hommes se sont rencontrés devant la maison du fan. Le fan a donné les clés de sa voiture au voisin ainsi que de l'argent pour acheter ses billets de baseball. Par la suite, le voisin a conduit la voiture du fan au stade où il a acheté les billets pour le fan et (avec son propre argent) a également acheté un ensemble de billets pour lui-même. Le fan avait demandé au voisin de ramener la voiture chez le fan après son voyage au stade. Après que le voisin ait quitté le stade, cependant, il a décidé de rendre visite à un ami dans une ville située à 120 miles de chez lui. Alors que le voisin conduisait vers la ville, une automobile est entrée en collision avec lui, causant des dommages importants à la voiture du fan. Le coût de la réparation de la voiture du fan a été estimé à plus que la valeur de détail de la voiture. Dans une action intentée par le fan contre le voisin pour récupérer les dommages résultant de l'accident, le fan obtiendra probablement",professional_law,"[""ne rien récupérer, car le voisin était en entreprise commune lorsque l'accident s'est produit."", 'récupérer le coût de la réparation de la voiture.', 'récupérer la valeur de détail de la voiture.', ""récupérer, car le voisin conduisait l'auto de manière négligente au moment de l'accident.""]",2
9,"Un accusé, qui était indigent, a été arrêté et accusé de possession de moins d'une once de marijuana. Selon la loi de l'État concerné, la possession de moins d'une once de marijuana est un délit, punissable d'un maximum d'un an de prison et/ou d'une amende de 500 $. Lors du procès, l'accusé a plaidé non coupable et a demandé qu'un avocat lui soit désigné. Le juge du procès a refusé de satisfaire à la demande de l'accusé pour un avocat. Si l'accusé est par la suite reconnu coupable, laquelle des peines suivantes peut être constitutionnellement imposée au maximum ?",professional_law,"['Une amende de 500 $.', 'Six mois de prison.', 'Un an de prison.', ""Aucune peine, car le droit à un avocat a été refusé à l'accusé.""]",0
