id,question,choices,answerKey
Mercury_7175875,"An astronomer notes that a planet's rotation speed increases after a meteorite impact. Using the law of conservation of angular momentum, how would this change in rotation most likely affect the planet's shape over time?","{'text': ['The planet will become more spherical as the increased rotation causes an even distribution of mass.', 'The planet will flatten at the poles and expand at the equator due to the increased centrifugal force.', 'The planet will maintain its original shape since the impact does not affect its mass distribution.', 'The planet will become irregularly shaped with no predictable pattern due to random impacts.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_409171,"Given that different building designs are tested for their earthquake resistance, how would you apply the results of these tests to improve the structural integrity of a new skyscraper being constructed in a seismically active region?","{'text': ['Use the design that showed the most flexibility during testing as it can absorb seismic waves more effectively.', 'Apply the design that had the least material deformation, ensuring the building can withstand strong lateral forces.', 'Combine elements from multiple designs that showed the best performance in different aspects, such as flexibility and strength.', 'Choose the design that was the most cost-effective during testing, prioritizing budget over performance.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_408547,"Considering the light-dependent reactions in photosynthesis, how would you manipulate the intensity of light to optimize the production of ATP and NADPH in chloroplasts?","{'text': ['Increase light intensity indefinitely, as higher light intensity always results in more ATP and NADPH production.', 'Adjust light intensity to a moderate level, as too high intensity can cause photoinhibition reducing ATP and NADPH production.', 'Keep light intensity very low to ensure that photoinhibition does not occur, maximizing ATP and NADPH production.', 'Use alternating cycles of high and low light intensity to oscillate ATP and NADPH production.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_407327,"When designing a ramp for a stunt jump, a physicist needs to calculate the minimum speed required for a car to safely land on the other side. Which of the following calculations is most critical to ensure the car achieves the necessary speed?","{'text': ['Calculating the gravitational force acting on the car as it approaches the ramp.', ""Determining the car's acceleration as it descends the ramp."", 'Using the projectile motion equations to calculate the initial velocity required to clear a specific distance.', ""Estimating the friction between the car's tires and the ramp surface.""], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2006_9_44,"If two objects with masses of 1.0 kg and 5.0 kg are released from rest and fall freely in the Moon's gravitational field (ignoring air resistance), how would you calculate the gravitational force acting on each object after they have fallen a distance of 1.0 m?","{'text': ['The gravitational force can be calculated using the formula F = m * g, where g is the acceleration due to gravity on the Moon.', 'The gravitational force increases linearly with distance fallen, as F = m * g * d.', 'The gravitational force is determined by the speed of the object at 1.0 m, using F = m * v.', 'The gravitational force depends on the initial height from which the objects were dropped.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7270393,"Considering the transmission mechanism of Devil Facial Tumor Disease (DFTD) in Tasmanian devils, if a conservationist is planning a strategy to reduce the spread of DFTD in a population of 100 wild Tasmanian devils, which of the following methods would be most effective?","{'text': ['Isolate and treat only those devils showing visible signs of tumors.', 'Implement a vaccination program to immunize all devils against the parasites causing DFTD.', 'Introduce genetic testing and only allow breeding of devils with natural resistance to DFTD.', 'Enforce a temporary separation of all devils into individual enclosures to prevent any biting interactions.'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2014_5_7,Consider a small mammal native to mountainous regions that stores food such as grasses and seeds in rock piles during summer. How would you model the decision-making process of this mammal in terms of energy conservation and survival strategy for harsh climates?,"{'text': ['The mammal optimizes food storage to minimize daily energy expenditure during winter months.', 'The mammal stores food in summer to increase its territorial range in winter.', 'The mammal uses stored food to attract mates during the breeding season.', 'The mammal stores food to establish dominance over other species in its habitat.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7086660,The discovery of petrified palm trees within sedimentary rock formations near glaciers suggests a significant climatic shift in that region. How would you apply knowledge of past climate change cycles to hypothesize the conditions that led to the preservation of these palm trees?,"{'text': ['The region experienced a prolonged period of volcanic activity, leading to rapid burial and preservation of the palm trees.', 'The region underwent a transition from a warm, tropical climate to a colder glacial climate, causing the palm trees to be buried and fossilized.', ""The region's climate remained consistently warm, leading to the gradual petrification of the palm trees over millions of years."", 'The region was initially an arid desert, and the palm trees were preserved due to sudden flooding events.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7168805,"In an ecosystem where predators are removed by human intervention, such as hawks being eliminated by farmers to protect livestock, how might the resulting ecological imbalance affect the population dynamics of other species in the area?","{'text': ['The prey species that hawks typically hunt, such as rodents, may experience a population boom due to reduced predation.', 'The removal of hawks will have no significant impact on the ecosystem, as other predators will fill their niche immediately.', 'The ecosystem will quickly reestablish equilibrium without any notable changes in species populations.', 'The removal of hawks will lead to a decrease in biodiversity as more invasive species take over the area.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2003_8_11,"When constructing a highly conductive electrical circuit using copper, which of the following properties of copper atoms is most crucial in maintaining its conductivity?","{'text': ['The high melting point of copper atoms, which allows them to withstand high temperatures without deforming.', 'The presence of free electrons in copper atoms, which facilitates the easy flow of electric current.', 'The malleability of copper atoms, which enables them to be drawn into thin wires.', 'The high density of copper atoms, which provides structural stability to the wires.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7250058,"When designing an experiment to test the effects of antibiotics on different cell types, how would you distinguish between prokaryotic and eukaryotic cells to ensure accurate results?","{'text': ['Use electron microscopy to identify the presence of a nucleus, as eukaryotic cells have a defined nucleus while prokaryotic cells do not.', 'Measure the cell size, since prokaryotic cells are generally larger than eukaryotic cells.', 'Identify the presence of a cell wall, which is found only in eukaryotic cells.', 'Detect the presence of chloroplasts, as they are unique to prokaryotic cells.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7012740,"Considering the Sun's role in driving oceanic processes, how would you model the impact of solar radiation on the formation and movement of ocean currents?","{'text': ['Solar radiation heats the ocean surface, causing changes in water density that drive the global thermohaline circulation.', 'Solar radiation primarily affects only the surface temperature, having minimal impact on deeper ocean currents.', ""The Sun's influence is limited to tidal forces, which are primarily responsible for ocean current formation."", 'Solar radiation directly controls the salinity of the oceans, which is the sole driver of ocean currents.'], 'label': ['A', 'B', 'C', 'D']}",A
