id,question,choices,answerKey
Mercury_7175875,一位天文学家在观察一个遥远的行星系统时，注意到其中一颗行星有频繁的陨石撞击历史。在一次这样的观察中，一颗特别大的陨石撞击了这颗行星，导致其自转速度增加。该行星还有由稀有气体组成的独特大气层和一个异常倾斜的轴。自转速度变化最可能的后果是什么？,"{'text': ['行星密度会降低。', '行星年会变长。', '行星日会变短。', '行星重力会变强。'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,建筑师和工程师经常合作设计能够抵御自然灾害如地震的建筑物。在一个最近的项目中，一个团队建造了多座建筑的比例模型，并对它们进行了模拟地震场景的测试。他们使用了各种材料和设计技术，有些灵感来自古代建筑，有些则结合了现代技术。评估这些不同建筑模型的可能结果是什么？,"{'text': ['建筑物将建造得更快', '建筑物将更加安全', '建筑设计将更加美观', '建筑材料将更便宜'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,在植物细胞的叶绿体中，发生了各种对植物生存和生长至关重要的过程。在这些过程中，光合作用在将光能转化为化学能方面发挥了重要作用。在这个过程中，标志着糖和氧气最终产生的初始阶段，发生的主要反应是什么？,"{'text': ['化学能通过根部被吸收。', '光能被转化为化学能。', '叶片中的叶绿素捕获光能。', '阳光被转化为叶绿素。'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,一位物理学家正在当地的测试设施进行一系列实验，以确定汽车成功跃过间隙所需的最低速度。这个特别设计的坡道被设置为30度角，间隙宽度为15英尺。所测试的汽车是一款以空气动力学设计而闻名的轻型运动型汽车。在第二次和第三次实验中，汽车的速度每次增加20英里每小时。通过改变这些试验中的速度，物理学家在研究汽车行为的哪个方面？,"{'text': ['控制变量', '假设陈述', '因变量（响应变量）', '自变量（操控变量）'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,月球是地球唯一的天然卫星，其表面重力约为地球的1/6。由于缺乏大气层，自由落体中的物体不受空气阻力影响。想象在一次科学任务中，两名宇航员进行了一项实验，他们同时从月球上的同一高度释放两块岩石，一块重1.0千克，另一块重5.0千克。当两块岩石都下落到距离地面一半的高度时，它们的运动状态如何比较？,"{'text': ['它们都损失了动能。', '它们都获得了相同的势能。', '它们都损失了相同的势能。', '它们都获得了其最大动能的一半。'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,近年来，环保主义者越来越关注塔斯马尼亚恶魔的健康状况，这是一种原产于塔斯马尼亚岛的物种。这些夜行性有袋动物通过食腐和控制其他物种的种群数量，在生态系统中发挥着重要作用。然而，由于一种通过咬伤传播的疾病，它们的数量已经急剧下降。这种疾病与寄生细胞的存在有关，这些细胞形成癌性生长，最终导致受影响动物的死亡。您如何最好地描述这种影响塔斯马尼亚恶魔的疾病？,"{'text': ['非传染性，细胞周期疾病', '传染性，细胞周期疾病', '非传染性，慢性疾病', '传染性，慢性疾病'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,在美国西部，气候条件在不同季节间可能有显著差异，一种小型哺乳动物可能生活在岩石地形中。在夏季，当天气较暖和且资源更丰富时，为什么这种哺乳动物可能会收集和储存草和种子？,"{'text': ['为冬季前的迁徙做准备', '在寒冷的冬季提供温暖', '储存将在冬季吃掉的食物', '保护草和种子不在冬季前腐烂'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,在最近的一项古生物学研究中，研究人员在探索历史上曾被冰川覆盖的地区附近的沉积层时，发现了各种化石，包括石化的棕榈树。这些发现是对地球气候历史以及各种物种如何在数百万年中适应变化环境的更广泛调查的一部分。这些石化树的存在最可能表明该地区过去的气候条件是什么？,"{'text': ['该地区曾经有更多的水。', '该地区曾经是草原。', '该地区的气候曾经是热带的。', '该地区有活跃的断层。'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,在怀俄明州，一群农民世代饲养放养鸡，最近扩大了他们的业务，包括有机蔬菜种植，注意到老鹰正在捕食他们的鸡。这些老鹰是该地区的本地物种，多年来一直是当地生态系统的一部分。出于对鸡安全的担忧，农民们决定消除周围的老鹰。这一行动最可能的结果是什么？,"{'text': ['鸡的数量会减少。', '老鼠和鼠类的数量会增加。', '另一种猛禽会取代老鹰。', '鸡的疾病率会降低。'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,由于铜具有优良的导电性和可塑性，人类使用铜已有数千年之久，使其在电线和管道等众多应用中至关重要。理解铜在原子层面的基本性质对于材料科学的进步至关重要。考虑到这些性质，什么是仍然保留铜作为金属所有性质的最小铜块？,"{'text': ['原子', '电子', '原子核', '质子'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7250058,在研究生命的多样性时，科学家根据各种特征对生物进行分类。一个主要的分类将生物分为原核生物和真核生物两组。这一区分对于理解进化生物学和细胞功能至关重要。科学家用来将细胞分类为这两组的一个关键结构差异是什么？,"{'text': ['生命过程', '大小差异', '质膜', '能量分子'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7012740,作为距离地球最近的恒星，太阳在许多自然过程中起着关键作用。它提供光和热，这对我们星球上的生命至关重要。考虑到它对各种生态系统的影响，太阳如何影响海洋水体的行为和特征？,"{'text': ['太阳影响波浪的形成。', '太阳创造水分子。', '太阳的光线导致生物浮出水面。', '太阳提供矿物质。'], 'label': ['A', 'B', 'C', 'D']}",A
