id,question,choices,answerKey
Mercury_7175875,An astronomer notes that a planet spins more rapidly after a meteorite impact. Which is the most probable consequence of this rise in rotation?,"{'text': ['Planetary density will decrease.', 'Planetary years will become longer.', 'Planetary days will become shorter.', 'Planetary gravity will become stronger.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,A team of engineers wanted to understand how various building designs would react during an earthquake. They created several models of buildings and tested each for its capacity to endure earthquake conditions. What will most likely result from evaluating different building designs?,"{'text': ['buildings will be built faster', 'buildings will be made safer', 'building designs will look nicer', 'building materials will be cheaper'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,The final outcome in the process of photosynthesis is the creation of sugar and oxygen. Which stage indicates the start of photosynthesis?,"{'text': ['Chemical energy is absorbed through the roots.', 'Light energy is converted to chemical energy.', 'Chlorophyll in the leaf captures light energy.', 'Sunlight is converted into chlorophyll.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,"A physicist aims to ascertain the velocity a car must achieve to leap over a ramp. The physicist performs three experiments. In experiments two and three, the velocity of the car is augmented by 20 miles per hour. What is the physicist examining when he alters the velocity?","{'text': ['the control', 'the hypothesis statement', 'the dependent (responding) variable', 'the independent (manipulated) variable'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,An astronaut releases a 1.0 kg item and a 5.0 kg item on the Moon. Both items descend a total distance of 2.0 m vertically. Which of the following best characterizes the items after they have descended a distance of 1.0 m?,"{'text': ['They have each lost kinetic energy.', 'They have each gained the same amount of potential energy.', 'They have each lost the same amount of potential energy.', 'They have each gained one-half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,Devil facial tumor disease (DFTD) is an illness that is drastically reducing the population of Tasmanian devils. The disease spreads from one animal to another through bites and is caused by pathogens. The pathogens lead to malignant tumors that disseminate throughout an infected animal's body and kill it. What is the best depiction of DFTD?,"{'text': ['a non-infectious, cell-cycle disease', 'an infectious, cell-cycle disease', 'a non-infectious, chronic disease', 'an infectious, chronic disease'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,"A type of small mammal from the mountainous regions of the western United States makes its home out of piles of stones. During summer months, the mammal stores grasses and seeds in sheltered spots in the rock piles. Which of the following is the most likely reason for this behavior?","{'text': ['to repare for migration before winter', 'to provide warmth during the cold winter months', 'to store food that will be eaten over the winter months', 'to protect the grasses and seeds from decay before winter'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,Fossilized palm trees are located in sedimentary rock close to glaciers. The existence of the fossilized palm trees most likely supports which statement?,"{'text': ['There was once more water in the area.', 'The area was once grassland.', 'The climate in the area was once tropical.', 'There are active faults in the area.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,Farmers in Wyoming were worried because some of their chickens were being attacked by hawks that resided in regions surrounding their ranches. The farmers banded together and hunted the hawks until they were no longer in their vicinity. Which would most probably occur next?,"{'text': ['The chicken population would go down.', 'Populations of mice and rats would increase.', 'Another bird of prey would replace the hawk.', 'The chickens would have a lower rate of disease.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,Copper is an element utilized in electrical wires. What is the smallest unit of copper that still retains the characteristics of copper?,"{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7250058,"According to cell classification, prokaryotic cells are divided from eukaryotic cells. Which characteristic is commonly used to differentiate prokaryotic cells from eukaryotic cells?","{'text': ['life processes', 'size differences', 'plasma membranes', 'energy molecules'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7012740,Which statement best outlines the impact of the Sun on the oceans?,"{'text': ['The Sun influences the formation of waves.', 'The Sun creates water particles.', ""The Sun's rays cause organisms to come to the surface."", 'The Sun provides minerals.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_LBS10610,"The morning temperature in a city is 41°F. If a sunny, pleasant day is predicted, which temperature is most probable for 2:00 p.m.?","{'text': ['32° F', '41° F', '78° F', '98° F'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_407400,A class organizes an investigation to determine which brand of light bulb endures the longest. Which of these steps should occur first?,"{'text': ['Repeat the investigation.', 'Write a report of the results.', 'Make a table for recording data.', 'Make daily observations of the light bulbs.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7212993,Which of these gases is the most prevalent greenhouse gas in the lower atmosphere of Earth?,"{'text': ['ozone', 'methane', 'water vapor', 'carbon dioxide'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_413240,At what temperature does water freeze?,"{'text': ['0 degrees Celsius', '32 degrees Celsius', '100 degrees Celsius', '212 degrees Celsius'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7186358,"Fossil bones and teeth of dinosaurs have been studied for the past century. Recent findings of fossilized dinosaurs have also uncovered details of soft tissues, such as skin. Which is best for a scientist to do when presenting research on dinosaurs now?","{'text': ['exclude research on teeth or bones', 'predict what the next discovery will be', 'analyze new data as it becomes available', 'delete earlier reports that were missing the new findings'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7166425,"Molly was preparing iced tea by placing tea bags in boiling water. She needed to cool the hot tea rapidly, so she poured it into a pitcher full of ice. Which best describes the flow of thermal energy?","{'text': ['from the ice to the tea', 'from the tea to the ice', 'from the pitcher to the tea', 'from the ice to the pitcher'], 'label': ['A', 'B', 'C', 'D']}",B
