id,question,choices,answerKey
Mercury_7175875,一位天文学家观察到一颗行星在陨石撞击后旋转得更快。这种旋转加快最可能的效果是什么？,"{'text': ['行星的密度将减小', '行星上的一年时间将增加', '行星上的一天时间将减少', '行星的引力将增强', '行星绕太阳的轨道将变得更加椭圆'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_SC_409171,一组工程师想要了解不同建筑设计在地震中的反应。他们制作了几种建筑模型，并测试了每种模型在地震条件下的抵抗能力。测试不同建筑设计的结果最有可能是什么？,"{'text': ['建筑将更快地建造', '建筑将以更高的安全性建造', '建筑设计将更加美观', '建筑材料将成本更低', '建筑将有更长的使用寿命'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_SC_408547,光合作用的最终结果是糖和氧气的产生。哪个步骤标志着光合作用的开始？,"{'text': ['化学能通过根部吸收。', '光能转化为化学能。', '叶子中的叶绿素吸收光能。', '阳光转化为叶绿素。', '二氧化碳从叶子中释放。'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_407327,一位物理学家想要确定一辆汽车需要达到的速度才能越过一个坡道。物理学家进行了三次试验。在第二次和第三次试验中，汽车的速度增加了20英里每小时。当他改变速度时，物理学家在研究什么？,"{'text': ['保持不变的因素', '提出的解释或预测', '被观察和测量的变量', '被改变或控制的变量', '通过改变变量所期望的结果'], 'label': ['A', 'B', 'C', 'D', 'E']}",D
MCAS_2006_9_44,一名宇航员在月球上分别释放一个1.0千克的物体和一个5.0千克的物体。两个物体都垂直下落总共2.0米的距离。下列哪项最能描述它们在下落1.0米后的情况？,"{'text': ['它们的动能都减少了。', '它们的势能都增加了相同的量。', '它们的势能都减少了相同的量。', '它们都获得了一半的总可能动能。', '它们都获得了相同的速度。'], 'label': ['A', 'B', 'C', 'D', 'E']}",D
Mercury_7270393,塔斯马尼亚恶魔面部肿瘤病（DFTD）是一种正在减少塔斯马尼亚恶魔数量的疾病。该疾病通过咬伤从一种动物传染到另一种动物，由寄生虫引起。寄生虫引起癌性肿瘤，这些肿瘤扩散到受感染动物的全身并导致其死亡。DFTD的最佳描述是什么？,"{'text': ['与细胞分裂相关的不可传染性疾病', '与细胞分裂相关的可传染性疾病', '不可传染的、长期的疾病', '可传染的、长期的疾病', '影响塔斯马尼亚恶魔自出生起的基因突变'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
MCAS_2014_5_7,一种生活在美国西部山区的小型哺乳动物在岩石堆中筑巢。在夏季，这种哺乳动物将草和种子放置在岩石堆的保护处。以下哪一项最有可能是这种行为的原因？,"{'text': ['为在冬季到来之前搬到不同地区做准备', '确保在寒冷的冬季保持温暖', '储存食物以供整个冬季食用', '防止在冬季来临之前草和种子腐烂', '吸引其他动物到它们的栖息地作为一种互相保护的方式'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_7086660,在冰川附近的沉积岩中发现了石化的棕榈树。石化棕榈树的存在最有可能为哪个陈述提供证据？,"{'text': ['该地区过去曾有更多丰富的水源。', '该地区以前主要是草原。', '该地区过去的气候曾经温暖而热带。', '该地区有活跃的断层。', '该地区的土壤组成在数百万年间一直保持不变。'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_7168805,怀俄明州的农民感到担忧，因为他们的一些鸡被生活在牧场周围地区的鹰捕食了。农民们聚集在一起，猎杀了这些鹰，直到它们不再出现在他们的区域。接下来最有可能发生什么？,"{'text': ['鸡的数量会减少。', '像老鼠和鼠类这样的啮齿动物的数量会增加。', '另一种捕食性鸟类可能会填补鹰的生态角色。', '鸡会经历较少的疾病。', '鹰将在下一个季节迁回该地区。'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
MCAS_2003_8_11,铜是一种用于电线的元素。什么是仍然保持铜特性的最小单位？,"{'text': ['单个铜原子', '带负电荷的亚原子粒子', '原子的中心核', '原子核中带正电荷的粒子', '由两个铜原子结合形成的分子'], 'label': ['A', 'B', 'C', 'D', 'E']}",A
Mercury_7250058,根据细胞分类，原核细胞与真核细胞是分开的。哪一个特征常被用来区分原核细胞和真核细胞？,"{'text': ['生物功能', '大小差异', '细胞膜', '用于能量的分子', '细胞核的存在'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_7012740,哪种说法最能描述太阳对海洋的影响？,"{'text': ['太阳在制造海浪中发挥作用。', '太阳产生水分子。', '太阳的光线使生物上升到水面。', '太阳提供养分。', '太阳影响海洋的盐度水平。'], 'label': ['A', 'B', 'C', 'D', 'E']}",A
Mercury_LBS10610,一个城市的早晨温度是41°F。如果预报是晴朗、温和的一天，那么下午2:00的温度最有可能是多少？,"{'text': ['冰点', '早晨温度', '温暖的下午', '极热', '冷锋来临'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_SC_407400,一个班级计划进行一项调查，以了解哪种品牌的灯泡使用时间最长。以下哪些步骤应该最先进行？,"{'text': ['再次进行实验。', '准备调查结果的总结。', '设计一张记录信息的图表。', '每天观察灯泡。', '购买不同品牌的灯泡。'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_7212993,以下哪种气体是地球低层大气中最丰富的温室气体？,"{'text': ['平流层中的保护层', '从牲畜中释放出来的强效温室气体', '由H2O组成的最丰富的温室气体', '通过燃烧化石燃料产生的温室气体', '主要负责地球磁场的气体'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_SC_413240,水在什么温度下凝固？,"{'text': ['273.15 开尔文', '32 华氏度', '水在摄氏温度下的沸点', '水在华氏温度下的沸点', '标准大气压下 0 摄氏度'], 'label': ['A', 'B', 'C', 'D', 'E']}",A
