id,question,choices,answerKey
Mercury_7175875,An astronomer observes that a planet's rotation speed increases after a meteor impact. What is the most likely effect of this rotational acceleration?,"{'text': [""The planet's density will decrease."", ""The planet's year will become longer."", ""The planet's day will become shorter."", ""The planet's gravity will become stronger.""], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,A group of engineers wants to know how different building designs would react during an earthquake. They created several building models and tested each one's endurance under earthquake conditions. What result is most likely from testing different building designs?,"{'text': ['Buildings will be constructed faster', 'Buildings will be safer', 'Building designs will look better', 'Building materials will be cheaper'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,The ultimate result of the photosynthesis process is the production of sugar and oxygen. Which step marks the beginning of photosynthesis?,"{'text': ['Chemical energy is absorbed through the roots.', 'Light energy is converted into chemical energy.', 'Chlorophyll in the leaves captures light energy.', 'Sunlight is converted into chlorophyll.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducted three trials. In the second and third trials, the car's speed increased by 20 miles per hour. What is the physicist studying by changing the speed?","{'text': ['Controlled variable', 'Hypothesis statement', 'Dependent variable (response variable)', 'Independent variable (manipulated variable)'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall vertically for a total of 2.0 meters. Which of the following best describes the situation of the two objects after falling 1.0 meter?,"{'text': ['They each lost kinetic energy.', 'They each gained the same amount of potential energy.', 'They each lost the same amount of potential energy.', 'They each gained half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,"The facial tumor disease (DFTD) faced by Tasmanian devils is a disease that is significantly reducing the population of Tasmanian devils. This disease is transmitted between animals through bites and is caused by parasites. The parasites cause cancerous tumors to spread throughout the infected animal's body, leading to its death. What is the best description of DFTD?","{'text': ['a non-infectious cell cycle disease', 'an infectious cell cycle disease', 'a non-infectious chronic disease', 'an infectious chronic disease'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,"A small mammal living in the mountainous regions of the western United States makes its home in rock piles. In the summer, this mammal places grass and seeds in protected areas of the rock piles. Which of the following is most likely the reason for this behavior?","{'text': ['To prepare for migration before winter', 'To provide warmth during the cold winter', 'To store food to be eaten during the winter', 'To protect the grass and seeds from rotting before winter'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,Petrified palm trees have been found in sedimentary rock near glaciers. The presence of petrified palm trees most likely provides evidence for which statement?,"{'text': ['The area once had more water.', 'The area was once a grassland.', ""The area's climate was once tropical."", 'There is an active fault in the area.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,Farmers in Wyoming are concerned because some of their chickens are being preyed upon by hawks living in the areas surrounding the ranches. So the farmers banded together to hunt the hawks until they no longer appear in their area. What is most likely to happen next?,"{'text': ['The number of chickens will decrease.', 'The number of mice and rodents will increase.', 'Another bird of prey will replace the hawks.', 'The incidence of chicken diseases will decrease.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,Copper is an element used for electrical wires. What is the smallest unit that retains the characteristics of copper?,"{'text': ['atom', 'electron', 'nucleus', 'proton'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7250058,"According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which characteristic is commonly used to distinguish prokaryotic cells from eukaryotic cells?","{'text': ['life processes', 'size difference', 'plasma membrane', 'energy molecules'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7012740,Which statement best describes the Sun's effect on the ocean?,"{'text': ['The Sun influences the formation of waves.', 'The Sun produces water particles.', ""The Sun's rays cause organisms to float to the surface."", 'The Sun provides minerals.'], 'label': ['A', 'B', 'C', 'D']}",A
