Unnamed: 0,question,subject,choices,answer
0,"In a situation where a rider involuntarily makes contact with another passenger due to an unexpected stop of a subway car, which legal principle is most applicable to determine liability in a civil action?",professional_law,"[""Strict liability, as the rider's actions directly caused harm regardless of intent."", 'Negligence, where the focus is on whether the rider failed to exercise reasonable care.', 'Res ipsa loquitur, suggesting that the very occurrence of the incident implies negligence.', 'Assumption of risk, as the girl voluntarily stood in the subway knowing potential risks.']",1
1,"In a case where a mother sues a doctor for intentional infliction of emotional distress after her child was molested in a treatment room, what is a critical factor that would determine the mother's success in court?",professional_law,"[""The mother's presence in the room during the incident."", ""The doctor's prior history of similar behavior."", ""The foreseeability of the mother's emotional distress by the doctor."", ""The child's age at the time of the incident.""]",2
2,"In the context of property law, which of the following best describes the legal concept established when an agreement grants a right-of-way over a neighbor's land for access purposes?",professional_law,"['Easement appurtenant, which transfers with the dominant estate to successive owners.', ""License, which is a revocable personal privilege to use another's land."", 'Tenancy in common, where two or more parties hold an undivided interest in the property.', 'Fee simple absolute, providing full ownership rights to the land.', ""Life estate, allowing use of the land for the duration of a person's life.""]",0
3,"When a state court is faced with a case involving a federal statute that has not yet been interpreted by any federal court, under what circumstances can the state court decline to hear the case, given that the statute allows claims to be brought in any court of competent jurisdiction?",professional_law,"['The state court can decline to hear the case if it believes the federal statute is unconstitutional.', 'The state court can decline to hear the case if there is a similar state law cause of action and the state cause is more familiar to the court.', 'The state court can decline to hear the case if the federal statute involves complex federal regulatory schemes better suited for federal courts.', 'The state court must hear the case as long as it is a court of competent jurisdiction and the federal statute does not exclusively mandate a federal forum.']",3
4,"If a defamatory statement is made by a competitor in a private letter addressed only to the plaintiff and not communicated to any third party, why is such a statement unlikely to succeed as a defamation claim under common law?",professional_law,"['Because defamation requires malicious intent, which cannot be proven in this scenario.', 'Because defamation requires the defamatory statement to be communicated to a third party, which did not happen here.', 'Because the statement must be published in a public forum to be considered defamation.', 'Because the truth of the statement is a complete defense in defamation, making the contents of the letter irrelevant.']",1
5,"In a real estate transaction where the seller is required to convey a 'marketable title' by quitclaim deed, what would be the most appropriate legal action for the buyer if a title search reveals an unsatisfied mortgage and an easement on the property?",professional_law,"['The buyer should proceed with the closing since the quitclaim deed covers any title defects.', 'The buyer should demand a reduction in the purchase price equivalent to the mortgage amount.', 'The buyer should request that the seller clear the title issues, including the mortgage and easement, before closing.', 'The buyer should file a lawsuit immediately to void the contract based on the unmarketable title.']",2
6,"In a jurisdiction with a statute requiring motorists to stop for pedestrians at crosswalks, how should a judge rule on the admissibility of a neighbor's testimony that the plaintiff 'always crosses outside of the crosswalk' in a case where the plaintiff claims to have been hit while in the crosswalk?",professional_law,"[""The testimony is admissible as it establishes a pattern of behavior relevant to the plaintiff's actions at the time of the accident."", 'The testimony is inadmissible because it is irrelevant to the specific incident in question.', ""The testimony is admissible only if supported by additional evidence of the plaintiff's behavior during the incident."", 'The testimony is inadmissible as it constitutes hearsay and lacks direct observation of the incident.']",1
7,"In a court of law, when considering the admissibility of a co-conspirator's out-of-court statement implicating others in a crime, which legal principle is most relevant in determining if the statement can be used as evidence?",professional_law,"['The hearsay rule and its exceptions, particularly regarding statements made during and in furtherance of a conspiracy.', 'The rule against self-incrimination, which prevents any incriminating statements from being used against the speaker.', ""The exclusionary rule, which excludes evidence obtained in violation of the defendant's constitutional rights."", 'The rule of competency, which determines whether a witness is competent to testify in court.']",0
8,"In a scenario where one party lends their vehicle to another under specific instructions for a limited purpose, and the borrower deviates from the agreed usage resulting in an accident, what legal principle would most likely determine the liability for damages?",professional_law,"['The borrower is liable for damages due to deviation from the agreed purpose, invoking the principle of conversion.', 'The lender is liable for damages since they voluntarily lent the vehicle, assuming risk.', 'Both parties share liability equally due to the shared intent of the vehicle use.', 'The borrower is not liable as the accident was unforeseeable and occurred after completing the agreed task.']",0
9,"In a situation where a defendant charged with a misdemeanor punishable by imprisonment does not have legal representation, how should a court proceed to ensure the defendant's constitutional rights are protected, according to the landmark decision in Gideon v. Wainwright?",professional_law,"['The court should proceed with the trial without appointing a lawyer, as misdemeanors do not require legal representation.', 'The court must appoint an attorney for the defendant only if the defendant is unable to afford one and requests it.', ""The court must appoint an attorney for the defendant regardless of the defendant's financial status or request."", 'The court can impose a fine but cannot impose a jail sentence if the defendant was not represented by an attorney.']",3
10,"In a civil trial, how would you apply the Federal Rules of Evidence to determine the admissibility of expert testimony based on medical records, when the records were prepared by physicians who are not available for cross-examination?",professional_law,"[""The expert's testimony is admissible because it is based on records typically relied upon by experts in the field, even if the original physicians are unavailable."", ""The expert's testimony is inadmissible because it relies on hearsay evidence, which is not permissible under any circumstances."", ""The expert's testimony is admissible only if the original physicians' records are independently verified by another expert in the field."", ""The expert's testimony is inadmissible unless the original physicians are available for cross-examination.""]",0
11,"In the context of contract law, when a seller claims discharge due to impracticability, how can one determine whether the situation truly constitutes impracticability rather than a mere inconvenience?",professional_law,"['Assess whether the event was unforeseen and alters the fundamental nature of the contract, making it excessively burdensome.', ""Determine if the event was caused by the seller's negligence, thereby invalidating the claim of impracticability."", 'Verify if the event has occurred within the ordinary course of business, suggesting the seller should have anticipated it.', 'Check if the seller could have taken reasonable measures to prevent the circumstance, thus negating impracticability.']",0
12,"In a case where a medical device is found defective after causing an injury, which legal doctrine would most likely support the injured party's claim against the manufacturer without the need to prove negligence?",professional_law,"['Res ipsa loquitur', 'Strict liability', 'Contributory negligence', 'Assumption of risk']",1
13,"In a scenario where a roofer begins work after a homeowner's verbal indication of acceptance but before a formal contract is signed, which legal doctrine best supports the roofer's claim for compensation?",professional_law,"[""Promissory estoppel, as the roofer relied on the homeowner's promise to their detriment."", 'Quantum meruit, because the roofer has partially performed the contract.', 'Specific performance, since the roofer has started the work.', ""Accord and satisfaction, due to the homeowner's initial agreement.""]",0
