id,question,choices,answerKey
Mercury_7175875,A figure skater pulls in their arms during a spin. What is the most likely result of this action?,"{'text': ['The spin will slow down.', 'The spin will stop.', 'The spin will speed up.', ""The skater's balance will be lost.""], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,A team of scientists conducted simulations to determine how various bridge designs would perform under strong wind conditions. What is the most likely outcome of testing different bridge designs?,"{'text': ['bridges will be constructed more quickly', 'bridges will be more stable', 'bridge designs will be more aesthetically pleasing', 'bridge construction costs will decrease'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,"During the process of cellular respiration, which event marks the initial step?","{'text': ['Oxygen is utilized to produce ATP.', 'Glucose is broken down to release energy.', 'Carbon dioxide is absorbed by cells.', 'Water is split to release oxygen.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_407327,A scientist is experimenting with plant growth by adjusting the amount of sunlight each plant receives. The sunlight exposure is increased by 2 hours in the second and third trials. What is the scientist altering in this experiment?,"{'text': ['the control', 'the hypothesis statement', 'the dependent (responding) variable', 'the independent (manipulated) variable'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,Two astronauts release a 2.0 kg object and a 6.0 kg object from rest on Mars. Both objects fall a total distance of 3.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.5 m?,"{'text': ['They have each gained thermal energy.', 'They have each lost gravitational potential energy.', 'They have each gained the same amount of potential energy.', 'They have each gained half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,Chytridiomycosis is a disease affecting amphibians globally. It spreads through water and is caused by a fungus. The fungus leads to severe skin infections that can be fatal. What is the best description of chytridiomycosis?,"{'text': ['a non-infectious, skin disease', 'an infectious, respiratory disease', 'a non-infectious, chronic disease', 'an infectious, skin disease'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2014_5_7,A type of bird native to the forests of North America collects small twigs and leaves during the autumn months. What is the most likely reason for this behavior?,"{'text': ['to prepare for migration in the spring', 'to stay warm during the winter', 'to build a nest for the upcoming breeding season', 'to decorate their territory for display'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,Fossils of tropical fish are found in sedimentary rock in a desert. What does this most likely indicate about the past environment?,"{'text': ['The area was once a forest.', 'The climate was once cool and dry.', 'The area used to be underwater.', 'There was volcanic activity in the area.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,"In a forest ecosystem, wolves were removed by hunters. What is the most likely consequence of their removal?","{'text': ['Deer population would decrease.', 'Plant life would flourish.', 'The number of small predators would increase.', 'The ecosystem would become more balanced.'], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2003_8_11,Gold is a metal often used in jewelry. What is the smallest unit of gold that retains its properties?,"{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}",A
