Unnamed: 0,question,subject,choices,answer
0,"A commuter boarded a subway train at the 42nd Street stop. Finding no available seats, the commuter stood and held onto a pole for balance. As the train traveled downtown, the commuter noticed a person standing nearby. Abruptly, the train came to a halt, causing the commuter to temporarily lose his balance and grab the person around the waist to steady himself. After regaining his footing, he released the person and returned to holding the pole. In a lawsuit filed by the person against the commuter, the commuter is most likely to be found",professional_law,"['liable for battery.', 'liable, because the commuter assumed the person consented to the contact in that situation.', ""not liable, because the commuter's actions were considered acceptable given the situation."", 'not liable, because the contact did not harm the person.']",2
1,"A mother took her young daughter to an emergency room for medical care. During the treatment, the attending doctor abused the child. At that moment, the mother was not in the room as she had stepped out for a coffee. Two weeks later, the child disclosed the incident to her mother, who then experienced severe emotional distress leading to physical illness. In a lawsuit filed by the mother against the doctor for causing intentional emotional distress, will the mother likely succeed?",professional_law,"['No, because the mother was negligent in leaving the child alone with the doctor.', 'No, because the mother was neither directly harmed nor did she witness the incident as it happened.', ""Yes, because the doctor's actions were egregious."", ""Yes, because the mother's emotional suffering was a foreseeable outcome of the doctor's actions.""]",1
2,"A wedding planner owned a summer cottage by the lake. To make the cottage more accessible, situated on a hill above the lake, the wedding planner made an agreement with a neighboring landowner. The neighbor, in writing, granted the wedding planner a right-of-way over a strip of land measuring 30 feet wide and a quarter of a mile long along the eastern edge of the neighbor’s property. Without informing the neighbor, the wedding planner improved the road by having it paved to enhance vehicle access. Years later, the neighbor began operating a sand business, which involved heavy hauling that eventually damaged the paved road. Ten years after the neighbor started his business, the wedding planner sold his lakeside property to an artist. Soon after the artist moved in, the neighbor placed wooden barriers across the road, blocking access to the artist’s property. How can the wedding planner’s interest in the access road be best described?",professional_law,"['an easement in gross.', 'an easement implied by prior use.', 'an easement by necessity.', 'an express easement.']",3
3,"A plaintiff has filed a lawsuit against a defendant in a state court where both parties live. The plaintiff's claim is based solely on a cause of action under a federal statute, despite there being a similar cause of action under state law. The federal statute states that claims can be filed in any court with the proper jurisdiction. No federal court has yet interpreted the statute. Is it appropriate for the state court to hear this case?",professional_law,"['No, because cases involving federal law must be heard in federal court.', 'No, because state courts should wait for a federal court to decide on the federal issue before proceeding.', 'Yes, because state courts are not allowed to treat cases based on federal law differently.', 'Yes, because the parties cannot go to federal court as there is no diversity of citizenship.']",2
4,"A manager received a letter from a competitor accusing him of being professionally incompetent and one of the worst businesspeople in town. This letter was addressed to the manager, who read it once and then stored it away privately without showing it to anyone. Later, the manager attempted to sue the competitor for defamation based on this letter. Is the court likely to dismiss the case, and why? Consider the common law principles of defamation.",professional_law,"['Yes, it will dismiss because the letter was only communicated to the manager.', ""Yes, it will dismiss because the language does not harm the manager's reputation."", 'No, it will not dismiss since all elements of defamation seem to be present.', 'No, it will not dismiss as the plaintiff is entitled to a jury trial to establish defamation.']",0
5,"A seller agreed to sell a property to a buyer for $300,000. The agreement stated that the closing would occur 60 days after signing, and the seller would provide a 'marketable title' using a quitclaim deed at closing. No other conditions about the title were included in the contract. A title check showed a $50,000 mortgage on the property and a right-of-way easement affecting part of the land. The buyer argues that the title isn't marketable and refuses to proceed with the purchase. Is the buyer justified?",professional_law,"['No, because the current facts do not make the title unmarketable.', 'No, as the buyer accepted a quitclaim deed.', 'Yes, since the right-of-way easement renders the title unmarketable.', 'Yes, because the existing mortgage makes the title unmarketable.']",2
6,"A plaintiff has filed a lawsuit against a defendant for injuries sustained when the defendant's vehicle struck him. During the trial, the plaintiff claimed he was traversing the street within a crosswalk at the moment of impact. This incident occurred in a jurisdiction with a law mandating that drivers must stop to allow pedestrians to cross at crosswalks. Conversely, the defendant argued that the plaintiff suddenly entered the street outside of the crosswalk. The defendant also testified that he promptly applied his brakes upon noticing the plaintiff but was unable to halt the car in time to prevent the collision. To bolster his testimony, the defendant summons a neighbor to testify that over the years she has observed the plaintiff and noted that he 'consistently crosses the street outside the crosswalk.' How is the neighbor's testimony likely to be treated in court?",professional_law,"['admitted, because it suggests that the plaintiff was negligent.', ""admitted, because it indicates the plaintiff's habit of crossing streets outside crosswalks."", 'excluded, because the neighbor did not witness the incident.', ""excluded, because her testimony is inadmissible as character evidence to prove the plaintiff's actions on the specific occasion.""]",1
7,"A group of people stole a painting from an art gallery. The driver, who was caught during another crime, confessed to the police, saying, 'I didn't receive any money from the art gallery heist. The money went to the first and second individuals.' When the first and second individuals are tried for the art theft, is the driver's statement admissible in the legal proceedings?",professional_law,"['Yes, because it is an admission by a party opponent.', 'Yes, as it is a statement against the interests of the other defendants.', 'No, since it was made while in custody and may be unreliable.', ""No, because it wasn't made during or in furtherance of the conspiracy, making it hearsay.""]",3
8,"A baseball enthusiast wanted to buy tickets for an upcoming game at the local stadium. He reached out to the stadium's ticket office and learned that tickets would be available for purchase at the stadium starting at 9:00 a.m. the next day. Knowing he couldn't leave his job as a bricklayer to buy the tickets, he called his neighbor to see if he could go to the stadium on his behalf. The neighbor agreed to buy the tickets for him and also wanted to purchase some for himself. However, the neighbor mentioned that his car was not working, and he had no way to get to the stadium. The fan offered to lend his car to the neighbor, who accepted. The following morning, they met at the fan's residence; the fan handed over the car keys and money for the tickets. The neighbor drove to the stadium, bought the tickets for both of them, and was supposed to return the car afterward. Instead, he decided to visit a friend 120 miles away. On his way, he was involved in an accident that severely damaged the fan's car. The repair costs exceeded the car's market value. In a lawsuit filed by the fan against the neighbor to recover the damages from the accident, the fan is most likely to",professional_law,"['recover nothing, as the neighbor was engaged in a joint activity at the time of the accident.', 'recover the expenses needed to fix the car.', ""recover the car's market value."", ""recover, due to the neighbor's negligent driving at the time of the incident.""]",2
9,"An individual, unable to afford legal representation, was taken into custody and charged with having less than one ounce of marijuana. According to the state law, possession of this amount is considered a misdemeanor, with penalties including up to one year in jail and/or a $500 fine. During the trial, the individual entered a plea of not guilty and asked for a court-appointed attorney, a request which the judge denied. If the individual is later convicted, what is the harshest punishment that can be legally given?",professional_law,"['A $500 fine.', 'Six months in jail.', 'One year in jail.', 'No penalty, as the individual was denied legal representation.']",0
