Unnamed: 0,question,subject,choices,answer
0,一名通勤者，他是一名平面设计师，经常乘坐地铁前往位于繁忙市中心的办公室，在市中心车站登上了一辆地铁列车。由于没有空位，他选择站着并抓住一个扶杆以保持稳定。在乘车过程中，他注意到另一位乘客，一位站在旁边的女士，似乎全神贯注于一本关于现代建筑的书。当因持续的轨道维护而偶尔突然停车而闻名的列车突然停下时，这位通勤者短暂地失去了平衡。他本能地把手臂围住了那位女士以稳定自己。恢复平衡后，他道了歉，松开了她，然后继续抓住扶杆。在这位女士因通勤者的行为提起的诉讼中，通勤者的行为可能的法律结果是什么？,professional_law,"['对电池负责。', '负有责任，因为骑车人相信在这种情况下女孩同意接触。', '不负责任，因为在这种情况下骑车人的行为在社会上是可以接受的。', '不负责任，因为女孩没有因接触而受到伤害。']",2
1,一位母亲带着她的小孩到医院急诊室接受治疗，因为小孩从游乐场滑梯摔下并遭受了轻微骨折。医院以其儿科护理而闻名，并受到多位朋友的推荐。在治疗过程中，因为母亲暂时出去接电话，小孩独自和主治医生在一起时，医生对小孩进行了不当行为。两周后，在家人为小孩庆祝生日后，小孩向母亲透露了这件事，导致母亲经历了强烈的情绪困扰和身体不适。母亲因此请假以处理情绪上的困扰，并正考虑采取法律行动。如果母亲对医生提起故意造成情绪困扰的诉讼，她的索赔是否有可能成功？,professional_law,"['不，因为母亲在治疗期间让小孩独自和医生在一起存在过失。', '不，因为母亲既不是医生行为的直接受害者，也不是同时目击者。', '是，因为医生的行为令人发指。', '是，因为母亲的痛苦是医生行为的自然和可预见的后果。']",1
2,一位物业所有者喜欢在周末到他们位于宁静湖泊附近山上的乡村小屋度过时光，但由于地形崎岖，到达小屋十分不便。为了更容易到达小屋，所有者与拥有相邻土地的邻居达成协议。这位邻居已经在此居住超过20年，喜欢园艺，并在书面形式中给予物业所有者使用沿邻居财产边缘30英尺宽、四分之一英里长的土地的许可。物业所有者没有告知邻居就用沥青铺设了这条道路以改善车辆通行，而邻居正忙于扩建他们的花园。几年后，邻居开始了一项需要重型运输的送货业务，这损坏了沥青。业务开始十年后，物业所有者将小屋卖给了一位喜欢画风景的艺术家。当艺术家搬进来时，邻居用木栅栏封锁了道路，切断了艺术家到小屋的通道。物业所有者与邻居达成协议时，最初对这条道路拥有何种权益？,professional_law,"['个人地役权。', '基于先前使用的默示地役权。', '必要地役权。', '明示地役权。']",3
3,一名居住在加利福尼亚的原告正在对在德克萨斯经营业务的被告提起诉讼。他们在自己所在州的法院提起这起诉讼，认为被告违反了一项联邦消费者保护法。这项联邦法律相对较新，尚未被任何联邦法院解释。有趣的是，加利福尼亚的一项州法也提供了类似的消费者保护索赔，但原告选择仅依据联邦法律提起诉讼。该联邦法律允许在任何适当的法院提起索赔。在这些情况下，加利福尼亚州法院是否适合受理此案？,professional_law,"['不，因为依据联邦法律提出的案件必须由联邦法院裁定。', '不，因为在联邦法院决定联邦问题之前，州法院必须在依据联邦法律提出的案件中回避。', '是，因为州法院不得歧视依据联邦法律提出的案件。', '是，因为由于没有公民身份的多样性，当事人无法在联邦法院进行诉讼。']",2
4,一位企业主最近通过开设两个新分支扩展了他的企业，并因其创新实践而被当地商业杂志报道，收到了来自竞争对手的信。信中指责他在专业上极其无能，并称他是当地最糟糕的企业主之一。尽管他有一个支持他的家庭和忠诚的客户群，但这封信只有企业主看过，他将其隐藏起来，从未展示给其他人。如果企业主决定就这封信对竞争对手提起诽谤诉讼，法院是否可能驳回案件？请根据普通法诽谤原则解释。,professional_law,"['是的，因为这封信只传达给了经理本人，法院会驳回。', '是的，因为信中的语言不会损害经理的声誉，法院会驳回。', '不是，法院不会驳回，因为情况表明诽谤的所有要素都存在。', '不是，法院不会驳回，因为在诽谤诉讼中，原告有绝对权利来要求陪审团审判以证明诽谤。']",0
5,卖方从祖父母那里继承了一栋迷人的维多利亚式房屋，并同意以30万美元的价格将该房产出售给买方。协议在一家以手工咖啡闻名的本地咖啡店签署，规定交易将在签署后60天完成。卖方急于搬到一个海滨小镇过上更安静的生活，承诺在交割时通过一份放弃索赔契约提供“可交易的产权”。合同中没有关于产权的其他条款。经过调查，发现该物业被一笔未付的5万美元抵押和一个自物业建成以来一直存在的通行权地役权所负担。买方本想着开一个小型的住宿加早餐旅馆，认为这使得产权不可交易，拒绝完成购买。买方的拒绝是否合理？,professional_law,"['不，因为这些事实下没有任何情况导致产权不可交易。', '不，因为买方同意接受一份放弃索赔契约。', '是的，因为通行权地役权使得产权不可交易。', '是的，因为未清偿的抵押贷款使得产权不可交易。']",2
6,在一个以繁忙的行人交通和多个人行横道而闻名的城市街区，一起涉及行人被车撞伤的诉讼出现。行人声称他是在使用人行横道时被撞的，这是当地安全宣传活动所鼓励的常见做法，而司机则主张行人是在远离人行横道的地方跑到街上。司机刚刚在工作一天后离开附近的咖啡店，希望使用一位经常看到该行人在人行横道外过马路的当地居民的证词。该证词有多大可能性会在法庭上被接纳以支持司机的说法？,professional_law,"['接纳，因为这表明原告不小心。', '接纳，因为这能证明原告习惯于在人行横道外过马路。', '排除，因为邻居不是事故的目击者。', '排除，因为她的证词是不可允许的品行证据，用于证明被告在特定场合的行为。']",1
7,在一座繁忙城市的一场高调艺术展览中，一幅著名画作在一次大胆的盗窃中被偷。第二周，因在邻镇超速行驶而被捕的逃跑司机向警方承认了他参与了这起艺术盗窃。他透露，他没有收到任何关于被盗画作的付款；相反，付款被给了他的两个同伙，他们是有类似犯罪历史的知名艺术窃贼。在他们的画作盗窃审判中，这份供词能作为对同伙的证据吗？,professional_law,"['是的，作为对方当事人的自认。', '是的，作为对其他被告不利的陈述。', '不，因为是在拘留期间作出的，因此不可靠。', '不，因为陈述不是在共谋过程中或为了共谋而作出的，因此是传闻。']",3
8,一位棒球爱好者对参加在新装修的本地体育场举行的比赛感到兴奋，该体育场最近举办过一场著名的国际比赛。他打电话给体育场的售票处，得知门票将在第二天上午9点开始发售。由于他在一个需要他在场的知名建筑项目中担任砖瓦工，他不能离开工作去自己买票。他询问了他的邻居，这位邻居也是一个狂热的棒球迷，也想买票，是否可以去体育场为他购买门票。邻居同意了，但提到他的车因为最近一次公路旅行中的事故而坏了。这位粉丝刚刚为他的车进行了最佳性能的保养，提出将车借给邻居，邻居接受了。第二天早上，粉丝把车钥匙和买票的钱交给了邻居。邻居开着粉丝的车去了体育场，买了两套票，之后应该把车还回来。然而，邻居决定去看望一个刚搬到该地区并正在举办乔迁派对的朋友，距离有120英里。在这次计划外的旅行中，另一辆车撞上了他，严重损坏了粉丝的车，修理费用超过了车的价值。如果粉丝因为事故而起诉邻居索赔损失，该案可能的结果是什么？,professional_law,"['无法获得任何赔偿，因为事故发生时邻居正在执行联合任务。', '获得修理车辆的费用。', '获得车辆的零售价值。', '获得赔偿，因为事故发生时邻居疏忽驾驶了汽车。']",2
9,一名贫困的被告，最近失去了工作，正在努力养活他的家人，被逮捕因为持有少于一盎司的大麻。这在州法律下被归类为轻罪，可能的惩罚是最多一年监禁和/或500美元罚款。在他的审判期间，法庭上挤满了旁观者，包括媒体成员，而被告由于无法负担法律代表，要求指定的律师。尽管有当地媒体的存在，法官拒绝了这一请求。如果被告被定罪，在不违反宪法权利的情况下，能对他施加的最严厉的惩罚是什么？,professional_law,"['500美元罚款。', '六个月监禁。', '一年监禁。', '无判刑，因为被告被剥夺了获得律师的权利。']",0
10,在一起车祸引发的人身伤害诉讼中，事故发生在一个能见度不佳的雨夜，被告方的医学专家在骨科评估方面有超过20年的经验，对原告进行了评估并检查了历史医疗记录。专家作证称，原告的伤害不是由事故造成的，因为之前的医疗记录表明原告有慢性病。陪审团在考虑所有证据后，给予原告象征性赔偿。在审判过程中，原告的律师对被告的专家进行了详细的交叉询问，但后来对该专家证词的可采性提出质疑。原告声称这属于传闻证据，因为证词依赖于其他医生的记录，而这些医生无法进行交叉询问。根据联邦证据规则，法院应该如何裁决这一问题？,professional_law,"['关于原告事故前状况的证词无关紧要，证词不可采纳。', '联邦证据规则允许采纳为医疗诊断或治疗目的而作的传闻陈述。', '与案件相关的医学证词永远不能从被告的案例中排除，因为它总是可靠的。', '证词是不可采纳的传闻证据，因为在这些事实下有宪法权利对撰写先前记录的医生进行交叉询问。']",1
11,一位卖家已签订合同，向买方交付一大批货物。由于不可预见的自然灾害，卖家的主要生产设施遭到严重破坏，导致生产出现重大延误。因此，卖方声称现在很难履行销售合同。关于因履行不能而终止合同的说法中，哪一项是不正确的？,professional_law,"['问题不得由寻求援引该抗辩的一方的过错造成。', '价格上涨足以解除合同。', '不借故解除履行义务将导致严重的不公正。', '履行不能必须涉及合同成立时的基本假设。']",1
