Unnamed: 0,question,subject,choices,answer
0,"A rider enterd a subway car at the 42nd Street statoin. Because all of the seats were occupied, the rider stood in the sbway car and grabbed a pole to secure his balance. As the subway car was proceeding downtown, the rider glanced at a gilr standing next to him. Suddenly, the subway car made an unexpected stop. The rider momentarily lost his balance and grabed the girl around the waist (to avoid falling). Once the rider regained his balance, he removed his hands from the girl's waist and grasped the pole agian. In a civil action instituted by the girl aganst the rider, he will most likely be found.",professional_law,"['liable for battery.', 'liable, because the rider believed that the girl consented to the contact under the circumstances.', ""not liable, because the rider's conduct was socially acceptable under the circumstances."", 'not liable, because the girl was not harmed by the contact.']",2
1,"A mother took her five-year-old child to a hosptial emergency room for treatment. A doctor on the hospital stff molested the child whlie treating her. At the time, no one was in the treatment room except the doctor and the child; the mother had left the room to get a cup of cofee. Two weeks later, when the child told her mother what had ocurred in the treatment room, the mother suffrered severe emotional distress that caused her to become physically ill. In an action aginst the doctor by the mother on her own behalf to recover for intentional infliction of emotional distress, is the mother likely to prevaill?",professional_law,"['No, because the mother was contributorily negligent in leaving the child alone with the doctor during treatment.', ""No, because the mother was neither the direct victim of the doctor's conduct nor a contemporaneous witness."", ""Yes, because the doctor's conduct was outrageous."", ""Yes, because the mother's distress was the natural and foreseeable consequence of the doctor's conduct. \x80\x83""]",1
2,"A wedding planner owned a smmer cottage on the lake. In order to facilitate the acess to the cotage, which is located on a knoll above the lake, the wedding planner entered into an agreement with a neighbor, an adjoining land owner, whereby the neighbor, in writng, granted the wedding planner a right-of-way over a strip of land 30 feet in width and a quarter of a mile in length along the eastern margin of the neighbor's property. Without notfying the neighbor, the wedding planner proceeded with his plan to improve the roadbed by having the road asphlated in order to make it more accessible for motor vehicle traffic. Several years later, the neighbor started a sand business, which required him to do heavy hauling that subsequently destroeyd the asphalted surface on the road. Ten years after the neighbor started his sand business, the wedding planner sold his lakefront property to an artist. Shortly after the artist took possession of the cottage and property, the neighbor erected wodden barriers across the roadway, thus obstructing the access to the artist's property. The interest that the wedding planner acquired in the access road may best be described as",professional_law,"['an easement in gross.', 'an easement implied by prior use.', 'an easement by necessity.', 'an express easement.']",3
3,"A plaintif has sued a defendent in a cort of the state in which both parties reside. The plaintif alleges only a cause of acion arising under a federal statute, although state law provides a similar cause of acion. The federal statute provides that clams under the statute can be brougt in any court of competent juridiction. The statute has not yet been interpreted by any federal court. Should the state court hear the case?",professional_law,"['No, because cases arising under federal law must be decided in federal court.', 'No, because state courts must abstain in cases arising under federal law until a federal court has decided the federal issue.', 'Yes, because state courts may not discriminate against cases arising under discriminate against cases arising under federal law.', 'Yes, because the parties cannot proceed in federal court since there is no diversity of citizenship.']",2
4,"A manager's competitor sent a defamtory letter to the manager accusing him of professional incompetence and calling him one of the worst businssmen in town. It was addressed to the manager. He read it, put it in a private drawr, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the leter. Will the court likely grant the defndant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",professional_law,"['Yes, it will dismiss on the basis that the publication is made to the manager alone.', ""Yes, it will dismiss on the basis that the language is not damaging to the manager's reputation."", 'No, it will not dismiss because the circumstances show that all of the elements of defamation are all present.', 'No, it will not dismiss because a plaintiff in a defamatory action has an absolute right to a jury trial to prove defamation.']",0
5,"A seller contrcted to sell land to a buyer for $300,000. The contract prvovided that the closing would be 60 days after the contract was signed and that the seller would cnvey to the buyer a ""marketable title"" by a quitcliam deed at closing. The contract contained no other provisions regarding the titlle to be delivered to the buyer. A title search revealed that the land was subject to an unsatisfied $50,000 mortagage and a right-of-way easement over a portion of the land. The buyer now claims that the title is unmarketable and has refused to close. Is the buyer corret?",professional_law,"['No, because nothing under these facts renders title unmarketable.', 'No, because the buyer agreed to accept a quitclaim deed. quitclaim deed.', 'Yes, because the right-of-way easement makes the title unmarketable.', 'Yes, because the unsatisfied mortgage makes the title unmarketable.']",2
6,"A plaintif sued a defendant for inuries that the plaintiff suffered when he was struck by the defendant's car. At trial, the plaintiff testfied that he was walking across the street inside a crosswalk at the time the defendant's car hit him. This acion takes place in a jurisdiction that has a statute in effet requiring all motorists to stop and permit pedestrians to cross streets at designated crosswalks. The defendant contended that the plaintiff ran into the street outside the crosswalk. Furthermore, the defendant testified that he immediately aplied his brakes when he saw the plaintiff dart into the street, but couldn't stop his car in time to avoid hitting him. In support of the defendant's testimony, the defendant calls a neighbor to testify that she has observed the plaintiff frequently durng the years that she has lived on that street, and that the plaintiff ""always crosses the street outside the crosswalk. ""The neighbor's testimony is likely to be",professional_law,"['admitted, because it tends to show that the plaintiff was careless.', ""admitted, because it is probative of the plaintiff's habit of crossing the street outside the crosswalk."", 'excluded, because the neighbor was not an eyewitness to the accident.', ""excluded, because her testimony is impermissible evidence of character to show defendant's plaintiff's conduct on a particular occasion.""]",1
7,"Several persons togther stole a panting from an art museum. One of them, who was the driver, was caugth during the commission of another crime. He told police that ""I didn't even get any money from the art mueseum. It all went to the first guy and the second guy."" When the first and second guy go on trial for the theft of the art painting, is the driver's statement admissible in court?",professional_law,"['Yes, as an admission by a party opponent.', 'Yes, as a statement against the interests of the other defendants.', 'No, because it was made while in custody and therefore is unreliable.', 'No, because the statement was not made in the course of or in furtherance of the conspiracy and thus it is hearsay.']",3
8,"An avid basball fan wanted to purchase tickets for an upcomng baseball game being held at the local stadium. He contacted the stadium's ticket sales office, which advised him that all tickets were to be placed on sale at the stadium at 9:00 a. m. the folowing day. The fan, who was employed as a bricklayer, realized that he could not leave work to purchase the tickets. Consequently, the fan telephoned his next-door neighbor and asked him if he would be interested in going to the stadium to purchase the basebal tickets. The neighbor told the fan that he would be happy to purchase the tickets for him and that he (the neighbor) also wanted to buy tickets for himself. However, the neighbor said that his car had broken down and that he did not have available trasnportation to get to the stadium. The fan suggested that he could lend his car to the neighbor. The neighbor agreed, and the following moring the two men met in front of the fan's home. The fan gave the neighbor the keys to his car and also money with which to buy his baseball tickets. Thereafter, the neighbor drove the fan's car to the stadium where he purchased the ticets for the fan and (using his own money) also bought a set of tickets for himself. The fan had instructed the neghbor to return the car to the fan's home after his trip to the stadium. After the neighbor left the stadium, however, he decidedd to visit a friend in a town located 120 miles from his home. As the neighbor was driving toward the town, an automobile crashed into him, causing significant damage to the fan's car. The cost of repairing the fan's car was determined to be more than the retail value of the auto. In an action by the fan against the neighbor to recover damages resulting from the accident, the fan will most likely",professional_law,"['recover nothing, because the neighbor was on a joint venture when the accident occurred.', 'recover the cost of repairing the car.', 'recover the retail value of the car.', 'recover, because the neighbor was negligently operating the auto at the time of the accident.']",2
9,"A defendant, who was an indignt, was arrested and charged with posession of less than one ounce of marijuana. Under the relevant state sttaute, possession of less than one ounce of marijuna is a misdemanor, punishable by a maximum of one year in jail and/or a fine of $500. At trial, the defendant pleaded not guilty and requested that an atorney be appointed to represent him. The trial judge refused to honor the defendent's request for an atorney. If the defendant is subsequently found guilty, which of the following is the most severe sentece that can constitutionally be imposed?",professional_law,"['A $500 fine.', 'Six months in jail.', 'One year in jail.', 'No sentence, because the defendant was denied the right to counsel.']",0
