Unnamed: 0,question,subject,choices,answer
0,"A passenger enters a subway car at the 42nd Street station. Since all seats are taken, the passenger stands in the car and grabs a handrail to maintain balance. As the subway car heads downtown, the passenger glances at a girl standing next to him. Suddenly, the subway car stops unexpectedly. The passenger loses balance momentarily and grabs the girl's waist (to prevent falling). Once the passenger regains balance, he removes his hand from the girl's waist and re-grasps the handrail. If the girl files a civil lawsuit against the passenger, he is most likely to be judged",professional_law,"['liable for personal injury.', 'liable, because the passenger believed that the girl consented to the contact in this situation.', ""not liable, because the passenger's action is socially acceptable in this situation."", 'not liable, because the girl was not harmed by the contact.']",2
1,"A mother takes her five-year-old child to the hospital emergency room for treatment. During the treatment, a hospital doctor molests the child. At that time, no one else was in the treatment room except the doctor and the child; the mother had left the room to buy coffee. Two weeks later, when the child tells her mother about what happened in the treatment room, the mother suffers severe emotional distress, leading to physical discomfort. In a lawsuit filed by the mother on her own behalf against the doctor for intentional infliction of emotional distress, is it possible for the mother to win?",professional_law,"['No, because it was negligent of the mother to leave the child alone with the doctor during the treatment.', ""No, because the mother was neither the direct victim of the doctor's actions nor a simultaneous witness."", ""Yes, because the doctor's behavior was outrageous."", ""Yes, because the mother's distress was a natural and foreseeable consequence of the doctor's actions.""]",1
2,"A wedding planner owns a summer cottage on the lake. For convenient access to the cottage located on a hill above the lake, the wedding planner entered into an agreement with a neighbor (an adjacent landowner), in which the neighbor granted the wedding planner a 30-foot-wide and quarter-mile-long right of way in writing, along the eastern boundary of the neighbor's property. Without informing the neighbor, the wedding planner proceeded with improvements according to his plans, paving the road with asphalt to make it more suitable for motor vehicle traffic. Years later, the neighbor started a sand business, which required heavy transportation, and subsequently destroyed the asphalt surface of the road. Ten years after the neighbor started the sand business, the wedding planner sold his lakeside property to an artist. Shortly after the artist took over the cottage and property, the neighbor erected wooden barriers on the road, thereby blocking access to the artist's property. The interest the wedding planner acquired in the access road can best be described as",professional_law,"['an easement.', 'an easement implied by prior use.', 'a necessary easement.', 'an express easement.']",3
3,"A plaintiff sues a defendant in the court of the state where both parties reside. The plaintiff claims only under federal law, even though state law provides a similar cause of action. The federal statute states that claims under it can be brought in any court of competent jurisdiction. This statute has not been interpreted by any federal court. Should the state court hear the case?",professional_law,"['No, because cases under federal law must be decided in federal court.', 'No, because state courts must refrain from hearing federal law cases until federal courts decide on federal issues.', 'Yes, because state courts must not discriminate against cases brought under federal law.', 'Yes, because without diversity of citizenship, the parties cannot litigate in federal court.']",2
4,"A manager's competitor sent a defamatory letter accusing him of professional incompetence and calling him one of the worst businessmen in town. The letter was sent to the manager. He read the letter, put it in a private drawer, and never read it again. Later, he attempted to sue the competitor for defamation because of this letter. Is it possible that the court would grant the defendant's motion to dismiss, and on what grounds? Answer according to the common law definition of defamation.",professional_law,"['Yes, the court will dismiss because the publication was only to the manager himself.', ""Yes, the court will dismiss because the language does not damage the manager's reputation."", 'No, the court will not dismiss because the circumstances indicate that all elements of defamation are present.', 'No, the court will not dismiss because in a defamation lawsuit, the plaintiff has an absolute right to demand a jury trial to prove defamation.']",0
5,"The seller and the buyer signed a contract to sell land for $300,000. The contract stipulates that the transaction will take place 60 days after the contract is signed, and the seller will transfer 'marketable title' to the buyer through a quitclaim deed at closing. There are no other provisions in the contract regarding the title to be delivered to the buyer. A title survey shows an outstanding mortgage of $50,000 on the land and an easement of passage on part of the land. The buyer now claims that the title is not marketable and refuses to close. Is the buyer's claim correct?",professional_law,"['No, because based on these facts, there is nothing that makes the title unmarketable.', 'No, because the buyer agreed to accept a quitclaim deed.', 'Yes, because the easement of passage makes the title unmarketable.', 'Yes, because the outstanding mortgage makes the title unmarketable.']",2
6,"A plaintiff sues the defendant because the plaintiff was injured when the defendant's car hit him. At trial, the plaintiff testifies that he was crossing the street within the crosswalk when the defendant's car hit him. This case takes place in a jurisdiction where the law requires all drivers to stop at designated crosswalks and allow pedestrians to cross the street. The defendant argues that the plaintiff ran into the street from outside the crosswalk. Additionally, the defendant testifies that he immediately applied the brakes when he saw the plaintiff rush into the street, but he couldn't stop in time to avoid hitting him. To support the defendant's testimony, the defendant calls a neighbor to testify, who says that in the years she has lived on that street, she has often observed the plaintiff 'always crossing the street outside the crosswalk.' The neighbor's testimony might be",professional_law,"[""admitted because it shows the plaintiff's carelessness."", ""admitted because it demonstrates the plaintiff's habit of crossing the street outside the crosswalk."", 'excluded because the neighbor is not a witness to the accident.', ""excluded because her testimony is inadmissible character evidence to prove the defendant's conduct on a particular occasion.""]",1
7,"Several people stole a painting from an art museum together. One of them was the driver, who was caught committing another crime. He told the police, 'I didn't even get any money from the art museum. It all went to the first person and the second person.' When the first and second person are on trial for the art painting theft, can the driver's statement be used as evidence in court?",professional_law,"['Yes, as a statement of admission by a party.', 'Yes, as a statement against other defendants.', 'No, because it was made during detention and is therefore unreliable.', 'No, because the statement was not made during or in furtherance of the conspiracy and is therefore hearsay.']",3
8,"An avid baseball fan wants to buy tickets for an upcoming baseball game at the local stadium. He contacted the stadium's ticket office and was informed that all tickets would be sold at the stadium at 9 a.m. the next day. The fan, who works as a bricklayer, realized he couldn't take time off work to buy the tickets. Therefore, he called his next-door neighbor to ask if he would be willing to go to the stadium to buy the baseball tickets for him. The neighbor told the fan he would be happy to buy the tickets for him, and he (the neighbor) wanted to buy a ticket for himself as well. However, the neighbor said his car was broken, and he had no means of transportation to the stadium. The fan suggested he could lend his car to the neighbor. The neighbor agreed, and the next morning they met in front of the fan's house. The fan handed the car keys and the money for the tickets to the neighbor. Subsequently, the neighbor drove the fan's car to the stadium, where he bought tickets for both the fan (using his own money) and himself. The fan instructed the neighbor to return the car to his home after coming back from the stadium. However, after leaving the stadium, the neighbor decided to visit a friend in a town 120 miles away. While the neighbor was driving to the town, his car was hit by another vehicle, causing severe damage to the fan's car. The cost of repairing the fan's car was determined to exceed the car's retail value. In the lawsuit where the fan sued the neighbor to claim damages from the accident, the fan is most likely to",professional_law,"['not receive any compensation, because the neighbor was engaged in a joint venture at the time of the accident.', 'receive compensation for the repair costs.', 'receive compensation for the retail value of the car.', 'receive compensation because the neighbor was driving negligently at the time of the accident.']",2
9,"A defendant who is an indigent unable to afford an attorney is arrested and charged for possession of less than an ounce of marijuana. According to the relevant state law, possession of less than an ounce of marijuana is a misdemeanor, punishable by up to one year in jail and/or a $500 fine. At trial, the defendant pleads not guilty and requests the appointment of an attorney to defend him. The trial judge denies the defendant's request for an attorney. If the defendant is subsequently found guilty, which of the following is the most severe penalty that can legally be imposed?",professional_law,"['$500 fine.', 'Six months in jail.', 'One year in jail.', 'No penalty, because the defendant was deprived of the right to an attorney.']",0
