id,question,choices,answerKey
Mercury_7175875,一位天文学家观察到行星在陨石撞击后旋转速度加快。这种旋转加速最可能的影响是什么？,"{'text': ['行星密度将减少。', '行星年将变长。', '行星日将变短。', '行星引力将变强。'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,一组工程师想知道不同的建筑设计在地震中会如何反应。他们制作了几个建筑模型，并测试了每个模型在地震条件下的承受能力。测试不同的建筑设计最有可能产生什么结果？,"{'text': ['建筑会建得更快', '建筑会更安全', '建筑设计会更好看', '建筑材料会更便宜'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,光合作用过程的最终结果是产生糖和氧气。哪个步骤标志着光合作用的开始？,"{'text': ['化学能通过根部吸收。', '光能转化为化学能。', '叶子中的叶绿素捕获光能。', '阳光被转化为叶绿素。'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,一位物理学家想确定汽车必须达到的速度才能跳过坡道。物理学家进行了三次试验。在第二次和第三次试验中，汽车的速度增加了每小时20英里。物理学家在改变速度时正在研究什么？,"{'text': ['控制变量', '假设陈述', '因变量（响应变量）', '自变量（操控变量）'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,一名宇航员在月球上分别丢下1.0千克和5.0千克的物体。两个物体都垂直下落了总共2.0米。以下哪一项最能描述这两个物体在下落1.0米后的情况？,"{'text': ['它们各自失去了动能。', '它们各自获得了相同数量的势能。', '它们各自失去了相同数量的势能。', '它们各自获得了其最大动能的一半。'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,塔斯马尼亚恶魔面临的面部肿瘤病（DFTD）是一种正在大量减少塔斯马尼亚恶魔种群的疾病。这种疾病通过咬伤在动物之间传播，由寄生虫引起。寄生虫导致癌性肿瘤蔓延到受感染动物的全身并导致其死亡。对DFTD的最佳描述是什么？,"{'text': ['一种非传染性的细胞周期疾病', '一种传染性的细胞周期疾病', '一种非传染性的慢性疾病', '一种传染性的慢性疾病'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,一种生活在美国西部山区的小型哺乳动物以石堆为家。在夏季，这种哺乳动物会将草和种子放置在石堆中的保护地方。以下哪一项最可能是这种行为的原因？,"{'text': ['为冬季前的迁徙做准备', '在寒冷的冬季提供温暖', '储存将在冬季食用的食物', '保护草和种子在冬季前不腐烂'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,石化的棕榈树被发现于冰川附近的沉积岩中。石化棕榈树的存在最可能为哪种说法提供证据？,"{'text': ['该地区曾经有更多的水。', '该地区曾经是草原。', '该地区的气候曾经是热带的。', '该地区有活跃的断层。'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,怀俄明州的农民们感到担忧，因为他们的一些鸡被生活在牧场周围地区的鹰捕食。于是农民们聚集在一起猎杀鹰，直到它们不再出现在他们的地区。接下来最有可能发生什么？,"{'text': ['鸡的数量会减少。', '老鼠和鼠类的数量会增加。', '另一种猛禽会取代鹰。', '鸡的疾病发生率会降低。'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,铜是一种用于电线的元素。保持铜特性的最小单位是什么？,"{'text': ['原子', '电子', '原子核', '质子'], 'label': ['A', 'B', 'C', 'D']}",A
