id,question,choices,answerKey
Mercury_7175875,An astronomer notes that a planet's spin increases after a meteorite collision. What is the most probable consequence of this increased rotation?,"{'text': [""The planet's density will reduce."", ""The planet's orbital period will lengthen."", ""The planet's days will become shorter."", ""The planet's gravitational pull will intensify.""], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,A team of engineers aimed to assess how various architectural designs would perform during seismic activity. They created multiple building models and evaluated each for its ability to endure earthquake conditions. What is the most probable outcome from testing these different building designs?,"{'text': ['Buildings will be constructed more quickly', 'Buildings will be designed to be more secure', 'Building aesthetics will improve', 'Building costs will decrease'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,Photosynthesis results in the creation of sugar and oxygen. What marks the initial step of this process?,"{'text': ['Nutrients are absorbed through the roots.', 'Light energy is transformed into chemical energy.', 'Chlorophyll in the leaf absorbs light energy.', 'Sunlight is converted into chlorophyll.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,"A scientist is looking to find out what speed a car needs to achieve to successfully jump over a ramp. The scientist conducts three experiments. During the second and third experiments, the speed of the car is increased by 20 miles per hour each time. What is the scientist examining by varying the car's speed?","{'text': [""'the control'"", ""'the hypothesis'"", ""'the dependent variable'"", ""'the independent variable'""], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,"On the Moon, an astronaut releases two objects: one weighing 1.0 kg and the other 5.0 kg. Both objects descend vertically by a total of 2.0 meters. What accurately describes the state of the objects after falling 1.0 meter?","{'text': ['Both objects have lost kinetic energy.', 'Both objects have gained the same amount of potential energy.', 'Both objects have lost the same amount of potential energy.', 'Both objects have acquired half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,"Devil facial tumor disease (DFTD) is severely affecting Tasmanian devils by spreading through bites. It is triggered by parasites that lead to cancerous tumors, eventually leading to the animal's death. How can DFTD be best described?","{'text': ['a non-contagious, cell-cycle disorder', 'a contagious, cell-cycle disorder', 'a non-contagious, long-term illness', 'a contagious, long-term illness'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,"A small mammal native to mountainous areas in the western United States builds its home using piles of rocks. In the summer, it stores grasses and seeds in safe spots within these rock piles. What is the most probable reason for this behavior?","{'text': ['to prepare for migration before winter', ""to provide warmth during the winter's cold months"", 'to store food that will be consumed throughout the winter', 'to prevent the grasses and seeds from decaying before winter'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,Petrified palm trees have been discovered in sedimentary rock formations near glaciers. What does the presence of these petrified palm trees most likely suggest?,"{'text': ['The region once had a greater abundance of water.', 'The region was formerly a grassland.', ""The area's climate was once tropical."", 'The region has active geological faults.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,"In Wyoming, farmers were troubled because hawks in the vicinity were preying on their chickens. They decided to band together and eliminate the hawks from the area. What is the most likely consequence of this action?","{'text': ['The number of chickens would decrease.', 'Mice and rat populations would grow.', 'A different predatory bird would take the place of the hawk.', 'Chickens would experience fewer diseases.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,Copper is commonly used in making electrical wires. What is the smallest part of copper that retains its chemical properties?,"{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}",A
