id,question,choices,answerKey
Mercury_7175875,Un astronome observe qu'une planète tourne plus vite après l'impact d'une météorite. Quel est l'effet le plus probable de cette augmentation de rotation ?,"{'text': ['La densité planétaire diminuera.', 'Les années planétaires deviendront plus longues.', 'Les jours planétaires deviendront plus courts.', 'La gravité planétaire deviendra plus forte.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,Un groupe d'ingénieurs voulait savoir comment différents modèles de bâtiments réagiraient lors d'un tremblement de terre. Ils ont réalisé plusieurs maquettes de bâtiments et ont testé chacune pour sa capacité à résister aux conditions sismiques. Quel sera probablement le résultat des tests sur différents modèles de bâtiments ?,"{'text': ['les bâtiments seront construits plus rapidement', 'les bâtiments seront rendus plus sûrs', 'les modèles de bâtiments auront un aspect plus agréable', 'les matériaux de construction seront moins chers'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,Le résultat final du processus de photosynthèse est la production de sucre et d'oxygène. Quelle étape marque le début de la photosynthèse ?,"{'text': [""L'énergie chimique est absorbée par les racines."", ""L'énergie lumineuse est convertie en énergie chimique."", ""La chlorophylle dans la feuille capture l'énergie lumineuse."", 'La lumière du soleil est convertie en chlorophylle.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,"Un physicien veut déterminer la vitesse qu'une voiture doit atteindre pour sauter par-dessus une rampe. Le physicien effectue trois essais. Lors des essais deux et trois, la vitesse de la voiture est augmentée de 20 miles par heure. Que recherche le physicien lorsqu'il change la vitesse ?","{'text': ['le contrôle', ""l'énoncé de l'hypothèse"", 'la variable dépendante (répondante)', 'la variable indépendante (manipulée)'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,"Un astronaute laisse tomber un objet de 1,0 kg et un objet de 5,0 kg sur la Lune. Les deux objets tombent d'une distance totale de 2,0 m verticalement. Laquelle des affirmations suivantes décrit le mieux les objets après qu'ils aient parcouru une distance de 1,0 m en chute ?","{'text': [""Ils ont chacun perdu de l'énergie cinétique."", ""Ils ont chacun gagné la même quantité d'énergie potentielle."", ""Ils ont chacun perdu la même quantité d'énergie potentielle."", 'Ils ont chacun gagné la moitié de leur énergie cinétique maximale.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,La maladie de la tumeur faciale du diable (DFTD) est une maladie qui décime la population des diables de Tasmanie. La maladie se transmet d'un animal à un autre par des morsures et est causée par des parasites. Les parasites provoquent des tumeurs cancéreuses qui se propagent dans le corps de l'animal infecté et le tuent. Quelle est la meilleure description de la DFTD ?,"{'text': ['une maladie non infectieuse du cycle cellulaire', 'une maladie infectieuse du cycle cellulaire', 'une maladie chronique non infectieuse', 'une maladie chronique infectieuse'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,"Un type de petit mammifère des régions montagneuses de l'ouest des États-Unis construit sa maison avec des tas de rochers. Pendant les mois d'été, le mammifère place des herbes et des graines dans des endroits protégés dans les tas de rochers. Quelle est la raison la plus probable de ce comportement ?","{'text': [""se préparer pour la migration avant l'hiver"", ""fournir de la chaleur pendant les froids mois d'hiver"", ""stocker de la nourriture qui sera consommée pendant les mois d'hiver"", ""protéger les herbes et les graines de la décomposition avant l'hiver""], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,Des palmiers pétrifiés se trouvent dans des roches sédimentaires près des glaciers. La présence des palmiers pétrifiés fournit probablement une preuve pour quelle affirmation ?,"{'text': [""Il y avait autrefois plus d'eau dans la région."", 'La région était autrefois une prairie.', 'Le climat de la région était autrefois tropical.', 'Il y a des failles actives dans la région.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,Les agriculteurs du Wyoming étaient préoccupés car certains de leurs poulets étaient la proie de faucons vivant dans les environs de leurs ranchs. Les agriculteurs se sont regroupés et ont chassé les faucons jusqu'à ce qu'ils ne soient plus dans leur région. Que se passerait-il probablement ensuite ?,"{'text': ['La population de poulets diminuerait.', 'Les populations de souris et de rats augmenteraient.', 'Un autre oiseau de proie remplacerait le faucon.', 'Les poulets auraient un taux de maladies plus bas.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,Le cuivre est un élément utilisé dans les fils électriques. Quelle est la plus petite unité de cuivre qui conserve encore les caractéristiques du cuivre ?,"{'text': [""l'atome"", ""l'électron"", 'le noyau', 'le proton'], 'label': ['A', 'B', 'C', 'D']}",A
