Unnamed: 0,question,subject,choices,answer
0,"What is the legal definition of 'battery' in tort law, including its essential elements?",professional_law,"['Battery in tort law requires intent to cause harmful or offensive contact and actual harmful or offensive contact occurring.', 'Battery in tort law requires intent to cause fear of imminent harm and successful avoidance of the harm by the victim.', 'Battery in tort law requires negligence in causing indirect harm to another person without their consent.', 'Battery in tort law requires intent to cause emotional distress without any physical contact.']",0
1,"What is the legal definition of intentional infliction of emotional distress (IIED) under common law, including the elements required to establish such a claim?",professional_law,"['Intentional infliction of emotional distress requires proof of intentional conduct that is extreme and outrageous, a direct causal connection between the conduct and the emotional distress, and emotional distress that is severe.', 'Intentional infliction of emotional distress requires proof of negligence, emotional distress that is severe, and a breach of duty.', 'Intentional infliction of emotional distress requires proof of intentional conduct, a direct causal connection between the conduct and the emotional distress, but does not require the distress to be severe.', 'Intentional infliction of emotional distress requires proof of extreme and outrageous conduct only, regardless of the emotional distress severity.']",0
2,"What is the precise legal definition of an easement in property law, including its characteristics and types?",professional_law,"[""An easement is a temporary right to use another's property for a specific purpose, which automatically terminates after a fixed period."", ""An easement is a non-possessory interest in another's land, granting the right to use the land for a specific purpose, and it can be either appurtenant or in gross."", ""An easement is a possessory interest in another's land, allowing full control and ownership over the land."", 'An easement is a contractual agreement that allows the transfer of ownership of a land parcel from one party to another without restrictions.']",1
3,"What is the Supremacy Clause in the United States Constitution, and how does it establish the relationship between federal and state laws?",professional_law,"['The Supremacy Clause is a provision in the Constitution that establishes that federal laws made pursuant to the Constitution, and treaties made under its authority, constitute the supreme law of the land, thereby overriding any conflicting state statutes.', 'The Supremacy Clause is a section of the Constitution that ensures that state laws have precedence over federal laws in matters of state governance.', 'The Supremacy Clause is an amendment to the Constitution that allows states to opt-out of federal laws that conflict with state constitutions.', 'The Supremacy Clause is a principle that allows each state to interpret federal laws as they see fit, without regard to federal court interpretations.']",0
4,What are the essential elements that must be proven for a statement to be considered defamatory under common law?,professional_law,"[""The statement must be false, published to a third party, cause harm to the subject's reputation, and be made with malice."", ""The statement must be true, published to a third party, cause harm to the subject's reputation, and be made with malice."", ""The statement must be false, published only to the subject, cause no harm to the subject's reputation, and be made without malice."", ""The statement must be false, known only to the subject, cause harm to the subject's reputation, and be made with malice.""]",0
5,What is the legal definition of 'marketable title' in real estate transactions?,professional_law,"['A marketable title is one that is free from any liens or encumbrances and cannot be challenged by third parties.', 'A marketable title is one that a buyer can purchase with full confidence of ownership, despite any known encumbrances.', 'A marketable title is one that a reasonable buyer would accept, and is free from reasonable doubt of its validity and potential litigation.', 'A marketable title is one that includes all necessary documents to transfer ownership, regardless of existing encumbrances.']",2
6,What is the legal term used to describe the act of a party in a lawsuit presenting evidence to contradict or disprove the opposing party's evidence or claim?,professional_law,"['Rebuttal', 'Impeachment', 'Cross-examination', 'Deposition']",0
7,"What is the legal definition of hearsay, and under what circumstances can it be deemed admissible in court?",professional_law,"['Hearsay is any statement made outside of court that is used to prove the truth of the matter asserted, and it is never admissible in court.', 'Hearsay is a statement made outside of court that is used to prove the truth of the matter asserted, but it can be admissible if it falls under an exception like a dying declaration or present sense impression.', 'Hearsay is any verbal statement made by a defendant and it is always admissible in court.', 'Hearsay is a statement made in court by a witness about something they did not personally observe, and it is always admissible.']",1
8,"What legal principle applies when an individual lends their car to someone else, who then uses it beyond the agreed terms and an accident occurs?",professional_law,"['The principle of respondeat superior, holding the car owner responsible for any accidents caused by the borrower.', 'The principle of bailment, where the borrower is responsible for damages if they exceed the scope of the agreed use.', 'The principle of strict liability, making the car owner liable for any damages caused by their vehicle, regardless of borrower misuse.', 'The principle of contributory negligence, which absolves the borrower of responsibility if the borrower and the car owner are both at fault.']",1
9,"What is the landmark Supreme Court case that established the right to counsel for defendants who cannot afford an attorney in criminal cases, and what is its significance?",professional_law,"['Miranda v. Arizona; it established the requirement for police to inform suspects of their rights, including the right to an attorney.', 'Gideon v. Wainwright; it established the right to free legal counsel for indigent defendants in felony cases.', 'Mapp v. Ohio; it applied the exclusionary rule to the states, excluding illegally obtained evidence from trials.', 'Furman v. Georgia; it led to the suspension of the death penalty due to arbitrary and discriminatory application.']",1
10,"Under the Federal Rules of Evidence, what is the rule number and the main provision regarding the admissibility of expert testimony that is based on facts or data in the case that the expert has been made aware of or personally observed?",professional_law,"['Rule 703, which allows expert testimony based on facts or data that are not admissible if experts in the particular field would reasonably rely on those kinds of facts or data in forming an opinion.', 'Rule 702, which requires that expert testimony be based on sufficient facts or data and is the product of reliable principles and methods.', 'Rule 705, which requires that an expert must disclose all underlying facts or data before giving an opinion.', 'Rule 706, which allows a court-appointed expert witness to testify and be subjected to cross-examination.']",0
11,"What is the formal legal definition of the doctrine of 'impracticability' in contract law, including its key elements and conditions for discharge?",professional_law,"['Impracticability in contract law refers to a situation where performance is possible but unreasonably difficult or expensive due to unforeseen events, and it requires the party to have foreseen the event.', 'Impracticability refers to a situation where performance is possible but unreasonably difficult or expensive due to unforeseen events, and it requires that the event was not foreseeable at the time of contracting.', 'Impracticability in contract law allows a party to be discharged from a contract if performance becomes impossible due to any change in circumstances, regardless of foreseeability.', 'Impracticability in contract law means a contract can be discharged if performance becomes economically burdensome, regardless of whether the event was unforeseen or not.']",1
12,What is the legal definition of product liability in the context of defective products?,professional_law,"[""Product liability refers to a manufacturer's responsibility to ensure that all products are free from any kind of defect, regardless of the circumstances."", 'Product liability is the legal obligation of a manufacturer or seller to compensate for injury caused by a defective product they provided, even if the defect was unforeseeable.', 'Product liability refers to the obligation of a manufacturer to recall any product that consumers report as defective, regardless of actual defect.', 'Product liability is the responsibility of a manufacturer to ensure that all products have a lifetime warranty against defects.']",1
13,"What is the legal definition of a unilateral contract, including the elements required for its formation?",professional_law,"['A unilateral contract is an agreement involving two parties where both parties are obligated to perform certain actions.', ""A unilateral contract is a promise in exchange for an act, where only one party makes a promise contingent on the other party's performance of a specific task."", 'A unilateral contract is a non-binding agreement where either party can terminate the contract without consequences.', 'A unilateral contract requires both parties to agree and sign before any performance begins.']",1
14,"What is the legal definition of 'delivery' in the context of property deeds, and what are the essential elements that constitute delivery?",professional_law,"[""Delivery of a deed occurs only when the deed is physically handed to the grantee, regardless of the grantor's intent."", 'Delivery of a deed occurs when the grantor expresses an intent to make the deed effective immediately and takes an action that manifests that intent, such as handing it to a third party for the grantee.', ""Delivery of a deed is defined as the grantee's acceptance of the deed, irrespective of the grantor's actions or intent."", ""Delivery of a deed occurs when the deed is recorded, and the grantee has accepted it, without any need for the grantor's intent.""]",1
15,What is the precise legal definition of the crime of solicitation in criminal law?,professional_law,"['Solicitation is the act of requesting or encouraging someone to commit a crime, with the intent that the crime be committed.', 'Solicitation is the act of planning and executing a crime with another person.', 'Solicitation is the unlawful taking of property from another person with intent to permanently deprive them of it.', 'Solicitation is the act of providing financial support to someone who is planning to commit a crime.']",0
16,"In the legal context, what is the precise definition of 'co-conspirator liability'?",professional_law,"['Co-conspirator liability means that a person can be held liable for the actions of others if they were present at the scene of the crime.', 'Co-conspirator liability means that a person can be held liable for any crime committed by another if they were involved in a mutual agreement to commit a crime, even if they did not directly participate in the crime itself.', 'Co-conspirator liability means that each conspirator must have directly committed a criminal act to be held liable.', 'Co-conspirator liability means that a person can be held liable only if they financially benefited from the crime.']",1
17,What is the landmark legal precedent set by the Supreme Court case Griswold v. Connecticut (1965) regarding the right of privacy in the context of reproductive health?,professional_law,"['Griswold v. Connecticut established that the government can regulate all aspects of reproductive health without any constitutional limitations.', 'Griswold v. Connecticut determined that the right to privacy includes a broad and undefined protection for all personal decisions without any specific constitutional basis.', ""Griswold v. Connecticut recognized that the Constitution implicitly guarantees citizens' right to privacy in marital relations, particularly regarding the use of contraceptives."", 'Griswold v. Connecticut concluded that states have the absolute authority to ban contraceptives without considering any privacy implications.']",2
18,"What is the legal term used to describe a type of property interest where the ownership is conditional, and upon the occurrence of a specified event, the property might revert to the original owner or their heirs?",professional_law,"['Fee Simple Absolute', 'Fee Simple Determinable', 'Fee Simple Subject to Condition Subsequent', 'Life Estate']",2
19,"What is the legal definition of an offer in contract law, including the necessary elements that must be present for it to be considered valid?",professional_law,"['An offer in contract law is an expression of willingness to enter into a contract on certain terms, made with the intention that it will become binding as soon as it is accepted by the person to whom it is addressed.', 'An offer in contract law is a promise or set of promises for the breach of which the law gives a remedy.', 'An offer in contract law is a preliminary communication that invites further negotiations without any intention of forming a binding agreement.', ""An offer in contract law is a declaration of the parties' intention to draft a contract in the future, contingent upon certain conditions being met.""]",0
20,What is the precise legal definition of the Miranda rights as established by the U.S. Supreme Court?,professional_law,"['The Miranda rights require law enforcement to inform a suspect of their right to remain silent and that anything said can be used against them in court.', 'The Miranda rights require law enforcement to inform a suspect of their right to remain silent, the right to an attorney, and that anything said can be used against them in court.', 'The Miranda rights require law enforcement to inform a suspect of their right to remain silent, the right to an attorney, the right to a fair trial, and that anything said can be used against them in court.', 'The Miranda rights require law enforcement to inform a suspect of their right to remain silent, the right to an attorney, and the right to have an attorney present during questioning.']",1
21,"What is the legal definition of larceny, including the essential elements that must be proven for a conviction?",professional_law,"[""Larceny is defined as the unlawful taking and carrying away of someone else's personal property with the intent to permanently deprive the owner of its possession."", ""Larceny is the intentional damage to another person's property with the intent to defraud the owner."", 'Larceny involves the unlawful entry into a building with intent to commit theft or any felony inside.', 'Larceny is defined as the lawful taking of property with the intention to return it immediately.']",0
