Unnamed: 0,question,subject,choices,answer
0,"At the 42nd Street station, a rider entered a subway car. The rider stood in the subway car and grabbed a pole to secure his balance because all of the seats were occupied. The rider glanced at a girl standing next to him as the subway car was proceeding downtown. The subway car suddenly made an unexpected stop. To avoid falling, the rider momentarily lost his balance and grabbed the girl around the waist. He removed his hands from the girl's waist and grasped the pole again once the rider regained his balance. In a civil action instituted by the girl against the rider, he will most likely be found",professional_law,"['liable for battery.', 'liable, because the rider believed that the girl consented to the contact under the circumstances.', ""not liable, because the rider's conduct was socially acceptable under the circumstances."", 'not liable, because the girl was not harmed by the contact.']",2
1,"A mother took her child, who was five years old, to a hospital emergency room for treatment. While treating her, a doctor on the hospital staff molested the child. At that time, the doctor and the child were the only ones in the treatment room; the mother had left the room to get a cup of coffee. When the child told her mother what had happened in the treatment room two weeks later, the mother suffered severe emotional distress, which caused her to become physically ill. In an action by the mother on her own behalf against the doctor to recover for intentional infliction of emotional distress, is the mother likely to prevail?",professional_law,"['No, because the mother was contributorily negligent in leaving the child alone with the doctor during treatment.', ""No, because the mother was neither the direct victim of the doctor's conduct nor a contemporaneous witness."", ""Yes, because the doctor's conduct was outrageous."", ""Yes, because the mother's distress was the natural and foreseeable consequence of the doctor's conduct. \x80\x83""]",1
2,"A summer cottage on the lake was owned by a wedding planner. To facilitate access to the cottage, which is situated on a knoll above the lake, an agreement was entered into by the wedding planner with a neighbor, an adjoining landowner. The agreement, made in writing, granted the wedding planner a right-of-way over a strip of land that is 30 feet wide and a quarter of a mile long along the eastern margin of the neighbor's property. Without notifying the neighbor, the wedding planner went ahead with his plan to improve the roadbed by having the road asphalted, making it more accessible for motor vehicle traffic. Several years later, the neighbor began a sand business, which necessitated heavy hauling and subsequently destroyed the asphalted surface on the road. Ten years after starting his sand business, the neighbor erected wooden barriers across the roadway, thus obstructing access to the artist's property shortly after the artist took possession of the cottage and property. The interest acquired by the wedding planner in the access road may best be described as",professional_law,"['an easement in gross.', 'an easement implied by prior use.', 'an easement by necessity.', 'an express easement.']",3
3,"In a court of the state where both parties reside, a plaintiff has sued a defendant. Although state law provides a similar cause of action, the plaintiff alleges only a cause of action arising under a federal statute. Claims under the statute can be brought in any court of competent jurisdiction, as the federal statute provides. The statute has not yet been interpreted by any federal court. Should the case be heard by the state court?",professional_law,"['No, because cases arising under federal law must be decided in federal court.', 'No, because state courts must abstain in cases arising under federal law until a federal court has decided the federal issue.', 'Yes, because state courts may not discriminate against cases arising under discriminate against cases arising under federal law.', 'Yes, because the parties cannot proceed in federal court since there is no diversity of citizenship.']",2
4,"A defamatory letter accusing the manager of professional incompetence and labeling him as one of the worst businessmen in town was sent by his competitor. Addressed to the manager, he read it, placed it in a private drawer, and never read it again. Subsequently, he attempted to sue the competitor for defamation due to the letter. Will the court likely grant the defendant's motion to dismiss, and on what basis? Formulate your answer based on the common law definition of defamation.",professional_law,"['Yes, it will dismiss on the basis that the publication is made to the manager alone.', ""Yes, it will dismiss on the basis that the language is not damaging to the manager's reputation."", 'No, it will not dismiss because the circumstances show that all of the elements of defamation are all present.', 'No, it will not dismiss because a plaintiff in a defamatory action has an absolute right to a jury trial to prove defamation.']",0
5,"A buyer contracted with a seller to purchase land for $300,000. The contract stipulated that the closing would occur 60 days after signing, with the seller conveying a ""marketable title"" to the buyer via a quitclaim deed at closing. No other provisions regarding the title to be delivered to the buyer were included in the contract. A title search revealed a $50,000 unsatisfied mortgage and a right-of-way easement over part of the land. The buyer now asserts that the title is unmarketable and has refused to close. Is the buyer correct?",professional_law,"['No, because nothing under these facts renders title unmarketable.', 'No, because the buyer agreed to accept a quitclaim deed. quitclaim deed.', 'Yes, because the right-of-way easement makes the title unmarketable.', 'Yes, because the unsatisfied mortgage makes the title unmarketable.']",2
6,"A plaintiff filed a lawsuit against a defendant for injuries the plaintiff incurred when struck by the defendant's car. During the trial, the plaintiff stated that he was walking across the street within a crosswalk at the time the defendant's car hit him. This case occurs in a jurisdiction where a statute mandates that all motorists must stop and allow pedestrians to cross streets at designated crosswalks. The defendant argued that the plaintiff ran into the street outside the crosswalk. Additionally, the defendant testified that he applied his brakes immediately upon seeing the plaintiff dart into the street but was unable to stop in time to avoid the collision. To support the defendant's testimony, the defendant calls a neighbor to testify that she has observed the plaintiff frequently during her years living on that street and that the plaintiff ""always crosses the street outside the crosswalk."" The neighbor's testimony is likely to be",professional_law,"['admitted, because it tends to show that the plaintiff was careless.', ""admitted, because it is probative of the plaintiff's habit of crossing the street outside the crosswalk."", 'excluded, because the neighbor was not an eyewitness to the accident.', ""excluded, because her testimony is impermissible evidence of character to show defendant's plaintiff's conduct on a particular occasion.""]",1
7,"Together, several persons stole a painting from an art museum. During the commission of another crime, one of them, who was the driver, was caught. He told the police, ""I didn't even get any money from the art museum. It all went to the first guy and the second guy."" Is the driver's statement admissible in court when the first and second guy go on trial for the theft of the art painting?",professional_law,"['Yes, as an admission by a party opponent.', 'Yes, as a statement against the interests of the other defendants.', 'No, because it was made while in custody and therefore is unreliable.', 'No, because the statement was not made in the course of or in furtherance of the conspiracy and thus it is hearsay.']",3
8,"An avid baseball fan wanted to purchase tickets for an upcoming baseball game being held at the local stadium. He contacted the stadium's ticket sales office, which advised him that all tickets were to be placed on sale at the stadium at 9:00 a.m. the following day. Realizing that he could not leave work to purchase the tickets, the fan, who was employed as a bricklayer, telephoned his next-door neighbor. He asked the neighbor if he would be interested in going to the stadium to purchase the baseball tickets. The neighbor told the fan that he would be happy to purchase the tickets for him and that he (the neighbor) also wanted to buy tickets for himself. However, the neighbor mentioned that his car had broken down and that he did not have available transportation to get to the stadium. The fan suggested lending his car to the neighbor. The neighbor agreed, and the following morning, the two men met in front of the fan's home. The fan gave the neighbor the keys to his car and also money with which to buy his baseball tickets. Thereafter, the neighbor drove the fan's car to the stadium, where he purchased the tickets for the fan and also bought a set of tickets for himself using his own money. The fan had instructed the neighbor to return the car to the fan's home after his trip to the stadium. After leaving the stadium, however, the neighbor decided to visit a friend in a town located 120 miles from his home. As the neighbor was driving toward the town, an automobile crashed into him, causing significant damage to the fan's car. The cost of repairing the fan's car was determined to be more than the retail value of the auto. In an action by the fan against the neighbor to recover damages resulting from the accident, the fan will most likely",professional_law,"['recover nothing, because the neighbor was on a joint venture when the accident occurred.', 'recover the cost of repairing the car.', 'recover the retail value of the car.', 'recover, because the neighbor was negligently operating the auto at the time of the accident.']",2
9,"An indigent defendant was arrested and charged with possession of less than one ounce of marijuana. Possession of less than one ounce of marijuana is a misdemeanor under the relevant state statute, punishable by a maximum of one year in jail and/or a fine of $500. At trial, the defendant pleaded not guilty and requested that an attorney be appointed to represent him, but the trial judge refused to honor the defendant's request for an attorney. If the defendant is subsequently found guilty, which of the following is the most severe sentence that can constitutionally be imposed?",professional_law,"['A $500 fine.', 'Six months in jail.', 'One year in jail.', 'No sentence, because the defendant was denied the right to counsel.']",0
10,"A motorist injured in an accident sued the negligent other driver for his damages. An independent medical examination and review of all medical records were conducted by the defense medical expert. The expert testified that the accident did not cause the injuries because a long history of prior treatment for the same symptoms was proven by the medical records. The jury returned a verdict for the plaintiff but awarded only $10 in damages. On post-trial motions, the plaintiff argued that the expert's testimony was inadmissible hearsay because prior treating physicians' records formed its basis, and the prior doctors were not available for cross-examination. Under the Federal Rules of Evidence, what is the correct ruling?",professional_law,"[""Testimony regarding the plaintiff's condition prior to the accident is irrelevant and the testimony is inadmissible."", 'The Federal Rules of Evidence allow the admission of hearsay statements that were made for the purpose of medical diagnosis or treatment.', ""Medical testimony that is relevant to the issues can never by excluded from the defendant's case because it is always reliable."", 'The testimony is inadmissible hearsay because there was a constitutional right under these facts to cross-examine the doctors who wrote the prior records.']",1
11,"A circumstance has occurred, the seller says, that makes performing a sales contract impractical. Which of the following is not correct about discharge for impracticability?",professional_law,"['The problem must not have been caused by the fault of the party seeking to invoke the defense.', 'A price increase is sufficient for discharge.', 'The failure to excuse performance would result in grave injustice.', 'The impracticality must go to a basic assumption on which the contract was made.']",1
12,"On Friday night, after his vehicle was sideswiped by an unidentified motorist, a driver was injured in an automobile accident. The driver was admitted to the hospital following the accident, where he was treated for his injuries. While he was at the hospital, the driver was diagnosed with a broken back. He was placed in a body cast and then put in traction. The traction apparatus was assembled by the driver's physician, who positioned the driver's left leg in an overhead stirrup at a 40-degree angle. The driver was instructed to lie on the bed on his back. On Saturday morning after breakfast, the driver requested a bedpan from a nurse. While she was placing the bedpan under the driver's body, the stirrup that was holding his leg broke. This caused the driver's leg to fall against the metal framing along the side of the bed, fracturing his tibia. Because the manufacturer had not included a safety latch on the stirrup device to prevent it from falling off if not securely fastened in place, the traction apparatus was defective. If the driver asserts a claim against the manufacturer, he will most likely",professional_law,"['prevail, because the stirrup broke while the traction apparatus was in normal use.', ""prevail, because the manufacturer's failure to include a safety latch made the traction apparatus defective."", 'not prevail, because the traction apparatus was no longer within the control of the manufacturer.', 'not prevail, if the physician did not properly attach the stirrup when assembling the traction apparatus.']",1
13,"A homeowner said to a roofer, ""My roof leaks. I think the old tiles are cracked. I will pay you $5,000 if you replace them with all new tiles."" The roofer replied, ""Sure, if I can clear my busy schedule."" The homeowner then remarked, ""That's all right, but let me know soon."" Three days later, the roofer drove his pickup truck to the homeowner's home and unloaded the materials and equipment needed for the roofing job. When the homeowner looked out his window and saw what was happening, he immediately ran outside and exclaimed, ""Stop! The deal's off. I decided to repair the roof myself."" In an action by the roofer against the homeowner for breach of contract, which of the following would provide the roofer with his best theory of recovery?",professional_law,"['A bilateral contract was formed when the roofer purchased the materials and equipment needed to do the job.', 'A bilateral contract was formed when the roofer said, ""Sure, if I can clear my busy schedule. ""', 'The homeowner made an offer that proposed a unilateral contract, and the offer became irrevocable when the roofer purchased the materials and equipment needed for the job.', ""The homeowner made an offer that proposed a unilateral contract, and the roofer manifested an intent to accept the offer when he began performance by unloading the materials and equipment at the homeowner's house.""]",3
