Unnamed: 0,question,subject,choices,answer
0,"A rider entered a subway car at the 42nd Street station. Because all of the seats were occupied, the rider stood in the subway car and grabbed a pole to secure his balance. As the subway car was proceeding downtown, the rider glanced at a girl standing next to him. Suddenly, the subway car made an unexpected stop. The rider momentarily lost his balance and grabbed the girl around the waist (to avoid falling). Once the rider regained his balance, he removed his hands from the girl's waist and grasped the pole again. In a civil action instituted by the girl against the rider, he will most likely be found",professional_law,"['not liable, because the girl was not harmed by the contact.', ""not liable, because the rider's conduct was socially acceptable under the circumstances."", 'liable for battery.', 'liable, because the rider believed that the girl consented to the contact under the circumstances.']",1
1,"A mother took her five-year-old child to a hospital emergency room for treatment. A doctor on the hospital staff molested the child while treating her. At the time, no one was in the treatment room except the doctor and the child; the mother had left the room to get a cup of coffee. Two weeks later, when the child told her mother what had occurred in the treatment room, the mother suffered severe emotional distress that caused her to become physically ill. In an action against the doctor by the mother on her own behalf to recover for intentional infliction of emotional distress, is the mother likely to prevail?",professional_law,"[""No, because the mother was neither the direct victim of the doctor's conduct nor a contemporaneous witness."", ""Yes, because the mother's distress was the natural and foreseeable consequence of the doctor's conduct. \x80\x83"", ""Yes, because the doctor's conduct was outrageous."", 'No, because the mother was contributorily negligent in leaving the child alone with the doctor during treatment.']",0
2,"A wedding planner owned a summer cottage on the lake. In order to facilitate the access to the cottage, which is located on a knoll above the lake, the wedding planner entered into an agreement with a neighbor, an adjoining land owner, whereby the neighbor, in writing, granted the wedding planner a right-of-way over a strip of land 30 feet in width and a quarter of a mile in length along the eastern margin of the neighbor's property. Without notif'ing the neighbor, the wedding planner proceeded with his plan to improve the roadbed by having the road asphalted in order to make it more accessible for motor vehicle traffic. Several years later, the neighbor started a sand business, which required him to do heavy hauling that subsequently destroyed the asphalted surface on the road. Ten years after the neighbor started his sand business, the wedding planner sold his lakefront property to an artist. Shortly after the artist took possession of the cottage and property, the neighbor erected wooden barriers across the roadway, thus obstructing the access to the artist's property. The interest that the wedding planner acquired in the access road may best be described as",professional_law,"['an easement by necessity.', 'an easement in gross.', 'an express easement.', 'an easement implied by prior use.']",2
3,"A plaintiff has sued a defendant in a court of the state in which both parties reside. The plaintiff alleges only a cause of action arising under a federal statute, although state law provides a similar cause of action. The federal statute provides that claims under the statute can be brought in any court of competent jurisdiction. The statute has not yet been interpreted by any federal court. Should the state court hear the case?",professional_law,"['No, because state courts must abstain in cases arising under federal law until a federal court has decided the federal issue.', 'Yes, because the parties cannot proceed in federal court since there is no diversity of citizenship.', 'No, because cases arising under federal law must be decided in federal court.', 'Yes, because state courts may not discriminate against cases arising under discriminate against cases arising under federal law.']",3
4,"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",professional_law,"['No, it will not dismiss because a plaintiff in a defamatory action has an absolute right to a jury trial to prove defamation.', 'No, it will not dismiss because the circumstances show that all of the elements of defamation are all present.', ""Yes, it will dismiss on the basis that the language is not damaging to the manager's reputation."", 'Yes, it will dismiss on the basis that the publication is made to the manager alone.']",3
5,"A seller contracted to sell land to a buyer for $300,000. The contract provided that the closing would be 60 days after the contract was signed and that the seller would convey to the buyer a ""marketable title"" by a quitclaim deed at closing. The contract contained no other provisions regarding the title to be delivered to the buyer. A title search revealed that the land was subject to an unsatisfied $50,000 mortgage and a right-of-way easement over a portion of the land. The buyer now claims that the title is unmarketable and has refused to close. Is the buyer correct?",professional_law,"['No, because nothing under these facts renders title unmarketable.', 'Yes, because the right-of-way easement makes the title unmarketable.', 'Yes, because the unsatisfied mortgage makes the title unmarketable.', 'No, because the buyer agreed to accept a quitclaim deed. quitclaim deed.']",1
6,"A plaintiff sued a defendant for injuries that the plaintiff suffered when he was struck by the defendant's car. At trial, the plaintiff testified that he was walking across the street inside a crosswalk at the time the defendant's car hit him. This action takes place in a jurisdiction that has a statute in effect requiring all motorists to stop and permit pedestrians to cross streets at designated crosswalks. The defendant contended that the plaintiff ran into the street outside the crosswalk. Furthermore, the defendant testified that he immediately applied his brakes when he saw the plaintiff dart into the street, but couldn't stop his car in time to avoid hitting him. In support of the defendant's testimony, the defendant calls a neighbor to testify that she has observed the plaintiff frequently during the years that she has lived on that street, and that the plaintiff ""always crosses the street outside the crosswalk. ""The neighbor's testimony is likely to be",professional_law,"['excluded, because the neighbor was not an eyewitness to the accident.', ""admitted, because it is probative of the plaintiff's habit of crossing the street outside the crosswalk."", 'admitted, because it tends to show that the plaintiff was careless.', ""excluded, because her testimony is impermissible evidence of character to show defendant's plaintiff's conduct on a particular occasion.""]",1
7,"Several persons together stole a painting from an art museum. One of them, who was the driver, was caught during the commission of another crime. He told police that ""I didn't even get any money from the art museum. It all went to the first guy and the second guy."" When the first and second guy go on trial for the theft of the art painting, is the driver's statement admissible in court?",professional_law,"['No, because the statement was not made in the course of or in furtherance of the conspiracy and thus it is hearsay.', 'No, because it was made while in custody and therefore is unreliable.', 'Yes, as a statement against the interests of the other defendants.', 'Yes, as an admission by a party opponent.']",0
8,"An avid baseball fan wanted to purchase tickets for an upcoming baseball game being held at the local stadium. He contacted the stadium's ticket sales office, which advised him that all tickets were to be placed on sale at the stadium at 9:00 a. m. the following day. The fan, who was employed as a bricklayer, realized that he could not leave work to purchase the tickets. Consequently, the fan telephoned his next-door neighbor and asked him if he would be interested in going to the stadium to purchase the baseball tickets. The neighbor told the fan that he would be happy to purchase the tickets for him and that he (the neighbor) also wanted to buy tickets for himself. However, the neighbor said that his car had broken down and that he did not have available transportation to get to the stadium. The fan suggested that he could lend his car to the neighbor. The neighbor agreed, and the following morning the two men met in front of the fan's home. The fan gave the neighbor the keys to his car and also money with which to buy his baseball tickets. Thereafter, the neighbor drove the fan's car to the stadium where he purchased the tickets for the fan and (using his own money) also bought a set of tickets for himself. The fan had instructed the neighbor to return the car to the fan's home after his trip to the stadium. After the neighbor left the stadium, however, he decided to visit a friend in a town located 120 miles from his home. As the neighbor was driving toward the town, an automobile crashed into him, causing significant damage to the fan's car. The cost of repairing the fan's car was determined to be more than the retail value of the auto. In an action by the fan against the neighbor to recover damages resulting from the accident, the fan will most likely",professional_law,"['recover, because the neighbor was negligently operating the auto at the time of the accident.', 'recover the cost of repairing the car.', 'recover nothing, because the neighbor was on a joint venture when the accident occurred.', 'recover the retail value of the car.']",3
9,"A defendant, who was an indigent, was arrested and charged with possession of less than one ounce of marijuana. Under the relevant state statute, possession of less than one ounce of marijuana is a misdemeanor, punishable by a maximum of one year in jail and/or a fine of $500. At trial, the defendant pleaded not guilty and requested that an attorney be appointed to represent him. The trial judge refused to honor the defendant's request for an attorney. If the defendant is subsequently found guilty, which of the following is the most severe sentence that can constitutionally be imposed?",professional_law,"['A $500 fine.', 'No sentence, because the defendant was denied the right to counsel.', 'One year in jail.', 'Six months in jail.']",0
