Unnamed: 0,question,subject,choices,answer
0,"A man entered a crowded bus at the Main Street stop. Finding no available seats, he stood and held onto the overhead strap for support. As the bus traveled uptown, he noticed a woman standing beside him. Abruptly, the bus came to a halt, causing the man to lose his balance and accidentally bump into the woman. Once steady, he apologized and resumed holding the strap. In a lawsuit filed by the woman against the man, he is most likely to be found",professional_law,"['liable for assault.', 'liable, because the man assumed the woman consented to being bumped.', ""not liable, because the man's actions were reasonable under the circumstances."", 'not liable, because the woman was not injured.']",2
1,"A man witnessed a car accident where his brother was severely injured. The man was not physically harmed but experienced severe emotional trauma from witnessing the incident. In a lawsuit against the responsible driver for negligent infliction of emotional distress, is the man likely to succeed?",professional_law,"['No, because the man was not directly involved in the accident.', 'No, because the man did not suffer a physical injury.', ""Yes, because witnessing his brother's injury caused severe emotional distress."", ""Yes, because the driver's negligence directly caused the emotional trauma.""]",2
2,"A couple purchased a mountain cabin. To improve access to the cabin, which is situated on a steep slope, they arranged with a neighboring landowner to use a path across the neighbor's land. The agreement was formalized in writing, granting them a pathway 20 feet wide and half a mile long through the western edge of the neighbor's property. Without informing the neighbor, the couple paved the pathway to facilitate car access. Years later, the neighbor started a logging operation, which destroyed the paved surface. Fifteen years after the operation began, the couple sold the cabin to a writer. Soon after, the neighbor blocked the path with a gate, preventing access to the writer's property. The nature of the couple's right to the pathway can best be described as",professional_law,"['an easement appurtenant.', 'a prescriptive easement.', 'a license.', 'an express easement.']",3
3,"A plaintiff has filed a lawsuit against a defendant in their home state's court. The lawsuit is based solely on a federal statute, though there's an equivalent state law. The federal law allows filing in any competent court. No federal court has yet interpreted this statute. Can the state court take the case?",professional_law,"['No, since federal law cases must be heard in federal courts.', 'No, because state courts should wait for federal courts to interpret the law first.', 'Yes, since state courts cannot refuse cases based on federal law.', 'Yes, because they cannot go to federal court due to lack of diversity jurisdiction.']",2
4,"A journalist published an article claiming that a local chef uses expired ingredients, but the article was only shared with the chef. The chef, feeling defamed, wants to take legal action against the journalist. Will the court likely grant the journalist's motion to dismiss, and on what basis? Refer to common law defamation principles.",professional_law,"['Yes, it will dismiss because the statement was only communicated to the chef.', ""Yes, it will dismiss because the claim is not damaging enough to the chef's professional reputation."", 'No, it will not dismiss as all elements of defamation are met.', 'No, it will not dismiss because the chef is entitled to a trial to prove defamation.']",0
5,"A property owner agreed to sell his vacant land to a developer for $500,000. The agreement stipulated that the transfer of ownership would occur 90 days after the signing and required the seller to transfer a 'clear title' by warranty deed. Upon conducting a title search, it was found that the property had an outstanding $75,000 lien and an easement allowing access to a neighboring property. The developer claims the title is not clear and refuses to proceed. Is the developer justified?",professional_law,"['No, because the outstanding lien does not affect the clarity of the title.', 'No, because accepting a warranty deed implies accepting the conditions.', 'Yes, because the easement affects the clarity of the title.', 'Yes, because the outstanding lien affects the clarity of the title.']",2
6,"A customer sued a store for injuries that occurred when they slipped on a wet floor. At trial, the customer testified that there were no warning signs in the area at the time of the fall. This incident happened in a jurisdiction where stores are required by law to place warning signs around wet floors. The store argued that warning signs were in place and that the customer ignored them. The store calls a regular shopper to testify that the customer often overlooks warning signs in the store. The shopper's testimony is likely to be",professional_law,"[""admitted, because it shows the customer's tendency to ignore warning signs."", ""admitted, because it is relevant to the customer's habits of not noticing warnings."", 'excluded, because the shopper did not witness the actual fall.', 'excluded, because it is not permissible to use character evidence to infer behavior on a specific occasion.']",1
7,"During a robbery, one of the accomplices was caught and claimed, 'I didn't even enter the bank. It was the first and second guy who did everything.' When the first and second accomplices are on trial for the robbery, is the statement by the accomplice admissible in court?",professional_law,"['Yes, because it is an admission against interest.', 'Yes, because it implicates the other co-defendants.', 'No, as it was made under duress and is therefore unreliable.', 'No, because it was not made during the conspiracy and is considered hearsay.']",3
8,"A dedicated basketball fan wanted to buy tickets for an upcoming basketball match at the local arena. He contacted the arena's ticket office, which informed him that all tickets would be available for purchase at the arena at 10:00 a.m. the next day. The fan, who worked as a chef, realized he couldn't leave work to buy the tickets. As a result, he called his cousin and asked if he would be willing to go to the arena to buy the basketball tickets. The cousin said he would be happy to buy the tickets and that he also wanted to purchase tickets for himself. However, the cousin mentioned that his bike had a flat tire and he had no way to get to the arena. The fan offered to lend his scooter to the cousin. The cousin agreed, and the next morning, they met outside the fan's house. The fan handed over the scooter keys and money to purchase the tickets. The cousin then rode the scooter to the arena, where he bought the tickets for the fan and, using his own money, purchased a set of tickets for himself. The fan had instructed the cousin to return the scooter after his trip to the arena. However, after leaving the arena, the cousin decided to visit a relative in a town 150 miles away. While riding towards the town, he was involved in an accident, causing severe damage to the fan's scooter. The cost of repairing the scooter was determined to be more than the market value. In a lawsuit by the fan against the cousin to recover damages from the accident, the fan is most likely to",professional_law,"['recover nothing, because the cousin was on a joint mission when the accident took place.', 'recover the repair costs for the scooter.', 'recover the market value of the scooter.', ""recover due to the cousin's negligent handling of the scooter at the time of the accident.""]",2
9,"A defendant, who could not afford legal representation, was charged with disorderly conduct, a misdemeanor punishable by up to six months in jail or a $1,000 fine. At the arraignment, he requested a court-appointed attorney, but the judge denied the request. If convicted, what is the most severe penalty that could be legally imposed?",professional_law,"['A $1,000 fine.', 'Three months in jail.', 'Six months in jail.', 'No penalty, because the defendant was denied the right to counsel.']",0
