Unnamed: 0,question,subject,choices,answer
0,一名乘客在42街站进入地铁车厢。因为所有座位都被占用了，乘客站在地铁车厢里抓住了一根扶杆以保持平衡。当地铁车厢向市区方向行驶时，乘客瞥了一眼站在他旁边的女孩。突然，地铁车厢意外地停了下来。乘客一时失去平衡，为了避免摔倒，他抓住了女孩的腰。在乘客恢复平衡后，他把手从女孩的腰上移开，再次抓住扶杆。在女孩对乘客提起的民事诉讼中，他最有可能被判定为,professional_law,"['对电池负责。', '负责，因为乘客认为女孩在这种情况下同意接触。', '不负责，因为乘客的行为在这种情况下被认为是可以接受的。', '不负责，因为女孩没有因为接触而受到任何伤害。', '负责，因为乘客在事件发生后没有立即道歉。']",2
1,一位母亲带着她五岁的孩子去医院急诊室接受治疗。医院的一名医生在为孩子治疗时对她进行了性骚扰。当时，治疗室里除了医生和孩子外没有其他人；母亲离开房间去买咖啡了。两周后，当孩子告诉母亲在治疗室里发生的事情时，母亲遭受了严重的情绪困扰，导致身体不适。在母亲以自己的名义对医生提起的故意造成情绪困扰的诉讼中，母亲是否可能获胜？,professional_law,"['否，因为母亲在治疗期间将孩子单独留给医生存在过失。', '否，因为母亲既没有直接受到医生行为的影响，也没有目睹这些行为的发生。', '是，因为医生的行为极其不当。', '是，因为母亲的情绪痛苦是医生行为的可预测结果。', '是，因为医生违反了对孩子应尽的护理标准。']",1
2,一位婚礼策划人在湖边拥有一座夏季小屋。为了便于进入位于湖上山丘上的小屋，婚礼策划人与邻居（一位毗邻土地的所有者）达成了一项协议，根据该协议，邻居以书面形式授予婚礼策划人在邻居财产东侧边缘一条宽30英尺、长四分之一英里的土地通行权。在未通知邻居的情况下，婚礼策划人按照他的计划将道路铺上沥青，以便更方便机动车通行。几年后，邻居开始了一项沙子生意，这需要进行重型运输，随后破坏了道路上的沥青表面。邻居开始他的沙子生意十年后，婚礼策划人将他的湖滨物业卖给了一位艺术家。艺术家接管小屋和财产后不久，邻居在道路上竖起了木制屏障，从而阻碍了艺术家进入其财产。婚礼策划人在通道路上获得的权益最好描述为,professional_law,"['个人地役权。', '通过历史使用确立的地役权。', '因必要而产生的地役权。', '以书面形式明确授予的地役权。', '通过习惯取得的地役权。']",3
3,原告在双方居住的州法院起诉了被告。原告仅指控根据一项联邦法规提起的诉讼事由，尽管州法律提供了类似的诉讼事由。该联邦法规规定，依据该法规的诉求可以在任何有管辖权的法院提出。该法规尚未被任何联邦法院解释。州法院是否应该审理此案？,professional_law,"['不，因为联邦法律案件专属于联邦法院的管辖范围。', '不，因为州法院在审理此类案件之前应等待联邦法院对联邦法律问题的裁定。', '是，因为州法院有义务将联邦法律案件与其他案件同等对待。', '是，因为缺乏不同的州公民身份阻止了联邦法院审理此案。', '不，因为原告必须首先寻求行政补救措施，然后才能向任何法院提起诉讼。']",2
4,一位经理的竞争对手寄了一封诽谤信给他，指责他专业无能，并称他是镇上最差的商人之一。这封信是寄给经理的。他读了信，把它放在一个私人抽屉里，并没有再读。后来，他试图因为这封信而起诉竞争对手诽谤。法院是否可能批准被告的驳回动议，并以何种理由？请根据普通法对诽谤的定义作答。,professional_law,"['是的，它会驳回，因为信件只有经理看到，并没有与他人分享。', '是的，它会驳回，因为措辞并没有损害经理的声誉。', '不，它不会驳回，因为在这种情况下证明诽谤的所有必要元素都存在。', '不，它不会驳回，因为原告有无条件的权利来让陪审团决定诽谤案的结果。', '是的，它会驳回，因为这封信构成公平评论，并受到言论自由的保护。']",0
5,卖方与买方签订以30万美元出售土地的合同。合同规定成交将在签署合同后60天内进行，并且卖方将通过契据在成交时向买方转让“可销售的产权”。合同中没有其他关于提供给买方的产权的条款。产权调查显示，该土地有一笔未偿还的5万美元抵押和一部分土地的通行权地役权。买方现在声称产权不可销售并拒绝成交。买方的说法正确吗？,professional_law,"['不正确，因为在这些情况下没有什么会导致产权有缺陷。', '不正确，因为买方同意接受契据。', '正确，因为通行权地役权的存在使得产权有缺陷。', '正确，因为现有的抵押使得产权有缺陷。', '正确，因为使用契据本身使得产权不可销售。']",2
6,一名原告因被被告的汽车撞伤而起诉被告。在审判中，原告作证说，当被告的车撞到他时，他正在人行横道内过马路。此行为发生在一个有法律规定所有司机必须停车并允许行人在指定人行横道过马路的管辖区。被告声称原告是在人行横道外跑进马路的。此外，被告作证说，当他看到原告突然跑进马路时，他立即刹车，但未能及时停车以避免撞到他。为了支持被告的证词，被告请一位邻居作证，她声称在她住在那条街的几年中经常观察到原告，并且原告“总是在人行横道外过马路。”邻居的证词可能会,professional_law,"['被接受，因为这表明原告的过失。', '被接受，因为它提供了原告常常在横道外过马路的例行行为的证据。', '不被允许，因为邻居没有目击事件本身。', '不被允许，因为她的陈述不允许用来推断原告在这次事件中的行为。', '被接受，因为这表明被告事先知道原告的行为。']",1
7,几个人一起从一个艺术博物馆盗走了一幅画。其中一个是司机，他在实施另一项犯罪时被抓住。他告诉警方：“我甚至没有从艺术博物馆得到任何钱。钱都给了第一个人和第二个人。”当第一个人和第二个人因盗窃艺术画作而受审时，司机的陈述在法庭上是否可采纳？,professional_law,"['是的，因为这是参与者之一自证其罪的陈述。', '是的，因为这对其他被审判的人产生了负面影响。', '不，因为这是在他被拘留时说的，这使其值得怀疑。', '不，因为该陈述与盗窃的执行或推进无关，因此属于不可采纳的传闻证据。', '不，因为该陈述不是在宣誓下作出的，这使其不可靠。']",3
8,一个狂热的棒球迷想购买即将在当地体育场举行的棒球比赛门票。他联系了体育场的售票处，售票处建议他所有门票将在次日上午9:00在体育场开始销售。这位粉丝是一名砖瓦工，他意识到自己不能离开工作去买票。因此，他打电话给隔壁邻居，问他是否有兴趣去体育场购买棒球票。邻居告诉这位粉丝，他很乐意为他购买门票，并且他（邻居）也想为自己买票。然而，邻居说他的车坏了，没有交通工具去体育场。粉丝建议他可以把车借给邻居。邻居同意了，第二天早上两人在粉丝家门前见面。粉丝把车钥匙和购买棒球票的钱给了邻居。之后，邻居开着粉丝的车去了体育场，为粉丝买了票，并用自己的钱也买了一套票。粉丝指示邻居在去体育场后将车送回他家。然而，在离开体育场后，邻居决定去一个距离他家120英里的城镇拜访朋友。当邻居朝城镇行驶时，一辆汽车撞上了他，导致粉丝的车严重受损。修理这辆车的费用被判定超过了汽车的零售价。在粉丝起诉邻居以追讨事故造成的损害赔偿的诉讼中，粉丝最有可能,professional_law,"['不会得到任何赔偿，因为事发时邻居正在进行共同冒险。', '获得修车费用的赔偿。', '获得汽车的市场价值赔偿。', '获得赔偿，因为事故发生时邻居开车不小心。', '获得棒球票的费用作为事故造成的不便的赔偿。']",2
9,一名被告是贫困者，被逮捕并被指控持有少于一盎司的大麻。根据相关州法律，持有少于一盎司的大麻是轻罪，最高可判处一年监禁和/或500美元罚款。在审判时，被告不认罪并要求为其指定一名律师。审判法官拒绝了被告的律师请求。如果被告随后被判有罪，以下哪种是可以依法施加的最严厉的刑罚？,professional_law,"['500美元的罚款。', '半年监禁。', '十二个月监禁。', '由于违反被告的辩护权，不予处罚。', '缓刑并强制社区服务。']",0
