Unnamed: 0,question,subject,choices,answer
0,"A passenger entered a subway car at the 42nd Street station. Because all of the seats were taken, the passenger stood in the subway car and held a pole to maintain his balance. As the subway car was heading downtown, the passenger glanced at a girl standing next to him. Suddenly, the subway car made an unforeseen stop. The passenger momentarily lost his balance and grabbed the girl around the waist (to prevent falling). Once the passenger regained his balance, he removed his hands from the girl's waist and grasped the pole again. In a civil action brought by the girl against the passenger, he will most likely be found",professional_law,"['liable for battery.', 'liable, because the rider believed that the girl consented to the contact under the circumstances.', ""not liable, because the rider's conduct was socially acceptable under the circumstances."", 'not liable, because the girl was not harmed by the contact.']",2
1,"A mother took her five-year-old child to a hospital emergency room for care. A physician on the hospital staff abused the child while providing treatment. At the time, nobody else was in the treatment room except the physician and the child; the mother had left the room to get a cup of coffee. Two weeks later, when the child informed her mother what had happened in the treatment room, the mother experienced severe emotional distress that caused her to become physically ill. In a lawsuit against the physician by the mother on her own behalf to recover for intentional infliction of emotional distress, is the mother likely to succeed?",professional_law,"['No, because the mother was contributorily negligent in leaving the child alone with the doctor during treatment.', ""No, because the mother was neither the direct victim of the doctor's conduct nor a contemporaneous witness."", ""Yes, because the doctor's conduct was outrageous."", ""Yes, because the mother's distress was the natural and foreseeable consequence of the doctor's conduct. \x80\x83""]",1
2,"A wedding organizer owned a summer cabin by the lake. To simplify access to the cabin, which is situated on a hill above the lake, the wedding organizer made an agreement with a neighbor, an adjacent landowner, whereby the neighbor, in writing, granted the wedding organizer a right-of-way over a strip of land 30 feet wide and a quarter of a mile long along the eastern edge of the neighbor's property. Without informing the neighbor, the wedding organizer went ahead with his plan to enhance the roadbed by having the road paved with asphalt to make it more accessible for car traffic. Several years later, the neighbor started a sand business, which required him to do heavy hauling that eventually ruined the asphalt surface on the road. Ten years after the neighbor began his sand business, the wedding organizer sold his lakeside property to an artist. Shortly after the artist took possession of the cabin and property, the neighbor erected wooden barriers across the roadway, thus blocking the access to the artist's property. The interest that the wedding organizer acquired in the access road may best be described as",professional_law,"['an easement in gross.', 'an easement implied by prior use.', 'an easement by necessity.', 'an express easement.']",3
3,"A claimant has sued a respondent in a court of the state where both parties live. The claimant asserts only a cause of action arising under a federal law, although state law provides a similar cause of action. The federal law specifies that claims under the statute can be initiated in any court of competent jurisdiction. The statute has not yet been interpreted by any federal court. Should the state court handle the case?",professional_law,"['No, because cases arising under federal law must be decided in federal court.', 'No, because state courts must abstain in cases arising under federal law until a federal court has decided the federal issue.', 'Yes, because state courts may not discriminate against cases arising under discriminate against cases arising under federal law.', 'Yes, because the parties cannot proceed in federal court since there is no diversity of citizenship.']",2
4,"A manager's rival dispatched a derogatory letter to the manager accusing him of professional incompetence and labeling him as one of the worst businessmen in town. It was directed to the manager. He read it, placed it in a private drawer, and did not look at it again. Later, he attempted to sue the competitor for defamation due to the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",professional_law,"['Yes, it will dismiss on the basis that the publication is made to the manager alone.', ""Yes, it will dismiss on the basis that the language is not damaging to the manager's reputation."", 'No, it will not dismiss because the circumstances show that all of the elements of defamation are all present.', 'No, it will not dismiss because a plaintiff in a defamatory action has an absolute right to a jury trial to prove defamation.']",0
5,"A vendor agreed to sell property to a purchaser for $300,000. The agreement stipulated that the closing would occur 60 days after the agreement was signed and that the vendor would transfer to the purchaser a 'marketable title' by a quitclaim deed at closing. The agreement contained no additional provisions regarding the title to be delivered to the purchaser. A title examination revealed that the property was subject to an unsatisfied $50,000 mortgage and a right-of-way easement over a section of the property. The purchaser now asserts that the title is unmarketable and has declined to close. Is the purchaser correct?",professional_law,"['No, because nothing under these facts renders title unmarketable.', 'No, because the buyer agreed to accept a quitclaim deed. quitclaim deed.', 'Yes, because the right-of-way easement makes the title unmarketable.', 'Yes, because the unsatisfied mortgage makes the title unmarketable.']",2
6,"A claimant sued a defendant for injuries that the claimant suffered when he was hit by the defendant's vehicle. At trial, the claimant testified that he was walking across the street within a crosswalk at the time the defendant's vehicle struck him. This action occurs in a jurisdiction that has a law in effect requiring all drivers to stop and allow pedestrians to cross streets at designated crosswalks. The defendant argued that the claimant ran into the street outside the crosswalk. Additionally, the defendant testified that he immediately applied his brakes when he saw the claimant dart into the street, but couldn't stop his vehicle in time to avoid hitting him. To support the defendant's testimony, the defendant calls a neighbor to testify that she has observed the claimant frequently during the years that she has lived on that street, and that the claimant 'always crosses the street outside the crosswalk.' The neighbor's testimony is likely to be",professional_law,"['admitted, because it tends to show that the plaintiff was careless.', ""admitted, because it is probative of the plaintiff's habit of crossing the street outside the crosswalk."", 'excluded, because the neighbor was not an eyewitness to the accident.', ""excluded, because her testimony is impermissible evidence of character to show defendant's plaintiff's conduct on a particular occasion.""]",1
7,"Several individuals jointly stole a painting from an art museum. One of them, who was the driver, was apprehended during the commission of another offense. He informed police that ""I didn't even receive any money from the art museum. It all went to the first person and the second person."" When the first and second person go on trial for the theft of the art painting, is the driver's statement admissible in court?",professional_law,"['Yes, as an admission by a party opponent.', 'Yes, as a statement against the interests of the other defendants.', 'No, because it was made while in custody and therefore is unreliable.', 'No, because the statement was not made in the course of or in furtherance of the conspiracy and thus it is hearsay.']",3
8,"An enthusiastic baseball supporter wanted to buy tickets for an upcoming baseball game taking place at the local stadium. He reached out to the stadium's ticket sales office, which informed him that all tickets would be available for purchase at the stadium at 9:00 a.m. the next day. The fan, who worked as a bricklayer, realized that he could not leave work to buy the tickets. As a result, the fan called his next-door neighbor and asked him if he would be willing to go to the stadium to buy the baseball tickets. The neighbor told the fan that he would be glad to buy the tickets for him and that he (the neighbor) also wanted to purchase tickets for himself. However, the neighbor mentioned that his car had broken down and that he did not have any means of transportation to get to the stadium. The fan proposed that he could lend his car to the neighbor. The neighbor agreed, and the next morning the two men met in front of the fan's house. The fan gave the neighbor the keys to his car and also money to buy his baseball tickets. Subsequently, the neighbor drove the fan's car to the stadium where he bought the tickets for the fan and (using his own money) also purchased a set of tickets for himself. The fan had instructed the neighbor to return the car to the fan's house after his trip to the stadium. After the neighbor left the stadium, however, he decided to visit a friend in a town located 120 miles from his home. As the neighbor was driving toward the town, a vehicle collided with him, causing significant damage to the fan's car. The cost of repairing the fan's car was determined to be more than the retail value of the vehicle. In an action by the fan against the neighbor to recover damages resulting from the accident, the fan will most likely",professional_law,"['recover nothing, because the neighbor was on a joint venture when the accident occurred.', 'recover the cost of repairing the car.', 'recover the retail value of the car.', 'recover, because the neighbor was negligently operating the auto at the time of the accident.']",2
9,"A defendant, who was impoverished, was apprehended and charged with possession of less than one ounce of marijuana. According to the applicable state statute, possession of less than one ounce of marijuana is a misdemeanor, punishable by a maximum of one year in jail and/or a fine of $500. At trial, the defendant pleaded not guilty and requested that an attorney be assigned to represent him. The trial judge refused to comply with the defendant's request for a lawyer. If the defendant is subsequently found guilty, which of the following is the most severe sentence that can constitutionally be imposed?",professional_law,"['A $500 fine.', 'Six months in jail.', 'One year in jail.', 'No sentence, because the defendant was denied the right to counsel.']",0
