id,question,choices,answerKey
Mercury_7175875,"After a meteorite impact, an astronomer observes that a planet rotates faster. What is the most likely effect of this increase in rotation?","{'text': ['Planetary density will decrease.', 'Planetary years will become longer.', 'Planetary days will become shorter.', 'Planetary gravity will become stronger.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,To know how different building designs would respond during an earthquake was the aim of a group of engineers. They tested each model of the buildings they made for its ability to withstand earthquake conditions. What will most likely result from testing different building designs?,"{'text': ['buildings will be built faster', 'buildings will be made safer', 'building designs will look nicer', 'building materials will be cheaper'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,The production of sugar and oxygen is the end result in the process of photosynthesis. Which step signals the beginning of photosynthesis?,"{'text': ['Chemical energy is absorbed through the roots.', 'Light energy is converted to chemical energy.', 'Chlorophyll in the leaf captures light energy.', 'Sunlight is converted into chlorophyll.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,"To determine the speed a car must reach to jump over a ramp is what a physicist wants. Three trials are conducted by the physicist. In trials two and three, the car's speed is increased by 20 miles per hour. When he changes the speed, what is the physicist investigating?","{'text': ['the control', 'the hypothesis statement', 'the dependent (responding) variable', 'the independent (manipulated) variable'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,"On the Moon, an astronaut drops a 1.0 kg object and a 5.0 kg object. After falling a total distance of 2.0 m vertically, which of the following best describes the objects when they have fallen a distance of 1.0 m?","{'text': ['They have each lost kinetic energy.', 'They have each gained the same amount of potential energy.', 'They have each lost the same amount of potential energy.', 'They have each gained one-half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,"Decimating the population of Tasmanian devils, Devil facial tumor disease (DFTD) is a disease. Passed from one animal to another through bites, the disease is caused by parasites. Cancerous tumors, which are caused by these parasites, spread throughout an infected animal's body and kill it. What is the best description of DFTD?","{'text': ['a non-infectious, cell-cycle disease', 'an infectious, cell-cycle disease', 'a non-infectious, chronic disease', 'an infectious, chronic disease'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. The mammal places grasses and seeds in protected places in the rock piles during the summer months. Which of the following is the most likely reason for this behavior?,"{'text': ['to repare for migration before winter', 'to provide warmth during the cold winter months', 'to store food that will be eaten over the winter months', 'to protect the grasses and seeds from decay before winter'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,"Near glaciers, petrified palm trees are found in sedimentary rock. The presence of the petrified palm trees most likely provides evidence for which statement?","{'text': ['There was once more water in the area.', 'The area was once grassland.', 'The climate in the area was once tropical.', 'There are active faults in the area.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,"Because hawks that lived in areas around their ranches were preying on some of their chickens, farmers in Wyoming were concerned. They grouped together and hunted the hawks until the hawks were no longer in their area. What would most likely happen next?","{'text': ['The chicken population would go down.', 'Populations of mice and rats would increase.', 'Another bird of prey would replace the hawk.', 'The chickens would have a lower rate of disease.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,Copper is an element used in electrical wires. What is the smallest unit that still maintains the characteristics of copper?,"{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7250058,Prokaryotic cells are separated from eukaryotic cells according to cell classification. Which feature is often used to distinguish eukaryotic cells from prokaryotic cells?,"{'text': ['life processes', 'size differences', 'plasma membranes', 'energy molecules'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7012740,The effect of the Sun on the oceans is best described by which statement?,"{'text': ['The Sun influences the formation of waves.', 'The Sun creates water particles.', ""The Sun's rays cause organisms to come to the surface."", 'The Sun provides minerals.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_LBS10610,"If a sunny, mild day is forecast, what temperature is most likely for 2:00 p.m. when the morning temperature in a city is 41°F?","{'text': ['32° F', '41° F', '78° F', '98° F'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_407400,"To see which brand of light bulb lasts the longest, a class plans an investigation. Which of these steps should come first?","{'text': ['Repeat the investigation.', 'Write a report of the results.', 'Make a table for recording data.', 'Make daily observations of the light bulbs.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7212993,"In the lower atmosphere of Earth, which of these gases is the most abundant greenhouse gas?","{'text': ['ozone', 'methane', 'water vapor', 'carbon dioxide'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_413240,At what temperature does water freeze?,"{'text': ['0 degrees Celsius', '32 degrees Celsius', '100 degrees Celsius', '212 degrees Celsius'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7186358,"For the last century, fossil bones and teeth of dinosaurs have been researched. Details of soft tissues, such as skin, have also been revealed by recent discoveries of fossilized dinosaurs. Now, which is best for a scientist to do when reporting research on dinosaurs?","{'text': ['exclude research on teeth or bones', 'predict what the next discovery will be', 'analyze new data as it becomes available', 'delete earlier reports that were missing the new findings'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7166425,"Molly was putting tea bags in boiling water to make iced tea. To cool the hot tea quickly, she poured it into a pitcher full of ice. Which best describes the flow of thermal energy?","{'text': ['from the ice to the tea', 'from the tea to the ice', 'from the pitcher to the tea', 'from the ice to the pitcher'], 'label': ['A', 'B', 'C', 'D']}",B
MDSA_2007_8_3,"In a forest, logging companies cut trees and send them to lumber mills located far from the forest. Boards that are used for construction are made by the mills. Some logging companies do not plant tree seedlings after they cut trees. Because not planting tree seedlings might affect people who need boards in the future,","{'text': ['the price of boards will increase', 'the price of boards will decrease', 'there will be more boards available', 'there will be more trees for logging'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7094290,"Living organisms were once thought to originate from non-living matter. People, for instance, believed that flies would develop from rotting meat. Later, this idea was disproved primarily because of","{'text': ['the discovery of the atom.', 'better surgical techniques.', 'continued experimentation.', 'the invention of the microscope.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7186568,"For energy, cells take in food. The lysosome is the part of the cell that aids in the digestion of the food. In the process of food digestion, what is the main role of lysosomes?","{'text': ['building proteins', 'breaking down wastes', 'controlling the activities of the cell', 'converting energy from one form into another'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_402216,Hydrogen (H_{2}) and oxygen (O_{2}) gases form when an electric current is passed through water (H_{2}O) using a specific apparatus. How can a chemical equation show this reaction?,"{'text': ['H_{2}O -> H + O + H', '2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)', 'H:O:H -> H_{2}O', 'H_{2}O(l) -> 2H(g) + O(g)'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_404894,What is a fact about penguins?,"{'text': ['Penguins can live in climates with freezing temperatures.', 'Penguins are fierce competitors.', 'Penguins are some of the most beautiful birds.', 'Penguins make great pets.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2002_8_11,"A glass of water that is 110°F is placed next to a glass of water at 50°F in a room where the temperature is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water would be approximately the same the next day.","{'text': ['43°F.', '50°F.', '73°F.', '90°F.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_405086,"All forms of snow, rain, hail, and fog are.","{'text': ['gas.', 'water.', 'wind.', 'clouds.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408324,A tray was filled with juice by Scott and put in a freezer. The freezer was opened by Scott the next day. How did the juice most likely change?,"{'text': ['It condensed.', 'It evaporated.', 'It became a gas.', 'It became a solid.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7218820,"A flash flood warning was issued for the Las Vegas area on August 21. In terms of weather and climate, which statement best describes this warning?","{'text': ['It is a constant climate feature throughout the year.', 'It is a seasonal weather feature with irregular occurrences.', 'It is a continuous weather feature during the season in which it occurs.', 'It is a rare event inconsistent with local climate and weather.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_412202,"During a classroom demonstration, students heated three objects to different temperatures. Each object emitted light of a different color as shown below. Object 1: blue light Object 2: red light Object 3: orange light Which list presents the objects in order from highest to lowest temperature?","{'text': ['Object 1, Object 2, Object 3', 'Object 1, Object 3, Object 2', 'Object 2, Object 1, Object 3', 'Object 2, Object 3, Object 1'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_409139,"In oceans, tiny organisms called plankton live. Some plankton can take energy from the Sun and turn it into food. How are plankton most useful to the animals that live in the ocean?","{'text': ['Plankton are colorful.', 'Plankton clean the water.', 'Plankton release oxygen.', 'Plankton reproduce quickly.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_400687,A tree branch floats on water best explains which statement?,"{'text': ['Wood is porous.', 'Wood is buoyant.', 'Wood is light.', 'Wood is magnetic.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7171605,"In a lab, two fossils are being observed by students. The teacher tells them that these fossils were found in rock layers that are different. From just observing the fossils, what can the students most likely determine?","{'text': ['how each organism died', 'the exact age of the fossils', 'when the fossils were discovered', 'the type of environment in which the organisms lived'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7210245,The distance of Earth from the Sun allows water to be readily available for organisms. Which property of water is most important for these organisms?,"{'text': ['its ability to freeze', 'its specific heat capacity', 'its ability to exist as a liquid', 'its high surface tension'], 'label': ['A', 'B', 'C', 'D']}",C
AKDE&ED_2008_4_25,A property of a type of matter is correctly described by which statement?,"{'text': ['Air is a mixture of gases.', 'Ice is a mixture of gases.', 'Air is a liquid.', 'Ice is a liquid.'], 'label': ['A', 'B', 'C', 'D']}",A
AKDE&ED_2008_4_19,Describes a positive effect of a scientific discovery is which statement?,"{'text': ['It makes some people upset.', 'It takes a long time to be useful.', 'It helps explain how things work.', 'It causes work to be more difficult.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_400402,"With the most frequency, which natural event occurs?","{'text': ['sunrise', 'equinox', 'full moon', 'solar eclipse'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7234308,A scientist maps a long region where earthquakes originate and determines that this region is a transform plate boundary. What evidence would cause the scientist to reevaluate this determination?,"{'text': ['Volcanism also characterizes the region.', 'Earthquake centers in the region occur at shallow depths.', 'The region shows extensive faulting of sediments.', 'Equal crust densities are found on opposite sides of the region.'], 'label': ['A', 'B', 'C', 'D']}",A
ACTAAP_2014_5_8,"If they were right next to each other, which best describes how the sun might compare to a star of a different size?","{'text': ['The sun would be enormous next to an average star.', 'The sun would be tiny next to one of the largest stars.', 'The sun would be extremely bright next to an average star.', 'The sun would be very dim next to one of the smallest stars.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_400407,"About the solar system, which statement is true?","{'text': ['The gas planets are closer to the Sun.', 'The solid planets are closer to the Sun.', 'The planets are arranged in order of increasing size.', 'The solid planets are much larger than the gas planets.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7116288,"Within a plant, what is the main function of photosynthetic cells?","{'text': ['to change oxygen into carbon dioxide', 'to break down sugar into usable chemicals', 'to convert energy from sunlight into food energy', 'to allow the passage of carbon dioxide into the plant'], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2004_9_15-v1,"What is the primary difference between hydraulic and pneumatic systems, among the following options?","{'text': ['Hydraulic systems are under pressure and pneumatic systems are not.', 'Hydraulic systems involve liquids and pneumatic systems involve gases.', 'Hydraulic systems are open systems and pneumatic systems are closed systems.', 'Hydraulic systems involve fluids in motion and pneumatic systems involve fluids at rest.'], 'label': ['A', 'B', 'C', 'D']}",B
NYSEDREGENTS_2015_4_26,Bears often scratch their backs against trees in the spring and early summer to remove winter fur. This is an example of an animal.,"{'text': ['completing its life cycle', 'beginning hibernation', 'responding to its environment', 'preparing for migration'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_401620,"Once per day, which event occurs?","{'text': ['The Moon rises.', 'The new Moon occurs.', 'The Moon cycles through its phases.', 'The Moon passes in front of the Sun.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_400877,"The mass of a carbon atom that has 6 protons, 7 neutrons, and 6 electrons is what?","{'text': ['6', '7', '13', '19'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7174213,"As a sound wave travels through different substances, the speed varies. Which factor will most affect the speed of a sound wave?","{'text': ['the frequency of the wave', 'the wavelength of the wave', 'the source that created the sound', 'the distance between molecules in the medium'], 'label': ['A', 'B', 'C', 'D']}",D
NYSEDREGENTS_2008_8_34,"While a child is riding on a sled down a steep, snow-covered hill, which statement best describes the energy changes that occur?","{'text': ['Kinetic energy decreases and potential energy increases.', 'Kinetic energy increases and potential energy decreases.', 'Both potential energy and kinetic energy decrease.', 'Both potential energy and kinetic energy increase.'], 'label': ['1', '2', '3', '4']}",2
Mercury_7212398,The use of is the best way to separate salt from water.,"{'text': ['oil.', 'heat.', 'a magnet.', 'rubbing alcohol.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_401290,"To determine the topography of the United States, which piece of equipment is the best?","{'text': ['radar', 'compass', 'satellite', 'radio'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_402120,"To determine how long it takes a cup of water to boil, which tool would be best to use?","{'text': ['balance', 'hot plate', 'stopwatch', 'thermometer'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_184975,Scientists consider all of the following except to determine how closely related organisms are.,"{'text': ['embryonic structures.', 'homologous structures.', 'analogous structures.', 'vestigial structures.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_400578,An example of a learned behavior is which?,"{'text': ['A tiger hunts a deer.', 'A mouse runs from a coyote.', 'A salmon migrates up a river.', 'A woodpecker taps a tree for insects.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2001_8_4,Which best describes the total mass of the water and oxygen that was produced if 20 g of liquid hydrogen peroxide is heated so it completely breaks down into liquid water and oxygen gas?,"{'text': ['more than 20 g because of the addition of heat', 'more than 20 g because there are now two substances', 'less than 20 g because oxygen gas is very light', '20 g because no matter is added or removed'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2003_5_33,"Air cannot be seen and has no color, yet it takes up space. What could be done to demonstrate that air takes up space?","{'text': ['observe clouds forming', 'measure the air temperature', 'blow up a beach ball or balloon', 'weigh a glass before and after it is filled with water'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7068513,The formation of the Mount St. Helens Volcano was most likely caused by which geologic process?,"{'text': ['converging boundaries', 'diverging boundaries', 'transform faults', 'rift zones'], 'label': ['A', 'B', 'C', 'D']}",A
AKDE&ED_2008_4_26,A relationship between a living thing and a nonliving thing is shown by which example?,"{'text': ['An insect is food for a salmon.', 'Water carries a rock downstream.', 'A tree removes a gas from the air.', 'A flower makes food for a butterfly.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7235638,"Evidence that Europa has a liquid ocean under a surface of ice is provided by images from the Voyager and the Galileo spacecraft, resulting in part from distinctive surface-cracking patterns produced by which events?","{'text': ['volcanic eruptions', 'tectonic movements', 'asteroid impacts', 'solar flares'], 'label': ['A', 'B', 'C', 'D']}",C
MDSA_2009_5_20,"Natural resources on Earth can be categorized as either renewable or nonrenewable. The classification of a resource as renewable or nonrenewable is determined by the rate at which it is replaced. If a resource is consumed more quickly than it is replenished, it will eventually disappear. Which activity demonstrates the use of a nonrenewable natural resource?","{'text': ['A group of people swims in a river.', 'A construction crew builds an iron bridge.', 'A farmer grows vegetables to sell at a local market.', 'A person bakes a cake with electricity produced by a hydroelectric power plant.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_178325,"In several different geographic locations, scientists studied largemouth bass populations. Information about the size, number, and weight of fish in each population was recorded by them. Which of the following will be best suited for recording these data?","{'text': ['a map', 'a diagram', 'a chart', 'a graph'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7212678,"Quickly moving back and forth a bar magnet in a coil of copper wire, the ends of the wire were connected to a small lightbulb. For which of the following was the device created?","{'text': ['to generate an electric current', 'to increase the strength of the magnet', 'to heat the copper wire', 'to transfer protons to the lightbulb'], 'label': ['A', 'B', 'C', 'D']}",A
TAKS_2009_8_32,The environment most influences which of the following traits?,"{'text': ['Body weight', 'Eye color', 'Blood type', 'Color blindness'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_412681,"By the greatest amount, which of the following actions will increase the gravitational force between two masses, m_{1} and m_{2}?","{'text': ['Halve the mass of m_{1} and halve the distance between m_{1} and m_{2}.', 'Halve the mass of m_{1} and double the distance between m_{1} and m_{2}.', 'Double the mass of m_{1} and halve the distance between m_{1} and m_{2}.', 'Double the mass of m_{1} and double the distance between m_{1} and m_{2}.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_400440,"Shown below, what are the products in the reaction? HCl + NaOH ->","{'text': ['Na + Cl_{2}', 'NaCL + OH', 'NaOH + Cl', 'NaCl + H_{2}O'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_416529,Why do most of the leaves grow at the top of the tree of forest trees?,"{'text': ['to scatter seeds', 'to capture sunlight', 'to shade the trunk', 'to collect water'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2006_8_1,"With which system in the human body are the terms gas exchange, diaphragm, and inhale most closely associated?","{'text': ['circulatory', 'digestive', 'excretory', 'respiratory'], 'label': ['A', 'B', 'C', 'D']}",D
TIMSS_2003_8_pg80,The organ in fish that performs the same function as the human lung is which of the following?,"{'text': ['kidney', 'heart', 'gill', 'skin'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_416645,"Dominic is observing a volvox colony and a paramecium under a microscope. In his journal, he notes that the volvox colony and the paramecium are similar because they have many organelles for movement. What would Dominic most likely notice about the movement of a volvox colony and a paramecium?","{'text': ['They both move at the same rate.', 'They both move away from light.', 'They both move in the same direction.', 'They both move toward an energy source.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_406777,Why does asexual reproduction result in less genetic diversity than sexual reproduction?,"{'text': ['Traits from two parents are combined.', 'More organisms reproduce this way.', 'Offspring grow in different environments.', 'Offspring come from identical parents.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_LBS11018,Hardness tests on several substances are being performed by some students. Y is scratched by X. Z is scratched by Y. W is scratched by Z. Which statement best describes the hardness of substance W?,"{'text': ['W is the softest of the four substances tested.', 'W is the hardest of the four substances tested.', 'W can scratch Y.', 'W can scratch X.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7139878,The productivity of crops in mountain valleys has been studied by scientists. The valleys are more productive in some areas than in others. Which factor's increase most likely accounts for the high productivity in some areas of mountain valleys?,"{'text': ['leaching of soils', 'evaporation rates', 'runoff from rains', 'amounts of sunlight'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_417147,"Except for all of the following, the salt in ocean water comes from","{'text': ['eroding land.', 'melting glacial ice.', 'volcanic emissions.', 'reactions on the sea floor.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7016765,The primary cause of rainstorms is what?,"{'text': ['Earth is heated by the Sun.', 'Mountains direct moist air upward.', 'Water forms droplets when cooled.', 'Most of Earth is covered with water.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_415303,"To stay alive, garden plants on Earth require four resources: soil, air, water, and sunlight. How many of these resources are necessary for life to exist on the moon or another planet?","{'text': ['4', '3', '2', '1'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7215845,"To a student who is separating aluminum screws from steel screws, which is most useful?","{'text': ['a large funnel', 'a screen filter', 'a horseshoe magnet', 'a magnifying glass'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7136885,"Some scientists predict that the number and strength of hurricanes will increase as greenhouse gases change the climate of Earth. For this to occur, the climate change would have to affect Earth by changing the","{'text': ['depths of the oceans.', 'speed of currents in the oceans.', 'chemical compositions of the oceans.', 'amount of dissolved oxygen in the oceans.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_400059,The riverbed is eroded by running water in a river over a long period of time. This erosion causes the river to,"{'text': ['stop flowing.', 'create waves.', 'move faster and cleaner.', 'become deeper and wider.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7044328,"When scientists use the term conservation, what are they referring to?","{'text': ['nonliving parts of the environment', 'living organisms in the environment', 'health of the living organisms in the environment', 'protection, management, and renewal of resources'], 'label': ['A', 'B', 'C', 'D']}",D
MEA_2010_8_1,Which objects give off their own light in our solar system?,"{'text': ['only the Sun', 'the Sun and the Moon', 'the Sun, the Moon, and some planets', 'the Sun, the Moon, some planets, and comets'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_414099,"Diagrams of two different cells were examined by a student. One cell was prokaryotic, and the other cell was eukaryotic. To identify a major difference between the diagrams, what should the student do?","{'text': ['compare the shapes of the two cells', 'check to see which diagram shows a nucleus', 'check to see which diagram shows cytoplasm', 'compare the number of vacuoles in the two cells'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_410807,An adaptation that shortens the time of a tadpole's metamorphosis would be most useful under which circumstance?,"{'text': ['when tadpoles need to swim immediately', 'when there is a limited amount of water in their environment', 'when there is a decrease in the number of predators', 'when tadpoles need to blend in with their surroundings'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_403234,An object weighing 20 N is placed on a surface and begins to slide. What is the most likely reason the object moves?,"{'text': ['Gravity exerts a balanced force on the object.', 'An unbalanced force causes acceleration.', 'Friction is applied to the object.', 'The forces acting on the object are in equilibrium.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7011323,"In nature, which items would decompose in the least amount of time?","{'text': ['cut grass', 'paper cups', 'newspapers', 'cut down trees'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7109463,"In the carbon cycle, which process takes the longest to complete?","{'text': ['emission of waste', 'respiration in animals', 'photosynthesis in plants', 'formation of fossil fuels'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_401277,"Living deep in the ocean, some marine organisms can produce their own light. For which of these activities is the light they produce most likely used?","{'text': ['moving through the water', 'producing oxygen', 'attracting prey', 'escaping predators'], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2005_5_25,The water is when the temperature of a sample of 25 water is -5°C.,"{'text': ['a gas.', 'a liquid.', 'a solid.', 'a vapor.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_401272,"By using, Thomas Edison most likely invented the light bulb.","{'text': ['lit candles.', 'atomic models.', 'reflected light.', 'the scientific method.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7103600,"By performing the following steps, a student investigates the effects of fertilizer on corn plants: 1. Plant groups of corn plants in full sunlight in the same type and amount of soil. 2. To each group, add the same amount of different brands of fertilizer. 3. Water the plants each day for 5 minutes. 4. Each day, measure the heights of the plants. What is the independent variable in this investigation?","{'text': ['type of plant', 'height of plant', 'amount of fertilizer', 'type of fertilizer'], 'label': ['A', 'B', 'C', 'D']}",D
MDSA_2009_8_2,Each planet in our solar system has a different period of rotation. Earth's period of rotation is,"{'text': ['24 hours', '28 days', '13 weeks', '1 year'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7127943,Scientists noticed as early as the 1600s that the continents appeared to fit together like pieces of a puzzle. The idea was not widely accepted that the continents were once together and had drifted apart. Evidence of continental movement was led to by technology used on submarines in the 1940s. Which of these were the scientists allowed to do by this technology?,"{'text': ['to explain the mechanism that caused the continents to move', 'to consider the glacial evidence as outdated', 'to explain the extinction of the dinosaurs', 'to consider it unlikely that the continents were once together'], 'label': ['A', 'B', 'C', 'D']}",A
ACTAAP_2009_7_8,A scientific hypothesis is which of the following statements?,"{'text': ['Flossing has proven to be an effective method of improving oral health.', 'Many infectious diseases, such as gum disease, are caused by microorganisms.', 'In general, any method that reduces bacteria in the mouth will improve oral health.', 'An individual who flosses daily will be less likely to get gum disease than one who flosses weekly.'], 'label': ['A', 'B', 'C', 'D']}",D
