id,question,choices,answerKey
Mercury_7175875,"An astronomer, while observing a distant planetary system, notes that one of the planets has a history of frequent meteorite impacts. During one such observation, a particularly large meteorite strikes the planet, causing its rotation speed to increase. The planet also has a unique atmosphere composed of rare gases and an unusually tilted axis. What is the most probable consequence of this change in rotational velocity?","{'text': [""The planet's orbit around the sun will become more elliptical"", ""The planet's gravitational pull will intensify"", ""The planet's density will lessen"", 'The length of a day on the planet will decrease', 'The duration of a year on the planet will increase'], 'label': ['A', 'B', 'C', 'D', 'E']}",D
Mercury_SC_409171,"Architects and engineers often collaborate to design buildings that can withstand natural disasters like earthquakes. In a recent project, a team constructed multiple scale models of buildings and subjected them to simulated earthquake scenarios. They used a variety of materials and design techniques, some inspired by ancient architecture and others incorporating modern technology. What is the likely outcome of evaluating these different architectural models?","{'text': ['building designs will be more aesthetically pleasing', 'buildings will be constructed with improved safety', 'building materials will cost less', 'buildings will be constructed more quickly', 'buildings will have longer lifespans'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_SC_408547,"In the chloroplasts of plant cells, various processes take place that are crucial for the plant's survival and growth. Among these processes, photosynthesis plays a vital role in converting light energy into chemical energy. During this process, which marks the initial stage where sugar and oxygen are eventually produced, what is the primary reaction that occurs?","{'text': ['Carbon dioxide is released from the leaves.', 'Chlorophyll in the leaf absorbs light energy.', 'Energy from chemicals is taken in through the roots.', 'Light energy is transformed into chemical energy.', 'Sunlight is turned into chlorophyll.'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_407327,"A physicist is conducting a series of experiments at a local testing facility to determine the minimum speed required for a car to successfully leap over a gap using a specially designed ramp. The ramp is positioned at a 30-degree angle, and the gap measures 15 feet in width. The car being tested is a lightweight sports model, known for its aerodynamic design. In the second and third experiments, the car's speed is increased by 20 miles per hour each time. What aspect of the car's behavior is the physicist examining by altering the speed in these trials?","{'text': ['the proposed explanation or prediction', 'the outcome that is expected from changing the variable', 'the variable that is altered or controlled', 'the variable that is observed and measured', 'the factor that remains constant'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
MCAS_2006_9_44,"The Moon, Earth's only natural satellite, has a surface gravity about 1/6th that of Earth's. Due to the lack of atmosphere, there is no air resistance affecting objects in free fall. Imagine that during a scientific mission, two astronauts conduct an experiment with two rocks, one weighing 1.0 kg and the other 5.0 kg, by releasing them simultaneously from the same height on the Moon. When both rocks have fallen halfway to the ground, how would their states of motion compare?","{'text': ['They have each decreased in kinetic energy.', 'They have each increased in potential energy by the same amount.', 'They have each acquired half of their total possible kinetic energy.', 'They have each acquired the same velocity.', 'They have each decreased in potential energy by the same amount.'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_7270393,"In recent years, conservationists have been increasingly concerned about the health of Tasmanian devils, a species native to the island of Tasmania. These nocturnal marsupials play a crucial role in the ecosystem by scavenging and controlling populations of other species. However, their numbers have been drastically declining due to a disease that is transmitted through biting. This disease is linked to the presence of parasitic cells that form cancerous growths, eventually leading to the death of the affected animals. How would you best describe this disease affecting the Tasmanian devils?","{'text': ['a transmissible, long-lasting illness', 'a non-transmissible disorder related to cell division', 'a transmissible disorder related to cell division', 'a non-transmissible, long-lasting illness', 'a genetic mutation that affects Tasmanian devils from birth'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
MCAS_2014_5_7,"In the western U.S., where climate conditions can vary significantly between seasons, a small mammal might be found residing in rocky terrains. During the summer months, when the weather is warmer and resources are more abundant, why might this mammal gather and store grasses and seeds?","{'text': ['to ensure warmth during the chilly winter period', 'to prevent the grasses and seeds from decomposing before the winter arrives', 'in preparation for moving to a different area before the winter season', 'to keep a supply of food that will be consumed throughout the winter', 'to attract other animals to their habitat as a form of mutual protection'], 'label': ['A', 'B', 'C', 'D', 'E']}",D
Mercury_7086660,"In a recent paleontological study, researchers unearthed a variety of fossils, including petrified palm trees, while exploring sedimentary layers near regions that have historically been covered by glaciers. These findings were part of a broader investigation into the Earth's climatic history and how various species adapted to changing environments over millions of years. What does the presence of these petrified trees most likely indicate about the area's past climate conditions?","{'text': ['There are active faults in the area.', 'The area used to have more abundant water sources.', ""The region's soil composition has remained unchanged over millions of years."", 'The region was previously dominated by grassland.', ""The area's past climate was once warm and tropical.""], 'label': ['A', 'B', 'C', 'D', 'E']}",E
Mercury_7168805,"In Wyoming, a group of farmers, who have been raising free-range chickens for several generations and recently expanded their operations to include organic vegetable farming, noticed that hawks were preying on their chickens. These hawks are native to the region and have been part of the local ecosystem for many years. Concerned about the safety of their chickens, the farmers decided to eliminate the hawks from their surroundings. What is the most likely outcome of this action?","{'text': ['The number of chickens would decrease.', 'The chickens would experience fewer illnesses.', 'Another predatory bird might fill the ecological role of the hawk.', 'The hawks will migrate back to the area during the next season.', 'There would be a rise in the numbers of rodents like mice and rats.'], 'label': ['A', 'B', 'C', 'D', 'E']}",E
MCAS_2003_8_11,"Copper has been used by humans for thousands of years due to its excellent electrical conductivity and malleability, making it essential in numerous applications such as wiring and plumbing. Understanding the fundamental properties of copper at the atomic level is crucial for advancements in materials science. Considering these properties, what is the smallest piece of copper that still retains all the properties of copper as a metal?","{'text': ['the central core of an atom', 'the individual copper atom', 'the positively charged particle in the nucleus', 'the molecule formed by two copper atoms bonded together', 'the subatomic particle with a negative charge'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_7250058,"In studying the diversity of life, scientists categorize organisms based on various characteristics. One major classification divides organisms into prokaryotic and eukaryotic groups. This distinction is crucial for understanding evolutionary biology and cellular functions. What is a key structural difference between prokaryotic and eukaryotic cells that scientists use to classify them into these two distinct groups?","{'text': ['molecules for energy', 'differences in size', 'presence of a nucleus', 'biological functions', 'cell membranes'], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_7012740,"The Sun, as the closest star to Earth, plays a crucial role in many natural processes. It provides light and warmth, which are essential for life on our planet. Considering its impact on various ecosystems, how does the Sun influence the behavior and characteristics of ocean waters?","{'text': ['The Sun supplies nutrients.', 'The Sun plays a role in creating waves.', 'The Sun generates water molecules.', ""The Sun's light causes living things to rise to the surface."", ""The Sun affects the ocean's salinity levels.""], 'label': ['A', 'B', 'C', 'D', 'E']}",B
Mercury_LBS10610,"The city starts the day at 41°F, and the weather prediction suggests it will be sunny and mild. It's early spring, and the local park is hosting a morning yoga session under clear skies. What temperature might you expect by early afternoon?","{'text': ['Morning temperature', 'Cold front incoming', 'Extremely hot', 'Warm afternoon', 'Freezing point'], 'label': ['A', 'B', 'C', 'D', 'E']}",D
Mercury_SC_407400,"A group of students, who are part of a science club and have access to a well-equipped laboratory with various types of light bulbs including LED, incandescent, and fluorescent, wants to determine which type of light bulb has the greatest lifespan. Before they start conducting any tests, what should they do first in their experiment to ensure accurate results?","{'text': ['Prepare a summary of the findings.', 'Conduct the experiment again.', 'Design a chart to log information.', 'Purchase different brands of light bulbs.', 'Observe the light bulbs each day.'], 'label': ['A', 'B', 'C', 'D', 'E']}",C
Mercury_7212993,"In discussing the impact of various atmospheric gases on climate change, it's important to consider their abundance and role in the Earth's troposphere. Given this, what is the greenhouse gas present in the greatest quantity in Earth's troposphere?","{'text': ['a protective layer in the stratosphere', 'a greenhouse gas produced by burning fossil fuels', ""a gas primarily responsible for the Earth's magnetic field"", 'the most abundant greenhouse gas composed of H2O', 'a potent greenhouse gas released from livestock'], 'label': ['A', 'B', 'C', 'D', 'E']}",D
