id,question,choices,answerKey
Mercury_7175875,"Analyze the conservation of angular momentum in the context of a planet that rotates faster after a meteorite impact. How does this principle explain the change in rotation speed, and what are the implications for the planet's shape and orbital dynamics?","{'text': [""The planet's rotation speeds up due to the transfer of angular momentum from the meteorite, leading to an increase in equatorial bulge and a change in its orbital path."", ""The planet's rotation increases because the impact reduces its mass, which in turn increases its speed according to the conservation of energy principle."", ""The planet's faster rotation is due to the conservation of angular momentum, as the impact changes the distribution of mass, causing the planet to flatten at the poles and bulge at the equator."", ""The planet's increased rotation speed is a result of a decrease in gravitational forces acting on it, allowing it to spin faster without any change in its shape.""], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,Analyze the effectiveness of various architectural techniques in enhancing building resilience during seismic activities. How do these techniques compare in terms of energy dissipation and structural integrity?,"{'text': ['Base isolators are effective in energy dissipation by allowing the structure to move independently from ground motion, thereby reducing the transfer of seismic forces.', ""Shear walls primarily enhance a building's aesthetic appeal and have little impact on structural integrity during an earthquake."", 'Cross-bracing is a technique used to improve thermal insulation in buildings, which indirectly contributes to seismic resilience.', 'Reinforced concrete frames are primarily used to reduce the cost of construction, with minimal impact on resisting seismic forces.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_408547,"Analyze the process of photosynthesis with a focus on the light-dependent reactions. How do these reactions contribute to the overall photosynthesis process, and what are the key components and outcomes of these reactions?","{'text': ['The light-dependent reactions occur in the stroma of the chloroplasts and primarily produce glucose and oxygen as direct products.', 'The light-dependent reactions take place in the thylakoid membranes and generate ATP and NADPH, which are used in the Calvin cycle.', 'The light-dependent reactions are responsible for fixing carbon dioxide into organic molecules directly, producing glucose immediately.', 'The light-dependent reactions occur in the cytoplasm and solely convert water into oxygen without producing any energy carriers.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_407327,Analyze the relationship between the velocity of a car and the distance it can cover when jumping over a ramp. How do the principles of projectile motion and kinetic energy apply in determining the optimal speed for such a jump?,"{'text': [""The car's velocity must be minimal to maximize air time, relying solely on the angle of the ramp to cover distance."", ""The car's velocity is directly proportional to the potential energy gained, which allows it to jump further regardless of ramp angle."", ""The car's velocity must be sufficient to provide the necessary kinetic energy to overcome gravitational forces, taking into account both the angle of the ramp and air resistance."", ""The car's velocity and ramp angle are irrelevant; only the mass of the car determines the distance it will cover.""], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2006_9_44,"Analyze the motion of objects under the influence of gravity in different celestial environments. How does the acceleration due to gravity on the Moon compare with that on Earth, and what impact does this have on the motion of objects dropped from a certain height? Consider the implications on the objects' velocities and the time taken to fall a specific distance.","{'text': ['The acceleration due to gravity on the Moon is about one-sixth of that on Earth, causing objects to fall more slowly, with lower velocity and taking more time to fall the same distance compared to Earth.', 'The acceleration due to gravity on the Moon is the same as on Earth, therefore objects fall with the same velocity and take the same time to fall as they would on Earth.', 'The acceleration due to gravity on the Moon is greater than that on Earth, causing objects to fall more quickly, with higher velocity and taking less time to fall the same distance compared to Earth.', 'The acceleration due to gravity on the Moon is negligible, causing objects to float and not fall when dropped.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7270393,Analyze the transmission and impact of Devil Facial Tumor Disease (DFTD) on the Tasmanian devil population. How does the mode of transmission and the nature of the disease contribute to the challenges in controlling its spread compared to other wildlife diseases?,"{'text': [""DFTD's transmission through bites and the lack of genetic diversity in Tasmanian devils make it extremely difficult to control, as most individuals are susceptible to the disease."", 'DFTD is easily controlled because Tasmanian devils have a strong immune response that quickly eliminates the cancerous cells caused by the disease.', 'The disease is spread through airborne particles, making isolation of infected individuals an effective method of control.', 'DFTD affects only a small portion of the population, so its transmission is not a significant concern for conservation efforts.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2014_5_7,"Analyze the behavioral adaptations of small mammals living in mountainous regions, such as the western United States. How do these adaptations enable them to survive in harsh environmental conditions compared to similar species in more temperate regions?","{'text': ['Small mammals in mountainous regions develop thicker fur to withstand cold temperatures, unlike their temperate counterparts who rely on burrowing.', 'These mammals exhibit behaviors such as storing food during the summer months to prepare for winter scarcity, a strategy less necessary for similar species in milder climates.', 'Unlike their relatives in temperate regions, mountain-dwelling small mammals do not need to adapt their diets, as food availability is consistent year-round.', 'Small mammals in mountainous regions have evolved to hibernate during the summer to conserve energy, a behavior not observed in similar species elsewhere.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7086660,"Analyze the presence of petrified palm trees in sedimentary rock formations near glaciers. What does this geological evidence suggest about the historical climate and environmental conditions of the region, and how does it compare to the current climate?","{'text': ['The presence of petrified palm trees indicates that the region was once a tropical or subtropical environment, suggesting a drastic change in climate over geological time.', 'The petrified palm trees suggest that the glaciers were once much smaller, allowing palm trees to thrive in colder climates.', 'The evidence of petrified palm trees signifies that the region has always been cold, and the trees adapted to the icy conditions over time.', 'The petrified palm trees indicate that the sedimentary rocks formed in a marine environment, unrelated to climate changes.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7168805,"Analyze the ecological consequences of removing a top predator, such as hawks, from an ecosystem. How does this removal affect the balance of the ecosystem and the populations of other species within it?","{'text': ['The removal of hawks leads to an increase in prey species populations, such as rodents and insects, which can subsequently lead to overgrazing and damage to vegetation.', 'The removal of hawks causes an immediate decrease in biodiversity, as the prey species also start to decline due to lack of predation.', 'Removing hawks results in no significant change in the ecosystem, as other predators quickly fill the ecological niche left by the hawks.', 'The absence of hawks has little impact on the ecosystem because they are solitary predators with minimal interaction with other species.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2003_8_11,Analyze the atomic structure of copper and its role in conductivity. How does the arrangement of copper atoms and the nature of metallic bonding contribute to its effectiveness as an electrical conductor compared to other metals?,"{'text': [""Copper's atomic structure features a single electron in its outer shell, which allows it to easily conduct electricity through free electron flow, a characteristic enhanced by its closely packed crystal lattice."", 'Copper atoms are arranged in a simple cubic structure, allowing for maximum electron mobility, which makes it superior to metals like silver in terms of conductivity.', ""Copper's effectiveness as a conductor is due to its hexagonal close-packed structure, which permits more electrons to move freely compared to other metals."", ""Copper's atomic structure includes multiple unpaired electrons, which enhances its magnetic properties rather than its conductivity.""], 'label': ['A', 'B', 'C', 'D']}",A
