Unnamed: 0,question,subject,choices,answer
0,一位乘客在42街车站进入地铁车厢。由于所有座位都被占满，乘客站在车厢里并抓住一根扶杆以保持平衡。当地铁车厢向市区行驶时，乘客瞥了一眼站在他旁边的一个女孩。突然，地铁车厢意外停车。乘客一时失去平衡，抓住了女孩的腰（以免摔倒）。一旦乘客恢复平衡，他便将手从女孩的腰上移开，重新抓住扶杆。如果女孩对乘客提起民事诉讼，他最有可能被裁定,professional_law,"['对人身伤害负责。', '负责，因为乘客认为在这种情况下女孩同意了接触。', '不负责，因为乘客的行为在这种情况下是社会可接受的。', '不负责，因为女孩没有因接触而受到伤害。']",2
1,一位母亲带着她五岁的孩子去医院急诊室接受治疗。医院的一名医生在治疗过程中猥亵了孩子。当时，治疗室内除了医生和孩子外没有其他人；母亲离开房间去买咖啡。两周后，当孩子告诉她母亲在治疗室发生的事情时，母亲遭受了严重的情绪痛苦，导致身体不适。在母亲代表自己对医生提起的因故意施加情绪痛苦的诉讼中，母亲有可能胜诉吗？,professional_law,"['不，因为母亲在治疗过程中将孩子单独留给医生是有过失的。', '不，因为母亲既不是医生行为的直接受害者，也不是同时见证者。', '是，因为医生的行为是令人发指的。', '是，因为母亲的痛苦是医生行为的自然和可预见的后果。']",1
2,一位婚礼策划师在湖上拥有一个夏季小屋。为了方便进入位于湖上方小山丘上的小屋，婚礼策划师与邻居（一个毗邻土地的所有者）签订了一项协议，其中邻居以书面形式授予婚礼策划师一条30英尺宽和四分之一英里长的通行权，沿着邻居物业的东侧边界。在未通知邻居的情况下，婚礼策划师按照他的计划进行改善路基，将道路铺上沥青以便更适合机动车通行。几年后，邻居开办了一家沙子生意，这需要他进行重型运输，随后摧毁了路上的沥青面层。邻居开办沙子生意十年后，婚礼策划师将他的湖滨物业卖给了一位艺术家。在艺术家接管小屋和物业不久后，邻居在道路上竖起了木制障碍物，从而阻挡了通往艺术家物业的通道。婚礼策划师在通道道路上获得的权益可最好描述为,professional_law,"['地役权.', '通过先前使用隐含的地役权.', '必要地役权.', '明确地役权.']",3
3,一个原告在双方居住的州的法院起诉了一名被告。原告仅声称根据联邦法规提起诉讼，尽管州法律提供了类似的诉因。该联邦法规规定，根据该法规的索赔可以在任何有管辖权的法院提出。该法规尚未被任何联邦法院解释。州法院应该审理此案吗？,professional_law,"['不，因为根据联邦法律的案件必须在联邦法院裁决。', '不，因为州法院必须在联邦法院决定联邦问题之前回避联邦法律的案件。', '是，因为州法院不得歧视根据联邦法律提出的案件。', '是，因为由于没有公民身份的多样性，双方无法在联邦法院进行诉讼。']",2
4,一位经理的竞争对手寄了一封诽谤信给经理，指责他在专业上无能，并称他是镇上最差的商人之一。信是寄给经理的。他读了信，把它放在一个私人抽屉里，再也没有读过。后来，他试图因为这封信而起诉竞争对手诽谤。法院是否可能会批准被告的驳回动议，并基于什么理由？请根据普通法对诽谤的定义作答。,professional_law,"['是的，法院将驳回，因为出版物仅仅是给经理一个人。', '是的，法院将驳回，因为语言对经理的声誉没有损害。', '不，法院不会驳回，因为情况表明所有的诽谤要素都存在。', '不，法院不会驳回，因为在诽谤诉讼中，原告有绝对的权利来要求陪审团审判，以证明诽谤。']",0
5,卖方与买方签订合同，以30万美元出售土地。合同规定，成交将在合同签署后60天进行，卖方将在成交时通过一份放弃所有权契约将“可出售的产权”转让给买方。合同中没有其他关于交付给买方的产权的条款。产权调查显示，土地上有一笔未偿还的5万美元抵押贷款和一部分土地的通行权地役权。买方现在声称产权不可出售，并拒绝成交。买方的说法正确吗？,professional_law,"['不，因为根据这些事实，没有什么使产权不可出售。', '不，因为买方同意接受放弃所有权契约。', '是的，因为通行权地役权使得产权不可出售。', '是的，因为未偿还的抵押贷款使得产权不可出售。']",2
6,一名原告起诉被告，因为原告在被告的车撞到他时受伤。在审判中，原告作证说，他在被告的车撞到他时正走在人行横道内过马路。此案发生在一个有法律规定要求所有驾驶者在指定的人行横道停车并允许行人过马路的司法辖区。被告辩称原告是从人行横道外跑到街道上的。此外，被告作证说，他在看到原告冲到街道上时立即踩刹车，但没能及时停车以避免撞到他。为了支持被告的证词，被告请一位邻居作证，她说在她住在那条街的这些年里，她经常观察到原告“总是在人行横道外过马路。”邻居的证词可能会是,professional_law,"['被采纳，因为这表明原告粗心。', '被采纳，因为这证明了原告在横穿马路时习惯在人行横道外。', '被排除，因为邻居不是事故的目击者。', '被排除，因为她的证词是不可接受的品格证据，用于证明被告在特定场合的行为。']",1
7,几个人一起从艺术博物馆偷了一幅画。其中一个是司机，他在犯下另一项罪行时被抓。他告诉警方：“我甚至没有从艺术博物馆得到任何钱。全都给了第一个人和第二个人。”当第一个人和第二个人因艺术画作盗窃案受审时，司机的陈述在法庭上是否可以作为证据？,professional_law,"['是的，作为一方当事人承认的陈述。', '是的，作为对其他被告不利的陈述。', '不，因为这是在拘留期间做出的，因此不可靠。', '不，因为该陈述不是在阴谋进行或推进过程中做出的，因此是传闻。']",3
8,一位狂热的棒球迷想购买即将在当地体育场举行的棒球比赛的门票。他联系了体育场的售票处，售票处告知他，所有门票将在第二天上午9点在体育场出售。这位从事砖瓦工工作的球迷意识到他无法请假去购买门票。因此，他打电话给隔壁的邻居，询问他是否愿意去体育场为他购买棒球门票。邻居告诉球迷，他很乐意为他购买门票，并且他（邻居）自己也想买票。不过，邻居说他的车坏了，没有交通工具可以去体育场。球迷建议他可以把车借给邻居。邻居同意了，第二天早上两人在球迷的家门前见面。球迷把车钥匙交给了邻居，并给了他买票的钱。随后，邻居开着球迷的车去了体育场，在那里为球迷买了票（用自己的钱）也为自己买了一套票。球迷指示邻居在从体育场回来后把车还到他的家。然而，邻居离开体育场后，决定去一个距离他家120英里的小镇拜访朋友。当邻居驾车前往小镇时，一辆汽车撞上了他，造成了球迷的车严重损坏。修理球迷的车的费用被确定为超过了汽车的零售价值。在球迷起诉邻居以索赔事故损害的诉讼中，球迷最有可能,professional_law,"['得不到任何赔偿，因为事故发生时邻居正在进行一项共同冒险。', '获得修车费用的赔偿。', '获得汽车的零售价值的赔偿。', '获得赔偿，因为事故发生时邻居在疏忽驾驶。']",2
9,一名被告是无力负担律师费用的穷人，他因持有少于一盎司的大麻而被捕并被指控。根据相关州法律，持有少于一盎司的大麻是轻罪，最高可判处一年监禁和/或500美元罚款。在审判中，被告不认罪并要求任命一名律师为其辩护。审判法官拒绝了被告的律师请求。如果被告随后被判有罪，以下哪一项是可以合法施加的最严厉的刑罚？,professional_law,"['500美元罚款。', '六个月监禁。', '一年监禁。', '没有刑罚，因为被告被剥夺了获得律师的权利。']",0
