id,question,choices,answerKey
Mercury_7175875,"What is the full and precise statement of the law of conservation of angular momentum in physics, including its application to isolated systems?","{'text': ['The total angular momentum of a system remains constant if the net external torque acting on the system is zero.', 'The total angular momentum of a system is always conserved, regardless of external forces or torques.', 'The angular momentum of each object in a system is conserved individually, irrespective of interactions with other objects.', 'Angular momentum is only conserved when a system is in a state of uniform circular motion.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_409171,What is the primary characteristic of an earthquake-resistant building design?,"{'text': ['It has a strong and rigid structure to completely resist movements.', 'It is designed to absorb and dissipate energy through flexible materials and structural systems.', 'It uses only lightweight materials to minimize the impact of an earthquake.', 'It relies on the use of deep foundations to anchor the building firmly into the ground.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,What is the exact chemical equation representing the overall process of photosynthesis in plants?,"{'text': ['6CO2 + 6H2O + light energy -> C6H12O6 + 6O2', '6O2 + 6H2O + light energy -> C6H12O6 + 6CO2', 'C6H12O6 + 6O2 -> 6CO2 + 6H2O + energy', '6CO2 + 12H2O + light energy -> C6H12O6 + 6O2 + 6H2O'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_407327,"What is the fundamental principle that describes the relationship between an object's motion and the forces acting upon it, especially relevant when considering changes in an object's speed or direction?","{'text': [""Newton's First Law of Motion"", ""Newton's Second Law of Motion"", ""Newton's Third Law of Motion"", 'The Law of Conservation of Energy'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2006_9_44,"What is the exact value of the acceleration due to gravity on the surface of the Moon, and how does it compare to Earth's gravity?","{'text': [""The acceleration due to gravity on the Moon is 1.62 m/s², which is approximately 1/6th of Earth's gravity."", ""The acceleration due to gravity on the Moon is 9.81 m/s², which is the same as Earth's gravity."", ""The acceleration due to gravity on the Moon is 3.71 m/s², which is approximately 1/4th of Earth's gravity."", ""The acceleration due to gravity on the Moon is 0.98 m/s², which is approximately 1/10th of Earth's gravity.""], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7270393,"What is the full scientific classification, including kingdom, phylum, class, order, family, genus, and species, of the organism responsible for Devil Facial Tumor Disease (DFTD) in Tasmanian devils?","{'text': ['DFTD is not caused by a traditional organism and therefore does not have a scientific classification.', 'Kingdom Animalia, Phylum Chordata, Class Mammalia, Order Dasyuromorphia, Family Dasyuridae, Genus Sarcophilus, Species Sarcophilus harrisii.', 'Kingdom Animalia, Phylum Chordata, Class Mammalia, Order Dasyuromorphia, Family Dasyuridae, Genus Dasyurus, Species Dasyurus viverrinus.', 'Kingdom Protista, Phylum Sarcomastigophora, Class Zoomastigophorea, Order Kinetoplastida, Family Trypanosomatidae, Genus Trypanosoma, Species Trypanosoma cruzi.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2014_5_7,"What specific species of small mammal, known for creating rock pile homes in the mountain regions of the western United States, is known for storing grasses and seeds as part of its ecological adaptations?","{'text': ['Yellowstone Marmot', 'American Pika', 'Mountain Cottontail', 'Desert Kangaroo Rat'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7086660,What is the theory of continental drift and who first proposed it?,"{'text': ['The theory of continental drift suggests that continents are stationary and was first proposed by Alfred Wegener.', 'The theory of continental drift suggests that continents were once joined together and have since drifted apart, first proposed by Alfred Wegener.', 'The theory of continental drift suggests that continents float on a liquid outer core and was first proposed by Harry Hess.', 'The theory of continental drift suggests that continents were fixed in position and was first proposed by Charles Darwin.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7168805,"What is the definition of a food chain in ecological terms, and what roles do producers, consumers, and decomposers play within it?","{'text': ['A food chain is a linear sequence of organisms where each is eaten by the next member in the chain, with producers creating food from sunlight or chemicals, consumers eating other organisms, and decomposers breaking down dead material.', 'A food chain is a complex network of interconnected food webs, where all organisms are producers that create their own food.', 'A food chain is a circular pathway that involves only consumers who feed directly on primary producers.', 'A food chain is defined as a sequence of organisms in which each organism feeds on the one below it but does not involve producers or decomposers.'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2003_8_11,"What is the precise atomic number and standard atomic weight of copper, as defined in the periodic table of elements?","{'text': ['Copper has an atomic number of 29 and a standard atomic weight of approximately 63.55.', 'Copper has an atomic number of 30 and a standard atomic weight of approximately 65.38.', 'Copper has an atomic number of 29 and a standard atomic weight of approximately 65.38.', 'Copper has an atomic number of 30 and a standard atomic weight of approximately 63.55.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7250058,What is the fundamental structural difference between prokaryotic and eukaryotic cells regarding the organization of their genetic material?,"{'text': ['Prokaryotic cells have their DNA enclosed within a nuclear envelope, whereas eukaryotic cells have free-floating DNA in the cytoplasm.', 'Prokaryotic cells have a single, circular DNA molecule located in the nucleoid region, while eukaryotic cells have multiple linear DNA molecules contained within a nucleus.', 'Prokaryotic cells have multiple linear chromosomes within a membrane-bound nucleus, whereas eukaryotic cells have a single circular chromosome in the cytoplasm.', 'Both prokaryotic and eukaryotic cells have their DNA organized in the same way, with no structural differences.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7012740,What is the precise role of the Sun in driving the Earth's oceanic circulation systems?,"{'text': ['The Sun directly heats the ocean surface, causing water to evaporate and form clouds, which then drive the oceanic currents.', 'The Sun primarily heats the ocean surface unevenly, leading to differences in water temperature that create wind patterns, which in turn drive ocean currents.', ""The Sun's gravitational pull directly influences the tides, which are the main drivers of oceanic circulation."", 'The Sun heats the ocean uniformly, resulting in a stable, non-dynamic oceanic system.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_LBS10610,What is the exact Fahrenheit to Celsius conversion formula?,"{'text': ['°C = (°F - 32) / 1.8', '°C = (°F + 32) / 1.8', '°C = (°F - 32) * 1.8', '°C = (°F - 32) / 2'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_407400,What is the exact definition of a scientific investigation and the essential steps it typically involves?,"{'text': ['A scientific investigation is a systematic process to test a hypothesis, involving steps such as forming a hypothesis, conducting experiments, analyzing data, and drawing conclusions.', 'A scientific investigation is an informal exploration of natural phenomena, often involving storytelling and anecdotal evidence.', 'A scientific investigation is a process of making observations and recording them without any specific goal or hypothesis.', 'A scientific investigation is the informal gathering of data without any specific procedures or objectives.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7212993,What is the precise composition and percentage of the most abundant greenhouse gas in Earth's lower atmosphere?,"{'text': ['Carbon dioxide (CO2) at approximately 0.04%', 'Methane (CH4) at approximately 0.00018%', 'Water vapor (H2O) with variable percentage around 0.25% to 4%', 'Ozone (O3) at approximately 0.000004%'], 'label': ['A', 'B', 'C', 'D']}",C
