id,question,choices,answerKey
Mercury_7175875,An astronomer observes that a planet r0tates faster after a meteroite impact. Which is the most likley effect of this increase in roatation?,"{'text': ['Planetary density will decrease.', 'Planetary years will become longer.', 'Planetary days will become shorter.', 'Planetary gravity will become stronger.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,A group of enginers wanted to know how different building designs would respond durig an earthquake. They made several modles of buildings and tested each for its abiltiy to withstand earthquake conditions. Which will most likely reult from testing different building designs?,"{'text': ['buildings will be built faster', 'buildings will be made safer', 'building designs will look nicer', 'building materials will be cheaper'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_408547,The end result in the process of photosytnhesis is the production of sugar and oxygen. Which step signals the begining of photosynthesis?,"{'text': ['Chemical energy is absorbed through the roots.', 'Light energy is converted to chemical energy.', 'Chlorophyll in the leaf captures light energy.', 'Sunlight is converted into chlorophyll.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_407327,"A physicist wnts to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigatin when he changes the speed?","{'text': ['the control', 'the hypothesis statement', 'the dependent (responding) variable', 'the independent (manipulated) variable'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2006_9_44,An astronaut drops a 1.0 kg object and a 5.0 kg obect on the Moon. Both objects fall a total distnace of 2.0 m vertically. Which of the follwoing best describes the objects after they have fallen a distnace of 1.0 m?,"{'text': ['They have each lost kinetic energy.', 'They have each gained the same amount of potential energy.', 'They have each lost the same amount of potential energy.', 'They have each gained one-half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7270393,Devil facial tumor disease (DFTD) is a diseease that is decimatinng the population of Tasmanian devils. The disease passes from one animal to anothre through bites and is caused by parasites. The parasites cause cancerous tum0rs that spread throughout an infected animal's body and kill it. What is the best desciption of DFTD?,"{'text': ['a non-infectious, cell-cycle disease', 'an infectious, cell-cycle disease', 'a non-infectious, chronic disease', 'an infectious, chronic disease'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2014_5_7,"A type of smal mamal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mamal places grasses and seeds in protected places in the roc piles. Which of the following is the most likely reason for this behavior?","{'text': ['to repare for migration before winter', 'to provide warmth during the cold winter months', 'to store food that will be eaten over the winter months', 'to protect the grasses and seeds from decay before winter'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7086660,Petrified plam trees are found in sedimentary rock near glaicers. The presence of the petrified palm trees most likley provides evidence for which statement?,"{'text': ['There was once more water in the area.', 'The area was once grassland.', 'The climate in the area was once tropical.', 'There are active faults in the area.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,Farmers in Wy0ming were concerned because some of their chickens were being preyed upon by hawks that lived in areas arond their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Whcih would most likely happen next?,"{'text': ['The chicken population would go down.', 'Populations of mice and rats would increase.', 'Another bird of prey would replace the hawk.', 'The chickens would have a lower rate of disease.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,Coper is an element that is used in eletrical wires. What is the smallest unit of copper that stil maintains the characteristics of copper?,"{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7250058,"Accrding to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is ofen used to distnguish prokaryotic cells from eukaryotic cells?","{'text': ['life processes', 'size differences', 'plasma membranes', 'energy molecules'], 'label': ['A', 'B', 'C', 'D']}",B
